date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,AAPL,47,178.1,8370.87,,,91629.13
2022-01-03,BUY,NVDA,141,30.06,4238.62,,,87390.51
2022-01-03,BUY,TSLA,10,399.93,3999.27,,,83391.24
2022-01-03,BUY,AMD,28,150.24,4206.72,,,79184.52
2022-01-03,BUY,UNH,18,465.86,8385.45,,,70799.07
2022-01-03,BUY,ABBV,73,115.85,8456.85,,,62342.23
2022-01-03,BUY,PFE,93,45.37,4219.01,,,58123.21
2022-01-03,BUY,ABT,66,128.35,8470.84,,,49652.38
2022-01-03,BUY,COST,15,539.56,8093.42,,,41558.96
2022-01-03,BUY,HD,23,366.89,8438.39,,,33120.56
2022-01-06,SELL,AAPL,47,168.31,7910.5,-460.37,-5.5,41031.06
2022-01-06,SELL,TSLA,10,354.9,3549.0,-450.27,-11.26,44580.06
2022-01-06,SELL,UNH,18,435.59,7840.7,-544.75,-6.5,52420.76
2022-01-07,SELL,AMD,28,132.0,3696.0,-510.72,-12.14,56116.76
2022-01-07,SELL,COST,15,510.49,7657.41,-436.01,-5.39,63774.17
2022-01-10,SELL,HD,23,347.87,8001.03,-437.37,-5.18,71775.2
2022-01-12,SELL,ABT,66,123.44,8146.72,-324.12,-3.83,79921.92
2022-01-13,SELL,NVDA,141,26.52,3739.63,-498.99,-11.77,83661.54
2022-01-14,BUY,JPM,73,142.36,10392.49,,,73269.05
2022-01-14,BUY,WFC,200,52.19,10438.74,,,62830.32
2022-01-19,SELL,JPM,73,134.28,9802.74,-589.76,-5.67,72633.05
2022-01-19,BUY,BAC,248,41.71,10344.89,,,62288.16
2022-01-20,SELL,WFC,200,49.44,9888.57,-550.16,-5.27,72176.73
2022-01-20,BUY,NFLX,202,50.83,10266.65,,,61910.08
2022-01-21,SELL,PFE,93,42.27,3931.54,-287.47,-6.81,65841.62
2022-01-21,SELL,NFLX,202,39.75,8029.5,-2237.15,-21.79,73871.12
2022-01-25,BUY,MSFT,33,278.5,9190.58,,,64680.54
2022-01-26,BUY,TSLA,29,312.47,9061.63,,,55618.91
2022-01-26,BUY,INTC,193,47.94,9252.56,,,46366.35
2022-01-26,BUY,ABT,83,111.23,9231.75,,,37134.59
2022-01-27,SELL,INTC,193,44.56,8601.0,-651.56,-7.04,45735.59
2022-01-27,BUY,AAPL,58,155.8,9036.56,,,36699.03
2022-01-27,BUY,V,45,199.62,8982.82,,,27716.22
