date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,COST,7,539.56,3776.93,,,96223.07
2022-01-03,BUY,NKE,27,153.48,4143.96,,,92079.11
2022-01-03,BUY,DE,12,331.64,3979.63,,,88099.48
2022-01-03,BUY,CRM,16,252.39,4038.29,,,84061.19
2022-01-05,SELL,CRM,16,224.94,3598.99,-439.3,-10.88,87660.18
2022-01-07,SELL,COST,7,510.49,3573.46,-203.47,-5.39,91233.63
2022-01-10,SELL,NKE,27,140.22,3785.86,-358.1,-8.64,95019.49
2022-01-14,BUY,JPM,74,142.36,10534.86,,,84484.64
2022-01-14,BUY,WFC,202,52.19,10543.12,,,73941.51
2022-01-19,SELL,JPM,74,134.28,9937.02,-597.84,-5.67,83878.53
2022-01-19,BUY,BAC,251,41.71,10470.03,,,73408.5
2022-01-20,SELL,WFC,202,49.44,9987.46,-555.67,-5.27,83395.96
2022-01-20,BUY,NFLX,205,50.83,10419.13,,,72976.83
2022-01-21,SELL,NFLX,205,39.75,8148.75,-2270.38,-21.79,81125.58
2022-01-25,BUY,MSFT,36,278.5,10026.08,,,71099.5
2022-01-26,BUY,TSLA,32,312.47,9999.04,,,61100.46
2022-01-26,BUY,INTC,212,47.94,10163.44,,,50937.02
2022-01-26,BUY,ABT,91,111.23,10121.56,,,40815.46
2022-01-27,SELL,INTC,212,44.56,9447.73,-715.71,-7.04,50263.19
2022-01-27,BUY,AAPL,64,155.8,9971.38,,,40291.81
2022-01-27,BUY,V,50,199.62,9980.91,,,30310.91
2022-01-27,BUY,MA,29,342.35,9928.16,,,20382.74
2022-01-28,BUY,INTC,230,44.27,10181.63,,,10201.11
2022-01-28,BUY,CAT,54,187.21,10109.08,,,92.03
2022-02-01,SELL,DE,12,357.94,4295.29,315.66,7.93,4387.32
2022-02-01,SELL,BAC,251,42.16,10582.76,112.73,1.08,14970.08
2022-02-01,SELL,ABT,91,117.83,10722.6,601.04,5.94,25692.69
2022-02-01,SELL,INTC,230,45.4,10441.88,260.25,2.56,36134.57
2022-02-01,SELL,CAT,54,191.1,10319.64,210.57,2.08,46454.21
2022-02-02,BUY,GOOGL,63,146.79,9247.57,,,37206.64
