date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,NKE,55,153.48,8441.4,,,91558.6
2022-01-03,BUY,WFC,186,45.6,8482.4,,,83076.2
2022-01-03,BUY,AMD,56,150.24,8413.44,,,74662.76
2022-01-03,BUY,BAC,204,41.48,8461.87,,,66200.9
2022-01-03,BUY,CVX,84,100.5,8441.94,,,57758.95
2022-01-03,BUY,TSLA,21,399.93,8398.46,,,49360.49
2022-01-03,BUY,XOM,155,54.76,8487.84,,,40872.66
2022-01-03,BUY,MSFT,26,323.16,8402.18,,,32470.48
2022-01-03,BUY,COST,15,539.56,8093.42,,,24377.05
2022-01-03,BUY,HD,23,366.89,8438.39,,,15938.66
2022-01-06,SELL,MSFT,26,303.01,7878.35,-523.83,-6.23,23817.01
2022-01-07,SELL,AMD,56,132.0,7392.0,-1021.44,-12.14,31209.01
2022-01-07,SELL,TSLA,21,342.32,7188.72,-1209.74,-14.4,38397.73
2022-01-10,SELL,NKE,55,140.22,7711.93,-729.46,-8.64,46109.66
2022-01-10,SELL,COST,15,493.95,7409.2,-684.22,-8.45,53518.86
2022-01-11,SELL,HD,23,347.16,7984.71,-453.68,-5.38,61503.57
2022-01-14,BUY,JPM,72,142.36,10250.13,,,51253.44
2022-01-19,SELL,JPM,72,134.28,9668.45,-581.68,-5.67,60921.9
2022-01-20,BUY,NFLX,199,50.83,10114.18,,,50807.72
2022-01-21,SELL,NFLX,199,39.75,7910.25,-2203.93,-21.79,58717.97
2022-01-25,BUY,MSFT,35,278.5,9747.58,,,48970.39
2022-01-26,BUY,TSLA,31,312.47,9686.57,,,39283.82
2022-01-26,BUY,INTC,204,47.94,9779.91,,,29503.91
2022-01-26,BUY,ABT,88,111.23,9787.88,,,19716.03
2022-01-27,BUY,AAPL,63,155.8,9815.58,,,9900.45
2022-01-27,BUY,V,49,199.62,9781.29,,,119.16
2022-01-28,SELL,CVX,84,110.06,9245.36,803.42,9.52,9364.53
2022-01-28,BUY,CAT,50,187.21,9360.26,,,4.27
2022-02-01,SELL,TSLA,31,310.42,9622.92,-63.65,-0.66,9627.19
2022-02-01,SELL,INTC,204,45.4,9261.49,-518.42,-5.3,18888.68
2022-02-01,SELL,ABT,88,117.83,10369.11,581.23,5.94,29257.79
2022-02-01,SELL,V,49,225.0,11024.89,1243.6,12.71,40282.68
2022-02-01,SELL,CAT,50,191.1,9555.22,194.97,2.08,49837.9
2022-02-02,BUY,GOOGL,67,146.79,9834.72,,,40003.18
2022-02-02,BUY,AMD,81,122.76,9943.56,,,30059.62
2022-02-02,BUY,TMO,16,596.85,9549.68,,,20509.94
2022-02-02,BUY,UPS,53,190.23,10082.12,,,10427.82
2022-02-03,BUY,AMZN,75,138.85,10413.41,,,14.41
2022-02-11,SELL,GOOGL,67,133.18,8923.18,-911.54,-9.27,8937.59
2022-02-11,SELL,UPS,53,174.97,9273.33,-808.79,-8.02,18210.92
2022-02-11,BUY,PFE,222,40.97,9096.26,,,9114.65
2022-02-11,BUY,KO,171,53.14,9086.98,,,27.67
2022-02-14,SELL,TMO,16,554.43,8870.91,-678.77,-7.11,8898.58
2022-02-16,BUY,NVDA,336,26.46,8889.99,,,8.59
2022-02-23,SELL,PFE,222,37.82,8395.86,-700.4,-7.7,8404.45
2022-02-23,SELL,NVDA,336,22.34,7507.08,-1382.91,-15.56,15911.53
2022-02-28,BUY,LMT,20,390.19,7803.7,,,8107.83
2022-03-01,SELL,BAC,204,38.15,7782.06,-679.81,-8.03,15889.89
2022-03-01,BUY,CRM,38,206.38,7842.53,,,8047.36
2022-03-07,SELL,AMD,81,102.95,8338.95,-1604.61,-16.14,16386.31
2022-03-08,BUY,CVX,56,145.21,8131.92,,,8254.39
2022-03-21,BUY,NKE,67,121.62,8148.54,,,105.85
2022-04-01,SELL,WFC,186,43.99,8181.21,-301.19,-3.55,8287.06
2022-04-01,SELL,AAPL,63,170.79,10759.54,943.96,9.62,19046.6
2022-04-01,SELL,AMZN,75,163.56,12267.0,1853.59,17.8,31313.6
2022-04-01,SELL,KO,171,55.84,9548.38,461.4,5.08,40861.98
2022-04-01,SELL,CRM,38,209.7,7968.68,126.15,1.61,48830.66
2022-04-01,SELL,NKE,67,124.73,8356.96,208.42,2.56,57187.62
2022-04-01,BUY,NVDA,268,26.66,7145.81,,,50041.81
2022-04-01,BUY,UNH,15,476.83,7152.41,,,42889.4
2022-04-01,BUY,LLY,25,282.65,7066.3,,,35823.09
2022-04-01,BUY,PFE,172,41.61,7157.2,,,28665.9
2022-04-01,BUY,TMO,12,585.53,7026.42,,,21639.48
2022-04-01,BUY,PG,51,140.06,7142.96,,,14496.52
2022-04-08,SELL,NVDA,268,23.08,6184.63,-961.17,-13.45,20681.15
2022-04-11,BUY,T,660,15.66,10337.88,,,10343.27
2022-04-25,SELL,CVX,56,134.11,7510.09,-621.83,-7.65,17853.36
2022-04-25,SELL,TMO,12,537.91,6454.9,-571.52,-8.13,24308.26
2022-04-25,BUY,KO,207,58.57,12122.98,,,12185.28
2022-04-26,BUY,V,62,195.04,12092.79,,,92.49
2022-04-29,SELL,XOM,155,74.28,11514.16,3026.32,35.65,11606.65
2022-04-29,BUY,CAT,58,196.87,11418.69,,,187.96
2022-05-02,SELL,LMT,20,387.5,7749.92,-53.79,-0.69,7937.88
2022-05-02,SELL,UNH,15,466.19,6992.78,-159.63,-2.23,14930.66
2022-05-02,SELL,PFE,172,39.01,6708.92,-448.28,-6.26,21639.58
2022-05-02,SELL,T,660,15.48,10214.47,-123.41,-1.19,31854.05
2022-05-02,SELL,V,62,205.16,12719.98,627.19,5.19,44574.02
2022-05-02,SELL,CAT,58,198.3,11501.68,82.98,0.73,56075.7
2022-05-03,BUY,AMD,102,91.13,9295.26,,,46780.44
2022-05-11,SELL,MSFT,35,252.05,8821.74,-925.84,-9.5,55602.18
2022-05-17,BUY,HD,34,271.83,9242.24,,,46359.94
2022-05-18,SELL,KO,207,54.36,11251.54,-871.44,-7.19,57611.48
2022-05-19,SELL,PG,51,128.68,6562.87,-580.09,-8.12,64174.34
2022-06-01,BUY,CRM,52,173.96,9045.73,,,55128.61
2022-06-01,SELL,AMD,102,101.22,10324.44,1029.18,11.07,65453.05
2022-06-01,SELL,HD,34,270.13,9184.41,-57.83,-0.63,74637.46
2022-06-01,SELL,CRM,52,173.96,9045.73,0.0,0.0,83683.2
2022-06-27,BUY,NKE,89,103.48,9209.88,,,74473.32
2022-07-01,SELL,NKE,89,94.75,8433.08,-776.8,-8.43,82906.4
2022-07-12,BUY,PEP,61,150.21,9162.81,,,73743.59
2022-07-15,BUY,UNH,18,494.55,8901.86,,,64841.73
2022-07-18,BUY,GS,33,274.05,9043.79,,,55797.94
2022-07-19,BUY,NFLX,461,20.16,9295.14,,,46502.79
2022-07-20,BUY,TSLA,37,247.5,9157.5,,,37345.29
2022-07-20,BUY,ABT,92,101.11,9301.67,,,28043.63
2022-07-21,BUY,T,602,15.52,9342.18,,,18701.45
2022-07-22,BUY,NEE,129,72.33,9330.05,,,9371.4
2022-07-26,BUY,V,45,206.49,9291.85,,,79.55
2022-08-01,SELL,LLY,25,314.11,7852.74,786.43,11.13,7932.29
2022-08-01,SELL,GS,33,302.09,9969.01,925.22,10.23,17901.3
2022-08-01,SELL,NFLX,461,22.62,10428.28,1133.14,12.19,28329.58
2022-08-01,SELL,TSLA,37,297.28,10999.24,1841.74,20.11,39328.82
2022-08-01,SELL,ABT,92,102.31,9412.53,110.87,1.19,48741.35
2022-08-01,SELL,T,602,15.36,9248.36,-93.82,-1.0,57989.71
2022-08-01,BUY,XOM,53,83.17,4408.06,,,53581.65
2022-08-01,BUY,CVX,32,137.8,4409.75,,,49171.89
2022-08-01,BUY,SO,66,66.91,4416.04,,,44755.86
2022-08-01,BUY,MRK,112,79.04,8851.99,,,35903.86
2022-08-01,BUY,KO,153,57.72,8830.85,,,27073.01
2022-08-01,BUY,ABBV,35,123.37,4318.01,,,22755.01
2022-08-30,SELL,KO,153,55.6,8506.47,-324.38,-3.67,31261.48
2022-08-31,SELL,V,45,193.44,8704.67,-587.19,-6.32,39966.14
2022-09-01,SELL,NEE,129,78.12,10077.42,747.37,8.01,50043.56
2022-09-01,SELL,MRK,112,77.8,8714.01,-137.98,-1.56,58757.57
2022-09-23,SELL,XOM,53,76.22,4039.63,-368.44,-8.36,62797.2
2022-09-23,SELL,CVX,32,125.42,4013.46,-396.29,-8.99,66810.66
2022-09-27,SELL,SO,66,63.13,4166.76,-249.28,-5.64,70977.42
2022-09-28,BUY,LLY,31,325.08,10077.5,,,60899.93
2022-10-13,BUY,BLK,19,520.04,9880.81,,,51019.11
2022-10-14,BUY,JPM,99,102.8,10177.56,,,40841.56
2022-10-18,BUY,NFLX,423,24.09,10188.38,,,30653.18
2022-10-18,BUY,GS,35,287.66,10068.21,,,20584.97
2022-10-18,BUY,LMT,26,393.44,10229.51,,,10355.46
2022-10-19,BUY,TSLA,46,222.04,10213.84,,,141.62
