date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,CRM,16,252.39,4038.29,,,95961.71
2022-01-03,BUY,DE,12,331.64,3979.63,,,91982.07
2022-01-03,BUY,NKE,27,153.48,4143.96,,,87838.12
2022-01-03,BUY,HON,47,178.14,8372.38,,,79465.74
2022-01-03,BUY,DIS,27,153.15,4135.14,,,75330.6
2022-01-03,BUY,COST,7,539.56,3776.93,,,71553.67
2022-01-03,BUY,T,284,14.92,4237.78,,,67315.89
2022-01-03,BUY,VZ,212,39.93,8465.82,,,58850.07
2022-01-03,BUY,INTC,86,49.35,4244.14,,,54605.92
2022-01-05,SELL,CRM,16,224.94,3598.99,-439.3,-10.88,58204.91
2022-01-10,SELL,NKE,27,140.22,3785.86,-358.1,-8.64,61990.77
2022-01-10,SELL,COST,7,493.95,3457.63,-319.3,-8.45,65448.4
2022-01-21,SELL,DIS,27,134.22,3623.92,-511.22,-12.36,69072.32
2022-01-27,SELL,INTC,86,44.56,3832.57,-411.57,-9.7,72904.89
2022-02-11,SELL,HON,47,161.07,7570.36,-802.01,-9.58,80475.25
2022-03-08,SELL,T,284,13.86,3936.64,-301.14,-7.11,84411.89
2022-04-01,SELL,DE,12,395.81,4749.76,770.13,19.35,89161.65
2022-04-01,BUY,HD,15,272.68,4090.2,,,85071.46
2022-04-01,BUY,CMCSA,210,39.31,8255.85,,,76815.6
2022-04-01,BUY,INTC,92,44.96,4136.35,,,72679.26
2022-04-01,BUY,DIS,30,133.85,4015.44,,,68663.82
2022-04-01,BUY,GS,13,298.57,3881.42,,,64782.4
2022-04-01,BUY,T,572,14.45,8266.55,,,56515.85
2022-04-01,BUY,ABT,37,109.85,4064.29,,,52451.55
2022-04-20,SELL,DIS,30,121.7,3651.12,-364.32,-9.07,56102.67
2022-04-28,SELL,CMCSA,210,34.56,7258.11,-997.74,-12.09,63360.78
2022-04-29,SELL,VZ,212,36.12,7656.76,-809.07,-9.56,71017.54
2022-04-29,SELL,INTC,92,40.74,3747.73,-388.62,-9.4,74765.27
2022-05-09,SELL,ABT,37,99.88,3695.43,-368.86,-9.08,78460.7
2022-06-10,SELL,GS,13,261.1,3394.3,-487.11,-12.55,81855.0
2022-06-16,SELL,HD,15,248.56,3728.41,-361.79,-8.85,85583.41
2022-07-01,SELL,T,572,17.25,9866.51,1599.96,19.35,95449.92
