date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-02-01,BUY,ABBV,71,59.66,4235.75,,,95764.25
2019-02-01,BUY,MS,126,33.69,4244.64,,,91519.62
2019-02-01,BUY,WFC,210,40.45,8495.42,,,83024.2
2019-02-01,BUY,T,307,13.81,4240.79,,,78783.41
2019-02-01,BUY,BLK,12,347.9,4174.83,,,74608.57
2019-02-01,BUY,VZ,115,36.91,4244.49,,,70364.08
2019-02-01,BUY,GS,25,166.11,4152.66,,,66211.42
2019-02-01,BUY,WMT,302,28.12,8493.1,,,57718.32
2019-02-01,BUY,AAPL,107,39.55,4231.43,,,53486.88
2019-03-01,SELL,ABBV,71,59.36,4214.7,-21.05,-0.5,57701.58
2019-03-01,SELL,MS,126,34.24,4313.66,69.02,1.63,62015.24
2019-03-01,SELL,WFC,210,41.38,8689.95,194.54,2.29,70705.19
2019-03-01,SELL,T,307,14.19,4356.71,115.92,2.73,75061.9
2019-03-01,SELL,BLK,12,370.41,4444.87,270.03,6.47,79506.77
2019-03-01,SELL,VZ,115,38.54,4432.01,187.52,4.42,83938.78
2019-03-01,SELL,GS,25,168.19,4204.64,51.99,1.25,88143.43
2019-03-01,SELL,WMT,302,29.34,8861.38,368.28,4.34,97004.81
2019-03-01,SELL,AAPL,107,41.73,4465.22,233.79,5.53,101470.04
2019-03-01,BUY,NFLX,241,35.73,8611.41,,,92858.62
2019-03-01,BUY,BA,20,430.3,8606.0,,,84252.62
2019-03-01,BUY,META,53,161.02,8533.87,,,75718.75
2019-03-01,BUY,NKE,108,79.24,8557.49,,,67161.27
2019-03-01,BUY,CRM,53,162.55,8615.41,,,58545.86
2019-03-01,BUY,MA,39,218.55,8523.63,,,50022.23
2019-03-01,BUY,LLY,73,117.66,8588.85,,,41433.37
2019-03-01,BUY,AMD,364,23.68,8619.52,,,32813.85
2019-03-01,BUY,INTC,186,46.16,8586.11,,,24227.75
2019-03-01,BUY,SO,226,38.08,8606.84,,,15620.91
2019-03-06,SELL,BA,20,414.52,8290.37,-315.63,-3.67,23911.28
2019-03-07,SELL,CRM,53,153.73,8147.8,-467.61,-5.43,32059.08
2019-03-07,SELL,AMD,364,22.08,8037.12,-582.4,-6.76,40096.2
2019-03-11,SELL,LLY,73,112.78,8232.87,-355.98,-4.14,48329.07
2019-03-22,SELL,NKE,108,74.72,8069.52,-487.96,-5.7,56398.6
2019-04-01,SELL,INTC,186,47.21,8781.03,194.92,2.27,65179.62
2019-04-01,SELL,SO,226,39.17,8853.09,246.25,2.86,74032.72
2019-04-01,BUY,AAPL,216,45.61,9852.09,,,64180.62
2019-04-01,BUY,AMZN,108,90.71,9796.63,,,54384.0
2019-04-01,BUY,NVDA,1089,4.52,4926.09,,,49457.91
2019-04-01,BUY,ADBE,36,272.17,9798.12,,,39659.79
2019-04-01,BUY,TMO,36,271.15,9761.34,,,29898.44
2019-04-01,BUY,COST,44,221.38,9740.56,,,20157.89
2019-04-01,BUY,XOM,166,59.29,9842.38,,,10315.51
2019-04-17,SELL,TMO,36,252.81,9101.14,-660.2,-6.76,19416.65
2019-05-01,SELL,XOM,166,57.07,9473.88,-368.5,-3.74,28890.52
2019-05-09,SELL,NVDA,1089,4.22,4599.36,-326.73,-6.63,33489.88
2019-05-28,SELL,AAPL,216,42.67,9217.21,-634.88,-6.44,42707.1
2019-06-03,SELL,AMZN,108,84.63,9140.53,-656.1,-6.7,51847.62
2019-07-01,SELL,NFLX,241,37.46,9027.86,416.45,4.84,60875.48
2019-07-01,SELL,COST,44,239.57,10541.2,800.65,8.22,71416.68
2019-07-01,BUY,LMT,26,301.97,7851.27,,,63565.41
2019-07-01,BUY,DIS,58,136.72,7929.77,,,55635.64
2019-07-01,BUY,WMT,239,33.5,8006.48,,,47629.16
2019-07-01,BUY,MSFT,62,127.67,7915.62,,,39713.54
2019-07-01,BUY,AMD,128,31.2,3993.6,,,35719.94
2019-07-01,BUY,BLK,19,400.79,7615.01,,,28104.93
2019-07-01,BUY,KO,190,42.01,7981.65,,,20123.28
2019-08-01,SELL,BLK,19,383.01,7277.2,-337.81,-4.44,27400.48
2019-08-05,SELL,WMT,239,32.05,7659.07,-347.42,-4.34,35059.55
2019-08-05,SELL,AMD,128,27.99,3582.72,-410.88,-10.29,38642.27
2019-08-07,SELL,DIS,58,130.97,7596.41,-333.36,-4.2,46238.67
2019-09-02,SELL,META,53,184.22,9763.89,1230.02,14.41,56002.56
2019-09-02,SELL,ADBE,36,284.51,10242.36,444.24,4.53,66244.92
2019-09-02,SELL,LMT,26,322.73,8391.04,539.77,6.87,74635.96
2019-09-02,SELL,KO,190,44.81,8513.76,532.11,6.67,83149.72
2019-10-01,SELL,MA,39,261.25,10188.89,1665.26,19.54,93338.61
2019-10-01,SELL,MSFT,62,129.41,8023.34,107.72,1.36,101361.95
2019-11-01,BUY,AAPL,140,61.48,8607.45,,,92754.5
2019-11-01,BUY,INTC,173,49.57,8576.33,,,84178.17
2019-11-01,BUY,NVDA,1710,5.04,8615.38,,,75562.78
2019-11-01,BUY,TSLA,206,20.89,4302.79,,,71259.99
2019-11-01,BUY,T,452,19.03,8600.55,,,62659.45
2019-11-01,BUY,CAT,67,127.25,8525.46,,,54133.99
2019-11-01,BUY,MS,221,38.96,8609.46,,,45524.53
2019-11-01,BUY,ABBV,136,63.23,8599.68,,,36924.86
2019-11-01,BUY,JPM,79,107.82,8518.08,,,28406.78
2019-11-01,BUY,DE,53,161.5,8559.26,,,19847.52
2019-11-20,SELL,T,452,18.16,8209.71,-390.83,-4.54,28057.23
2019-11-27,SELL,DE,53,155.03,8216.62,-342.64,-4.0,36273.85
2019-12-02,SELL,NVDA,1710,5.21,8905.17,289.79,3.36,45179.02
2019-12-02,BUY,BAC,467,28.54,13325.88,,,31853.14
2019-12-02,BUY,UNH,53,250.68,13286.01,,,18567.14
2019-12-02,BUY,BLK,31,418.32,12967.98,,,5599.16
