date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-02-01,BUY,NEE,114,37.17,4237.42,,,95762.58
2019-02-01,BUY,SO,232,36.5,8467.41,,,87295.17
2019-02-01,BUY,CVX,49,86.2,4223.64,,,83071.53
2019-02-01,BUY,BLK,12,347.9,4174.83,,,78896.69
2019-02-01,BUY,DE,28,148.19,4149.45,,,74747.24
2019-02-01,BUY,LLY,38,109.8,4172.42,,,70574.82
2019-02-01,BUY,PG,52,81.7,4248.65,,,66326.17
2019-03-01,SELL,CVX,49,89.76,4398.01,174.37,4.13,70724.18
2019-03-01,SELL,DE,28,147.68,4135.02,-14.43,-0.35,74859.2
2019-03-01,SELL,LLY,38,117.66,4470.91,298.49,7.15,79330.1
2019-03-01,SELL,PG,52,82.52,4290.94,42.28,1.0,83621.04
2019-03-01,BUY,META,60,161.02,9660.99,,,73960.05
2019-03-01,BUY,GS,58,168.19,9754.77,,,64205.28
2019-03-01,BUY,HD,63,154.88,9757.2,,,54448.08
2019-03-01,BUY,MS,285,34.24,9757.08,,,44691.0
2019-03-01,BUY,AMD,412,23.68,9756.16,,,34934.84
2019-03-01,BUY,ABT,140,69.51,9730.79,,,25204.05
2019-03-01,BUY,TMO,37,259.05,9584.84,,,15619.21
2019-03-05,SELL,TMO,37,249.63,9236.37,-348.46,-3.64,24855.59
2019-03-07,SELL,AMD,412,22.08,9096.96,-659.2,-6.76,33952.55
2019-03-22,SELL,GS,58,160.35,9300.01,-454.76,-4.66,43252.56
2019-04-01,SELL,HD,63,164.85,10385.66,628.46,6.44,53638.22
2019-04-01,SELL,ABT,140,70.45,9863.27,132.49,1.36,63501.5
2019-04-01,BUY,AAPL,256,45.61,11676.55,,,51824.94
2019-04-01,BUY,JNJ,102,114.32,11660.37,,,40164.57
2019-04-01,BUY,PG,134,86.88,11641.5,,,28523.06
2019-04-01,BUY,INTC,247,47.21,11660.83,,,16862.24
2019-04-04,SELL,JNJ,102,111.51,11374.28,-286.09,-2.45,28236.52
2019-04-29,SELL,INTC,247,44.27,10933.5,-727.33,-6.24,39170.01
2019-05-01,SELL,SO,232,40.02,9284.35,816.95,9.65,48454.37
2019-05-01,SELL,META,60,191.53,11491.62,1830.63,18.95,59945.98
2019-05-01,SELL,PG,134,88.58,11869.61,228.11,1.96,71815.6
2019-05-01,BUY,CMCSA,327,33.89,11080.83,,,60734.77
2019-05-01,BUY,V,71,154.99,11004.18,,,49730.59
2019-05-01,BUY,MCD,67,165.15,11064.93,,,38665.65
2019-05-01,BUY,MA,46,239.57,11020.04,,,27645.62
2019-05-01,BUY,HD,66,167.51,11055.96,,,16589.66
2019-05-01,BUY,JNJ,95,116.76,11092.23,,,5497.43
2019-05-13,SELL,V,71,149.79,10635.1,-369.08,-3.35,16132.53
2019-05-13,SELL,HD,66,160.39,10585.47,-470.49,-4.26,26718.0
