date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,KO,93,37.58,3495.19,,,96504.81
2019-02-01,BUY,NEE,121,37.17,4497.62,,,92007.19
2019-02-01,BUY,MCD,60,149.36,8961.33,,,83045.86
2019-02-01,BUY,SO,248,36.5,9051.36,,,73994.5
2019-02-01,BUY,MRK,77,58.29,4488.64,,,69505.86
2019-02-01,BUY,VZ,122,36.91,4502.86,,,65003.01
2019-02-01,BUY,DIS,84,107.43,9023.82,,,55979.19
2019-02-01,BUY,PG,55,81.7,4493.77,,,51485.42
2019-02-01,BUY,LLY,41,109.8,4501.82,,,46983.6
2019-02-01,BUY,PEP,100,89.94,8993.86,,,37989.74
2019-02-14,SELL,KO,93,36.51,3395.39,-99.8,-2.86,41385.13
2019-03-01,BUY,PFE,877,29.63,25981.44,,,15403.69
2019-03-06,SELL,PFE,877,28.6,25082.63,-898.8,-3.46,40486.33
2019-03-21,SELL,DIS,84,104.88,8809.77,-214.04,-2.37,49296.1
2019-04-01,BUY,JNJ,193,114.32,22063.26,,,27232.84
2019-04-01,BUY,DIS,203,108.59,22044.64,,,5188.21
2019-04-04,SELL,JNJ,193,111.51,21521.92,-541.33,-2.45,26710.13
2019-04-17,SELL,MRK,77,56.75,4369.54,-119.09,-2.65,31079.67
2019-04-17,SELL,LLY,41,106.39,4361.86,-139.97,-3.11,35441.53
2019-05-01,SELL,DIS,203,131.63,26721.6,4676.97,21.22,62163.13
2019-05-01,BUY,JNJ,121,116.76,14128.0,,,48035.13
2019-05-01,BUY,V,91,154.99,14103.95,,,33931.18
2019-05-01,BUY,MRK,235,60.43,14201.57,,,19729.61
2019-05-01,BUY,CMCSA,419,33.89,14198.38,,,5531.24
2019-05-13,SELL,JNJ,121,112.85,13655.24,-472.76,-3.35,19186.48
2019-05-13,SELL,V,91,149.79,13630.9,-473.05,-3.35,32817.38
2019-05-29,SELL,CMCSA,419,32.72,13707.88,-490.5,-3.45,46525.26
2019-06-03,SELL,VZ,122,38.54,4701.86,199.01,4.42,51227.12
2019-06-03,BUY,KO,92,40.37,3714.46,,,47512.66
2019-06-03,BUY,WMT,121,30.88,3736.16,,,43776.5
2019-06-03,BUY,PFE,129,28.9,3727.52,,,40048.97
2019-06-03,BUY,ABT,55,67.23,3697.79,,,36351.18
2019-07-30,SELL,PFE,129,26.74,3449.2,-278.32,-7.47,39800.39
2019-08-01,BUY,DIS,248,137.76,34164.74,,,5635.65
2019-08-05,SELL,DIS,248,134.31,33309.71,-855.02,-2.5,38945.36
2019-09-02,SELL,WMT,121,34.77,4207.48,471.32,12.62,43152.85
2019-09-02,BUY,VZ,467,40.18,18761.76,,,24391.08
2019-09-02,BUY,T,1109,16.91,18758.52,,,5632.56
2019-10-22,TRIM,NEE,40,50.31,2012.29,525.48,35.34,7644.86
2019-11-01,SELL,MCD,60,166.8,10007.76,1046.43,11.68,17652.62
2019-11-01,SELL,MRK,235,66.08,15528.56,1326.99,9.34,33181.17
2019-11-01,SELL,ABT,55,73.97,4068.61,370.82,10.03,37249.78
2019-11-01,BUY,HD,32,202.62,6483.9,,,30765.87
2019-11-01,BUY,LMT,20,318.58,6371.63,,,24394.24
2019-11-01,BUY,DIS,51,128.92,6575.09,,,17819.15
2019-11-05,SELL,HD,32,198.23,6343.48,-140.42,-2.17,24162.64
2019-11-20,TRIM,SO,82,49.41,4051.53,1058.74,35.38,28214.16
2019-12-02,SELL,T,1109,18.23,20218.7,1460.18,7.78,48432.86
2019-12-02,SELL,LMT,20,324.29,6485.9,114.26,1.79,54918.76
2019-12-02,SELL,DIS,51,146.28,7460.19,885.1,13.46,62378.95
2019-12-02,BUY,WMT,390,36.3,14157.13,,,48221.82
2019-12-02,BUY,COST,52,271.52,14119.08,,,34102.75
2019-12-02,BUY,ABT,187,75.63,14142.86,,,19959.89
2019-12-02,BUY,HD,76,185.79,14119.78,,,5840.11
2019-12-13,SELL,COST,52,266.48,13857.01,-262.07,-1.86,19697.11
