date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-04-01,BUY,WFC,235,40.37,9487.34,,,90512.66
2019-04-01,BUY,ABBV,158,59.87,9458.81,,,81053.85
2019-04-01,BUY,GS,28,166.95,4674.51,,,76379.34
2019-04-01,BUY,BLK,12,368.7,4424.37,,,71954.97
2019-04-01,BUY,UNH,21,218.1,4580.02,,,67374.95
2019-04-01,BUY,MS,135,35.07,4733.78,,,62641.16
2019-04-01,BUY,JPM,55,86.31,4746.84,,,57894.32
2019-04-01,BUY,META,28,167.39,4686.82,,,53207.5
2019-04-01,BUY,WMT,322,29.47,9488.4,,,43719.1
2019-04-01,BUY,LMT,37,252.57,9345.03,,,34374.07
2019-04-12,SELL,UNH,21,198.27,4163.69,-416.33,-9.09,38537.76
2019-05-15,SELL,WFC,235,38.28,8996.18,-491.15,-5.18,47533.95
2019-05-31,SELL,GS,28,155.55,4355.48,-319.04,-6.83,51889.42
2019-06-25,SELL,ABBV,158,49.34,7795.04,-1663.77,-17.59,59684.47
2019-07-01,SELL,BLK,12,400.79,4809.48,385.11,8.7,64493.95
2019-07-01,SELL,MS,135,35.63,4809.59,75.8,1.6,69303.54
2019-07-01,SELL,JPM,55,94.48,5196.39,449.55,9.47,74499.92
2019-07-01,SELL,META,28,191.5,5361.92,675.1,14.4,79861.84
2019-07-01,SELL,WMT,322,33.5,10786.98,1298.58,13.69,90648.82
2019-07-01,SELL,LMT,37,301.97,11172.97,1827.94,19.56,101821.79
2019-07-01,BUY,LLY,41,103.53,4244.76,,,97577.03
2019-07-01,BUY,WFC,108,39.83,4301.27,,,93275.76
2019-07-01,BUY,BA,12,350.11,4201.33,,,89074.42
2019-07-01,BUY,GOOGL,158,54.55,8618.77,,,80455.66
2019-07-01,BUY,PEP,80,107.35,8588.23,,,71867.43
2019-07-01,BUY,VZ,223,38.73,8637.07,,,63230.36
2019-07-01,BUY,INTC,103,41.87,4312.59,,,58917.77
2019-07-01,BUY,UNH,39,216.47,8442.52,,,50475.25
2019-07-01,BUY,UPS,55,78.67,4326.62,,,46148.62
2019-08-05,SELL,PEP,80,101.27,8101.74,-486.49,-5.66,54250.36
2019-08-14,SELL,BA,12,316.68,3800.12,-401.21,-9.55,58050.48
2019-08-15,SELL,WFC,108,36.64,3956.59,-344.68,-8.01,62007.07
2019-08-27,SELL,UNH,39,198.89,7756.72,-685.8,-8.12,69763.8
2019-10-01,SELL,LLY,41,102.47,4201.16,-43.6,-1.03,73964.96
2019-10-01,SELL,GOOGL,158,59.81,9449.3,830.54,9.64,83414.26
2019-10-01,SELL,VZ,223,41.34,9219.37,582.31,6.74,92633.63
2019-10-01,SELL,INTC,103,44.53,4586.58,273.99,6.35,97220.21
2019-10-01,SELL,UPS,55,89.23,4907.5,580.88,13.43,102127.72
2019-10-01,BUY,PFE,196,24.65,4831.48,,,97296.23
2019-10-01,BUY,XOM,94,51.22,4814.92,,,92481.31
2019-10-01,BUY,DIS,38,125.82,4780.99,,,87700.32
2019-10-01,BUY,AMZN,55,86.78,4773.04,,,82927.28
2019-10-01,BUY,CVX,55,87.05,4787.9,,,78139.38
