date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,PFE,309,27.49,8495.91,,,91504.09
2020-01-02,BUY,JNJ,69,122.64,8462.04,,,83042.06
2020-01-02,BUY,XOM,159,53.31,8475.72,,,74566.34
2020-01-02,BUY,AMZN,89,94.9,8446.14,,,66120.19
2020-01-02,BUY,MSFT,55,152.16,8368.71,,,57751.48
2020-01-02,BUY,NFLX,257,32.98,8476.12,,,49275.36
2020-01-02,BUY,JPM,71,119.04,8451.59,,,40823.78
2020-01-02,BUY,LMT,25,337.61,8440.23,,,32383.55
2020-01-02,BUY,V,46,182.81,8409.23,,,23974.32
2020-01-02,BUY,GS,42,202.12,8488.99,,,15485.32
2020-01-07,SELL,JPM,71,115.38,8191.75,-259.83,-3.07,23677.08
2020-01-16,SELL,XOM,159,51.74,8227.07,-248.65,-2.93,31904.14
2020-01-27,SELL,AMZN,89,91.42,8136.11,-310.03,-3.67,40040.25
2020-01-29,SELL,PFE,309,26.4,8157.29,-338.62,-3.99,48197.54
2020-02-03,SELL,JNJ,69,126.17,8705.52,243.48,2.88,56903.06
2020-02-03,SELL,NFLX,257,35.8,9200.6,724.48,8.55,66103.66
2020-02-03,SELL,GS,42,206.16,8658.91,169.91,2.0,74762.56
2020-02-03,BUY,KO,205,48.4,9921.75,,,64840.81
2020-02-03,BUY,MRK,145,68.41,9919.73,,,54921.08
2020-02-03,BUY,MA,31,313.72,9725.19,,,45195.89
2020-02-03,BUY,SO,178,55.64,9904.28,,,35291.61
2020-02-03,BUY,MCD,53,186.25,9871.21,,,25420.41
2020-02-03,BUY,AAPL,133,74.4,9895.69,,,15524.72
2020-02-03,BUY,NEE,174,57.12,9939.08,,,5585.64
2020-02-05,SELL,SO,178,54.33,9670.33,-233.95,-2.36,15255.97
2020-02-12,SELL,MRK,145,65.21,9455.21,-464.52,-4.68,24711.18
2020-02-25,SELL,MA,31,292.81,9076.98,-648.21,-6.67,33788.16
2020-02-25,SELL,AAPL,133,69.61,9257.81,-637.88,-6.45,43045.97
2020-02-27,SELL,V,46,172.43,7931.86,-477.37,-5.68,50977.83
2020-02-27,SELL,KO,205,45.38,9303.54,-618.21,-6.23,60281.37
2020-02-27,SELL,MCD,53,173.98,9220.71,-650.49,-6.59,69502.08
2020-02-27,SELL,NEE,174,55.06,9580.58,-358.5,-3.61,79082.66
2020-02-28,SELL,LMT,25,314.63,7865.87,-574.36,-6.81,86948.53
2020-03-12,SELL,MSFT,55,132.09,7265.17,-1103.54,-13.19,94213.7
2020-05-19,BUY,WMT,244,38.53,9402.34,,,84811.36
2020-05-21,BUY,NVDA,1078,8.74,9422.77,,,75388.58
2020-05-22,BUY,DE,72,130.33,9383.51,,,66005.08
2020-06-01,BUY,COST,26,282.71,7350.47,,,58654.6
2020-06-01,BUY,AMZN,59,123.55,7289.57,,,51365.04
2020-06-01,BUY,UPS,94,78.67,7394.82,,,43970.21
2020-06-01,BUY,CRM,42,174.24,7318.2,,,36652.01
2020-06-12,SELL,WMT,244,36.31,8859.8,-542.54,-5.77,45511.81
2020-06-15,SELL,COST,26,272.52,7085.58,-264.89,-3.6,52597.39
