date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,PEP,75,112.11,8408.43,,,91591.57
2020-01-02,BUY,COST,31,266.13,8250.15,,,83341.42
2020-01-02,BUY,WMT,233,36.36,8471.7,,,74869.72
2020-01-02,BUY,VZ,199,42.61,8479.43,,,66390.29
2020-01-02,BUY,LMT,25,337.61,8440.23,,,57950.05
2020-01-02,BUY,SO,172,49.28,8476.67,,,49473.39
2020-01-02,BUY,KO,187,45.43,8495.92,,,40977.47
2020-01-02,BUY,MSFT,55,152.16,8368.71,,,32608.76
2020-01-02,BUY,NEE,166,51.09,8480.27,,,24128.49
2020-01-02,BUY,PG,80,105.52,8441.92,,,15686.56
2020-01-07,SELL,WMT,233,35.63,8302.18,-169.52,-2.0,23988.74
2020-01-07,SELL,VZ,199,41.6,8278.04,-201.4,-2.38,32266.78
2020-01-07,SELL,MSFT,55,149.28,8210.32,-158.39,-1.89,40477.1
2020-02-03,BUY,WMT,336,34.93,11737.02,,,28740.07
2020-02-03,BUY,JNJ,93,126.17,11733.52,,,17006.55
2020-02-03,BUY,VZ,287,40.94,11749.21,,,5257.34
2020-02-24,SELL,JNJ,93,123.37,11473.36,-260.16,-2.22,16730.71
2020-02-27,SELL,LMT,25,325.12,8128.08,-312.15,-3.7,24858.79
2020-02-27,SELL,PG,80,97.63,7810.15,-631.77,-7.48,32668.94
2020-02-27,SELL,WMT,336,33.75,11339.53,-397.5,-3.39,44008.47
2020-02-27,SELL,VZ,287,38.83,11144.04,-605.17,-5.15,55152.51
2020-02-28,SELL,COST,31,257.23,7973.99,-276.16,-3.35,63126.5
2020-02-28,SELL,KO,187,44.19,8264.17,-231.75,-2.73,71390.67
2020-03-02,SELL,SO,172,50.77,8731.85,255.18,3.01,80122.51
2020-03-12,SELL,PEP,75,95.85,7188.76,-1219.68,-14.51,87311.27
2020-03-12,SELL,NEE,166,44.95,7462.47,-1017.8,-12.0,94773.74
2020-05-19,BUY,WMT,245,38.53,9440.88,,,85332.86
2020-06-01,BUY,LLY,55,143.0,7864.75,,,77468.11
2020-06-01,BUY,COST,27,282.71,7633.18,,,69834.93
2020-06-01,BUY,AAPL,101,77.98,7875.76,,,61959.17
2020-06-01,BUY,MSFT,45,174.16,7836.98,,,54122.19
2020-06-01,BUY,ABBV,109,72.16,7865.87,,,46256.32
2020-06-01,BUY,INTC,143,55.14,7885.69,,,38370.63
2020-06-10,SELL,WMT,245,37.37,9154.52,-286.36,-3.03,47525.15
2020-06-11,SELL,LLY,55,135.14,7432.95,-431.8,-5.49,54958.1
2020-06-12,SELL,COST,27,273.92,7395.74,-237.44,-3.11,62353.84
2020-06-24,SELL,INTC,143,52.68,7532.58,-353.11,-4.48,69886.42
