date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,BA,12,331.35,3976.18,,,96023.82
2020-01-02,BUY,PEP,75,112.11,8408.43,,,87615.39
2020-01-02,BUY,COST,31,266.13,8250.15,,,79365.23
2020-01-02,BUY,XOM,159,53.31,8475.72,,,70889.52
2020-01-02,BUY,WMT,233,36.36,8471.7,,,62417.82
2020-01-02,BUY,PG,80,105.52,8441.92,,,53975.89
2020-01-02,BUY,HD,45,188.73,8492.75,,,45483.15
2020-01-02,BUY,PFE,309,27.49,8495.91,,,36987.24
2020-01-02,BUY,VZ,199,42.61,8479.43,,,28507.81
2020-01-02,BUY,MCD,48,173.79,8342.11,,,20165.7
2020-01-17,SELL,WMT,233,35.14,8188.22,-283.48,-3.35,28353.92
2020-01-21,SELL,XOM,159,50.81,8078.83,-396.89,-4.68,36432.75
2020-01-22,SELL,BA,12,307.17,3686.07,-290.11,-7.3,40118.81
2020-02-03,SELL,VZ,199,40.94,8146.66,-332.77,-3.92,48265.48
2020-02-14,SELL,PFE,309,25.91,8005.98,-489.93,-5.77,56271.46
2020-02-27,SELL,PG,80,97.63,7810.15,-631.77,-7.48,64081.61
2020-03-12,SELL,PEP,75,95.85,7188.76,-1219.68,-14.51,71270.37
2020-03-12,SELL,MCD,48,148.18,7112.53,-1229.58,-14.74,78382.89
2020-03-16,SELL,HD,45,142.68,6420.54,-2072.2,-24.4,84803.43
2020-04-01,SELL,COST,31,262.39,8133.96,-116.2,-1.41,92937.39
