date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-13,BUY,JPM,75,133.2,9990.02,,,90009.98
2023-01-13,BUY,BAC,308,32.38,9973.37,,,80036.61
2023-01-13,BUY,WFC,245,40.69,9967.95,,,70068.66
2023-01-13,BUY,BLK,14,697.51,9765.1,,,60303.56
2023-01-17,BUY,MS,115,87.24,10032.31,,,50271.25
2023-01-18,SELL,JPM,75,127.2,9540.15,-449.87,-4.5,59811.4
2023-01-19,SELL,BAC,308,30.54,9407.18,-566.19,-5.68,69218.58
2023-01-20,BUY,NFLX,288,34.25,9864.0,,,59354.58
2023-01-24,BUY,JNJ,64,152.82,9780.79,,,49573.8
2023-01-25,BUY,TSLA,68,144.43,9821.24,,,39752.56
2023-01-25,BUY,ABT,94,104.65,9837.45,,,29915.11
2023-01-25,BUY,T,576,17.29,9960.49,,,19954.62
2023-01-26,BUY,V,45,219.24,9865.62,,,10089.0
2023-01-26,BUY,CMCSA,294,34.28,10079.43,,,9.57
2023-01-30,SELL,JNJ,64,147.1,9414.1,-366.69,-3.75,9423.67
2023-01-31,BUY,PFE,255,36.85,9396.06,,,27.6
2023-02-01,SELL,MS,115,88.95,10228.86,196.55,1.96,10256.46
2023-02-01,SELL,NFLX,288,36.2,10425.31,561.31,5.69,20681.77
2023-02-01,SELL,PFE,255,36.69,9355.64,-40.43,-0.43,30037.41
2023-02-01,BUY,JPM,31,130.01,4030.46,,,26006.95
2023-02-01,BUY,BAC,125,33.02,4126.91,,,21880.04
2023-02-02,BUY,LLY,67,322.4,21600.78,,,279.26
2023-02-07,SELL,T,576,16.3,9389.79,-570.7,-5.73,9669.05
2023-02-07,TRIM,TSLA,22,196.81,4329.82,1152.36,36.27,13998.87
2023-02-08,BUY,DIS,128,109.21,13978.65,,,20.22
2023-02-09,SELL,BLK,14,662.34,9272.7,-492.41,-5.04,9292.92
2023-02-09,SELL,CMCSA,294,32.15,9453.36,-626.06,-6.21,18746.28
2023-02-15,SELL,ABT,94,101.15,9507.76,-329.69,-3.35,28254.04
2023-02-16,BUY,SO,160,58.59,9374.09,,,18879.95
2023-02-17,SELL,DIS,128,102.8,13158.29,-820.36,-5.87,32038.24
2023-02-17,BUY,DE,25,415.51,10387.86,,,21650.38
2023-02-21,SELL,BAC,125,31.73,3966.06,-160.85,-3.9,25616.44
2023-02-21,BUY,WMT,180,47.25,8504.84,,,17111.61
2023-02-22,BUY,NVDA,412,20.73,8541.63,,,8569.97
2023-02-27,SELL,WMT,180,45.36,8164.83,-340.01,-4.0,16734.8
2023-02-28,SELL,LLY,67,304.39,20394.15,-1206.63,-5.59,37128.95
2023-03-01,SELL,SO,160,56.02,8962.77,-411.32,-4.39,46091.72
2023-03-01,BUY,CRM,69,165.34,11408.53,,,34683.18
2023-03-09,SELL,WFC,245,38.08,9330.55,-637.4,-6.39,44013.74
2023-03-09,SELL,JPM,31,121.4,3763.38,-267.08,-6.63,47777.12
2023-03-10,SELL,V,45,211.29,9507.95,-357.67,-3.63,57285.07
2023-03-10,SELL,DE,25,379.67,9491.74,-896.12,-8.63,66776.81
2023-03-21,BUY,NKE,80,118.67,9493.56,,,57283.25
2023-03-22,SELL,NKE,80,112.9,9031.77,-461.79,-4.86,66315.02
2023-03-23,BUY,NKE,82,114.29,9371.45,,,56943.57
2023-04-03,SELL,TSLA,46,194.77,8959.42,2315.64,34.85,65902.99
2023-04-03,BUY,ADBE,9,380.08,3420.72,,,62482.27
2023-04-03,BUY,COST,15,477.21,7158.22,,,55324.05
