date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-04-03,BUY,VZ,265,32.0,8478.98,,,91521.02
2023-04-03,BUY,WMT,177,47.88,8474.88,,,83046.13
2023-04-03,BUY,PFE,246,34.5,8487.65,,,74558.49
2023-04-03,BUY,COST,17,477.21,8112.65,,,66445.83
2023-04-03,BUY,JNJ,59,143.44,8463.16,,,57982.67
2023-04-03,BUY,ABT,44,95.78,4214.39,,,53768.27
2023-04-03,BUY,DIS,43,97.46,4190.98,,,49577.29
2023-04-03,BUY,MS,53,78.95,4184.61,,,45392.68
2023-04-25,SELL,PFE,246,32.82,8073.02,-414.63,-4.89,53465.69
2023-05-16,SELL,VZ,265,29.9,7922.64,-556.34,-6.56,61388.34
2023-05-16,SELL,DIS,43,88.89,3822.13,-368.85,-8.8,65210.47
2023-07-03,SELL,WMT,177,51.14,9051.18,576.3,6.8,74261.65
2023-07-03,SELL,COST,17,520.55,8849.41,736.76,9.08,83111.06
2023-07-03,SELL,JNJ,59,150.51,8880.38,417.22,4.93,91991.45
2023-07-03,SELL,ABT,44,101.6,4470.18,255.79,6.07,96461.63
2023-07-03,SELL,MS,53,78.95,4184.53,-0.08,-0.0,100646.16
2023-07-03,BUY,PFE,154,30.91,4760.42,,,95885.74
2023-07-03,BUY,DIS,108,88.42,9549.12,,,86336.61
2023-07-03,BUY,ABBV,78,122.25,9535.61,,,76801.0
2023-07-03,BUY,VZ,309,30.92,9553.3,,,67247.71
2023-07-03,BUY,NEE,139,68.58,9532.26,,,57715.45
2023-07-03,BUY,GS,15,305.79,4586.85,,,53128.6
2023-07-03,BUY,UNH,10,452.35,4523.52,,,48605.08
2023-07-03,BUY,TMO,18,514.67,9264.0,,,39341.08
2023-07-03,BUY,CVX,68,139.82,9507.82,,,29833.26
2023-07-03,BUY,BAC,351,27.23,9557.14,,,20276.12
2023-07-11,SELL,VZ,309,29.54,9126.98,-426.32,-4.46,29403.11
2023-07-13,SELL,UNH,10,423.83,4238.32,-285.2,-6.3,33641.42
2023-07-17,SELL,DIS,108,83.59,9027.88,-521.25,-5.46,42669.3
2023-08-04,SELL,NEE,139,63.77,8864.56,-667.7,-7.0,51533.86
2023-09-11,SELL,PFE,154,28.95,4457.54,-302.88,-6.36,55991.4
2023-09-26,SELL,BAC,351,25.55,8966.83,-590.31,-6.18,64958.23
2023-10-02,SELL,ABBV,78,135.73,10586.81,1051.21,11.02,75545.04
2023-10-02,SELL,GS,15,300.68,4510.25,-76.6,-1.67,80055.29
2023-10-02,SELL,TMO,18,491.88,8853.9,-410.1,-4.43,88909.19
2023-10-02,SELL,CVX,68,149.54,10168.88,661.06,6.95,99078.07
2023-10-02,BUY,CRM,19,201.26,3824.03,,,95254.04
2023-10-02,BUY,VZ,147,26.81,3941.15,,,91312.9
2023-10-02,BUY,BA,21,187.83,3944.43,,,87368.47
2023-10-02,BUY,MCD,16,243.09,3889.49,,,83478.98
2023-10-02,BUY,BAC,157,25.1,3941.42,,,79537.56
2023-10-02,BUY,PEP,25,155.04,3876.1,,,75661.46
2023-10-02,BUY,ABT,43,91.14,3919.14,,,71742.32
2023-10-05,SELL,PEP,25,146.73,3668.28,-207.82,-5.36,75410.6
2023-12-08,TRIM,BA,7,244.7,1712.9,398.09,30.28,77123.5
2023-12-21,TRIM,CRM,6,264.04,1584.25,376.66,31.19,78707.75
