date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,WMT,194,43.65,8468.44,,,91531.56
2021-07-01,BUY,DE,12,333.58,4003.0,,,87528.56
2021-07-01,BUY,CRM,35,242.04,8471.37,,,79057.19
2021-07-01,BUY,HD,29,286.04,8295.25,,,70761.94
2021-07-01,BUY,VZ,202,41.89,8462.02,,,62299.92
2021-07-01,BUY,SO,164,51.54,8452.38,,,53847.54
2021-07-01,BUY,T,522,16.25,8484.72,,,45362.82
2021-07-01,BUY,INTC,165,51.26,8457.17,,,36905.65
2021-07-01,BUY,CAT,21,198.53,4169.23,,,32736.42
2021-07-01,BUY,DIS,49,173.18,8485.9,,,24250.52
2021-08-18,SELL,INTC,165,48.07,7931.58,-525.59,-6.21,32182.1
2021-08-24,SELL,T,522,15.7,8195.92,-288.79,-3.4,40378.02
2021-09-10,SELL,VZ,202,40.81,8243.93,-218.09,-2.58,48621.95
2021-09-14,SELL,CAT,21,186.36,3913.47,-255.76,-6.13,52535.42
2021-10-01,SELL,CRM,35,271.96,9518.45,1047.08,12.36,62053.87
2021-10-01,SELL,HD,29,294.94,8553.16,257.91,3.11,70607.02
2021-10-01,SELL,DIS,49,171.96,8426.06,-59.84,-0.71,79033.08
2021-10-01,BUY,UPS,35,148.01,5180.39,,,73852.69
2021-10-01,BUY,JNJ,37,141.05,5218.92,,,68633.77
2021-10-01,BUY,T,340,15.54,5281.94,,,63351.82
2021-10-01,BUY,INTC,106,49.61,5258.49,,,58093.34
2021-10-01,BUY,KO,114,46.37,5286.5,,,52806.84
2021-10-22,SELL,INTC,106,45.56,4828.9,-429.58,-8.17,57635.74
2021-10-27,SELL,T,340,14.7,4999.59,-282.36,-5.35,62635.33
2022-01-03,SELL,WMT,194,45.67,8860.31,391.87,4.63,71495.64
2022-01-03,SELL,SO,164,58.34,9567.36,1114.98,13.19,81063.0
2022-01-03,SELL,UPS,35,174.98,6124.18,943.79,18.22,87187.18
2022-01-03,SELL,JNJ,37,151.77,5615.49,396.57,7.6,92802.67
2022-01-03,SELL,KO,114,52.27,5958.51,672.01,12.71,98761.18
2022-01-03,BUY,CRM,20,252.39,5047.87,,,93713.32
2022-01-03,BUY,NKE,33,153.48,5064.84,,,88648.48
2022-01-03,BUY,HON,58,178.14,10331.87,,,78316.61
2022-01-03,BUY,DIS,33,153.15,5054.06,,,73262.55
2022-01-03,BUY,COST,9,539.56,4856.05,,,68406.49
2022-01-03,BUY,NFLX,87,59.74,5197.12,,,63209.37
2022-01-03,BUY,T,348,14.92,5192.78,,,58016.6
2022-01-03,BUY,BA,25,207.86,5196.5,,,52820.1
2022-01-05,SELL,CRM,20,224.94,4498.74,-549.13,-10.88,57318.84
2022-01-07,SELL,NFLX,87,54.11,4707.22,-489.9,-9.43,62026.06
2022-01-10,SELL,NKE,33,140.22,4627.16,-437.68,-8.64,66653.22
2022-01-10,SELL,COST,9,493.95,4445.52,-410.53,-8.45,71098.74
2022-01-21,SELL,DIS,33,134.22,4429.23,-624.83,-12.36,75527.97
2022-02-11,SELL,HON,58,161.07,9342.15,-989.72,-9.58,84870.12
2022-03-04,SELL,BA,25,180.84,4521.0,-675.5,-13.0,89391.12
2022-03-08,SELL,T,348,13.86,4823.77,-369.01,-7.11,94214.89
2022-04-01,SELL,DE,12,395.81,4749.76,746.76,18.65,98964.65
2022-04-01,BUY,HD,15,272.68,4090.2,,,94874.46
2022-04-01,BUY,CMCSA,213,39.31,8373.79,,,86500.66
2022-04-01,BUY,DIS,31,133.85,4149.29,,,82351.38
2022-04-01,BUY,VZ,209,40.17,8395.03,,,73956.35
2022-04-01,BUY,GS,14,298.57,4179.99,,,69776.36
2022-04-01,BUY,ABT,38,109.85,4174.14,,,65602.22
2022-04-01,BUY,JPM,34,122.0,4148.12,,,61454.1
2022-04-20,SELL,DIS,31,121.7,3772.82,-376.46,-9.07,65226.92
2022-04-26,SELL,JPM,34,111.74,3799.3,-348.81,-8.41,69026.23
2022-04-28,SELL,CMCSA,213,34.56,7361.8,-1011.99,-12.09,76388.03
2022-04-29,SELL,VZ,209,36.12,7548.41,-846.63,-10.08,83936.43
2022-05-09,SELL,ABT,38,99.88,3795.31,-378.83,-9.08,87731.74
2022-06-10,SELL,GS,14,261.1,3655.41,-524.58,-12.55,91387.14
2022-06-16,SELL,HD,15,248.56,3728.41,-361.79,-8.85,95115.55
