date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-12,BUY,PEP,66,151.12,9974.01,,,90025.99
2022-12-01,SELL,PEP,66,166.89,11014.43,1040.42,10.43,101040.42
2022-12-20,BUY,NKE,103,97.23,10014.69,,,91025.73
2023-01-02,SELL,NKE,103,110.23,11353.73,1339.04,13.37,102379.46
2023-01-13,BUY,JPM,76,133.2,10123.22,,,92256.24
2023-01-13,BUY,BAC,316,32.38,10232.41,,,82023.83
2023-01-13,BUY,WFC,252,40.69,10252.75,,,71771.08
2023-01-13,BUY,BLK,14,697.51,9765.1,,,62005.98
2023-01-18,SELL,JPM,76,127.2,9667.36,-455.86,-4.5,71673.34
2023-01-19,SELL,BAC,316,30.54,9651.52,-580.89,-5.68,81324.86
2023-01-24,BUY,JNJ,66,152.82,10086.43,,,71238.42
2023-01-25,BUY,TSLA,70,144.43,10110.1,,,61128.32
2023-01-25,BUY,ABT,97,104.65,10151.41,,,50976.91
2023-01-25,BUY,T,589,17.29,10185.3,,,40791.62
2023-01-26,BUY,V,46,219.24,10084.86,,,30706.76
2023-01-26,BUY,CMCSA,298,34.28,10216.57,,,20490.19
2023-01-30,SELL,JNJ,66,147.1,9708.29,-378.15,-3.75,30198.48
2023-01-31,BUY,PFE,273,36.85,10059.32,,,20139.16
2023-01-31,BUY,MCD,40,248.09,9923.55,,,10215.61
2023-02-01,SELL,WFC,252,43.55,10973.83,721.08,7.03,21189.44
2023-02-01,SELL,TSLA,70,181.41,12698.7,2588.6,25.6,33888.14
2023-02-01,SELL,ABT,97,105.43,10226.4,74.99,0.74,44114.54
2023-02-01,SELL,T,589,17.09,10065.59,-119.71,-1.18,54180.13
2023-02-01,SELL,V,46,225.28,10362.66,277.8,2.75,64542.79
2023-02-01,SELL,PFE,273,36.69,10016.04,-43.28,-0.43,74558.83
2023-02-01,SELL,MCD,40,247.04,9881.61,-41.94,-0.42,84440.44
2023-02-01,BUY,META,65,151.93,9875.3,,,74565.14
2023-02-01,BUY,NVDA,236,20.92,4937.34,,,69627.8
2023-02-01,BUY,NFLX,136,36.2,4923.06,,,64704.74
2023-02-01,BUY,AMD,58,84.64,4909.12,,,59795.62
2023-02-01,BUY,ADBE,25,383.92,9598.0,,,50197.61
2023-02-01,BUY,NKE,81,122.0,9881.74,,,40315.88
2023-02-01,BUY,BA,46,214.75,9878.5,,,30437.38
2023-02-01,BUY,MS,111,88.95,9873.07,,,20564.3
2023-02-02,SELL,META,65,187.3,12174.51,2299.21,23.28,32738.82
2023-02-02,BUY,LLY,101,322.4,32562.37,,,176.44
2023-02-08,SELL,NKE,81,115.79,9378.87,-502.86,-5.09,9555.32
2023-02-08,BUY,DIS,87,109.21,9501.11,,,54.2
2023-02-09,SELL,BLK,14,662.34,9272.69,-492.41,-5.04,9326.9
2023-02-09,SELL,CMCSA,298,32.15,9581.98,-634.59,-6.21,18908.87
2023-02-16,BUY,SO,161,58.59,9432.68,,,9476.2
2023-02-17,SELL,ADBE,25,356.85,8921.25,-676.75,-7.05,18397.45
2023-02-17,SELL,DIS,87,102.8,8943.52,-557.59,-5.87,27340.97
2023-02-17,BUY,DE,21,415.51,8725.8,,,18615.17
2023-02-21,SELL,NFLX,136,33.75,4590.0,-333.06,-6.77,23205.17
2023-02-21,SELL,AMD,58,76.77,4452.66,-456.46,-9.3,27657.83
2023-02-21,BUY,WMT,146,47.25,6898.37,,,20759.46
2023-02-24,SELL,BA,46,198.15,9114.9,-763.6,-7.73,29874.36
2023-02-27,SELL,WMT,146,45.36,6622.58,-275.79,-4.0,36496.95
2023-02-28,SELL,LLY,101,304.39,30743.42,-1818.96,-5.59,67240.36
2023-03-01,SELL,SO,161,56.02,9018.79,-413.89,-4.39,76259.15
2023-03-01,BUY,CRM,65,165.34,10747.17,,,65511.98
2023-03-09,SELL,MS,111,83.52,9270.77,-602.3,-6.1,74782.75
2023-03-10,SELL,DE,21,379.67,7973.06,-752.74,-8.63,82755.81
2023-03-21,BUY,NKE,87,118.67,10324.25,,,72431.56
2023-03-22,SELL,NKE,87,112.9,9822.05,-502.2,-4.86,82253.61
2023-03-23,BUY,NKE,89,114.29,10171.45,,,72082.17
2023-04-03,SELL,NKE,89,114.95,10230.3,58.86,0.58,82312.47
2023-04-03,BUY,AAPL,51,163.8,8353.65,,,73958.82
2023-04-03,BUY,MSFT,29,280.59,8136.97,,,65821.85
2023-04-03,BUY,META,39,211.41,8245.03,,,57576.82
2023-04-03,BUY,TSLA,21,194.77,4090.17,,,53486.65
2023-04-03,BUY,AMD,43,96.56,4152.08,,,49334.57
2023-04-03,BUY,INTC,130,32.1,4173.2,,,45161.37
2023-04-03,BUY,AMZN,81,102.41,8295.21,,,36866.16
2023-04-03,BUY,NFLX,120,34.83,4179.36,,,32686.8
2023-04-19,SELL,NFLX,120,32.31,3877.44,-301.92,-7.22,36564.24
2023-04-19,BUY,GS,116,313.03,36311.6,,,252.64
2023-04-20,SELL,TSLA,21,162.99,3422.79,-667.38,-16.32,3675.43
2023-04-20,SELL,AMD,43,90.11,3874.73,-277.35,-6.68,7550.16
2023-04-20,SELL,INTC,130,30.12,3915.63,-257.57,-6.17,11465.79
2023-04-20,BUY,BAC,138,27.66,3817.12,,,7648.66
2023-04-20,BUY,JNJ,25,149.6,3739.96,,,3908.71
2023-04-20,BUY,LMT,8,452.6,3620.78,,,287.93
2023-04-25,SELL,MSFT,29,269.05,7802.4,-334.57,-4.11,8090.34
2023-04-25,BUY,GOOGL,78,103.0,8033.9,,,56.44
2023-04-26,SELL,BAC,138,26.31,3630.74,-186.39,-4.88,3687.17
2023-04-26,SELL,LMT,8,425.86,3406.89,-213.88,-5.91,7094.07
2023-04-26,BUY,MSFT,12,288.54,3462.44,,,3631.63
2023-04-26,BUY,V,16,223.03,3568.45,,,63.17
2023-05-01,SELL,AMZN,81,102.05,8266.05,-29.16,-0.35,8329.22
2023-05-01,SELL,GS,116,316.45,36708.25,396.65,1.09,45037.48
2023-05-01,SELL,JNJ,25,149.62,3740.41,0.46,0.01,48777.89
2023-05-01,SELL,GOOGL,78,106.32,8293.06,259.16,3.23,57070.95
2023-05-01,SELL,V,16,227.29,3636.65,68.19,1.91,60707.59
2023-05-01,BUY,LLY,28,396.9,11113.33,,,49594.26
2023-05-01,BUY,PEP,64,173.24,11087.16,,,38507.1
2023-05-01,BUY,PG,76,145.94,11091.35,,,27415.75
2023-05-01,BUY,SO,167,66.6,11121.69,,,16294.06
2023-05-01,BUY,MCD,40,277.68,11107.33,,,5186.73
2023-05-16,SELL,SO,167,64.33,10743.58,-378.11,-3.4,15930.31
2023-05-17,TRIM,NVDA,78,30.15,2351.8,719.97,44.12,18282.12
2023-05-18,BUY,WMT,373,48.96,18262.53,,,19.59
2023-05-22,SELL,PEP,64,168.68,10795.64,-291.52,-2.63,10815.23
2023-05-22,SELL,PG,76,139.03,10566.43,-524.92,-4.73,21381.66
2023-05-22,SELL,MCD,40,270.0,10800.14,-307.19,-2.77,32181.8
2023-05-22,BUY,DE,30,346.78,10403.28,,,21778.52
2023-05-25,SELL,WMT,373,47.24,17622.3,-640.22,-3.51,39400.82
2023-05-25,TRIM,NVDA,52,37.95,1973.21,885.33,81.38,41374.03
2023-06-01,SELL,DE,30,339.15,10174.44,-228.84,-2.2,51548.48
2023-06-01,BUY,GOOGL,94,122.71,11534.35,,,40014.13
2023-06-01,BUY,AMZN,94,122.77,11540.38,,,28473.75
2023-06-01,BUY,ADBE,13,426.75,5547.75,,,22926.0
2023-06-01,BUY,INTC,189,30.51,5766.04,,,17159.96
