date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-04-03,BUY,VZ,265,32.0,8478.98,,,91521.02
2023-04-03,BUY,WMT,177,47.88,8474.88,,,83046.13
2023-04-03,BUY,PFE,246,34.5,8487.65,,,74558.48
2023-04-03,BUY,COST,17,477.21,8112.65,,,66445.83
2023-04-03,BUY,JNJ,59,143.44,8463.17,,,57982.67
2023-04-03,BUY,ABT,44,95.78,4214.39,,,53768.27
2023-04-03,BUY,DIS,43,97.46,4190.99,,,49577.29
2023-04-03,BUY,MS,53,78.95,4184.61,,,45392.67
2023-04-25,SELL,PFE,246,32.82,8073.02,-414.63,-4.89,53465.69
2023-05-16,SELL,VZ,265,29.9,7922.64,-556.34,-6.56,61388.34
2023-05-16,SELL,DIS,43,88.89,3822.13,-368.85,-8.8,65210.47
