date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,NKE,59,71.5,4218.77,,,95781.23
2025-01-02,BUY,COST,4,903.85,3615.41,,,92165.83
2025-01-02,BUY,WMT,47,88.96,4181.31,,,87984.51
2025-01-02,BUY,LMT,9,465.99,4193.87,,,83790.64
2025-01-02,BUY,PEP,29,143.16,4151.61,,,79639.03
2025-01-02,BUY,MRK,44,94.87,4174.46,,,75464.57
2025-01-02,BUY,XOM,41,102.83,4215.85,,,71248.72
2025-02-04,SELL,MRK,44,86.81,3819.61,-354.85,-8.5,75068.33
2025-02-06,SELL,LMT,9,433.39,3900.54,-293.33,-6.99,78968.86
2025-03-26,SELL,NKE,59,64.13,3783.7,-435.06,-10.31,82752.57
2025-04-01,SELL,COST,4,949.2,3796.79,181.38,5.02,86549.36
2025-04-01,SELL,WMT,47,88.05,4138.29,-43.02,-1.03,90687.65
2025-04-01,SELL,PEP,29,143.91,4173.26,21.65,0.52,94860.91
2025-04-01,SELL,XOM,41,115.09,4718.52,502.66,11.92,99579.43
2025-07-01,BUY,PEP,35,131.48,4601.71,,,94977.71
2025-07-01,BUY,ADBE,12,392.1,4705.2,,,90272.51
2025-07-01,BUY,LMT,10,456.67,4566.73,,,85705.78
2025-07-01,BUY,MRK,59,79.73,4704.23,,,81001.55
2025-07-01,BUY,CRM,17,271.0,4607.0,,,76394.55
2025-07-01,BUY,PG,59,157.89,9315.63,,,67078.93
2025-07-01,BUY,COST,9,981.86,8836.77,,,58242.15
2025-07-01,BUY,UPS,47,99.4,4671.59,,,53570.57
2025-07-01,BUY,TMO,11,420.36,4623.96,,,48946.61
2025-07-01,BUY,CMCSA,286,33.0,9437.5,,,39509.1
2025-07-14,SELL,PG,59,150.59,8884.57,-431.05,-4.63,48393.67
2025-07-15,SELL,ADBE,12,364.18,4370.16,-335.04,-7.12,52763.83
2025-07-22,SELL,LMT,10,402.57,4025.71,-541.02,-11.85,56789.54
2025-07-22,SELL,COST,9,937.7,8439.28,-397.49,-4.5,65228.82
2025-07-25,SELL,CMCSA,286,30.87,8829.31,-608.19,-6.44,74058.13
2025-07-29,SELL,UPS,47,86.43,4062.1,-609.49,-13.05,78120.23
2025-08-01,SELL,CRM,17,249.9,4248.31,-358.69,-7.79,82368.54
2025-10-01,SELL,MRK,59,88.71,5233.84,529.61,11.26,87602.38
2025-10-01,SELL,TMO,11,529.81,5827.88,1203.92,26.04,93430.26
2025-10-01,BUY,CMCSA,343,28.66,9830.79,,,83599.47
2025-10-01,BUY,COST,10,914.79,9147.94,,,74451.53
2025-10-01,BUY,CRM,20,235.31,4706.2,,,69745.32
2025-10-01,BUY,T,365,26.94,9833.36,,,59911.97
2025-10-01,BUY,PG,65,151.04,9817.85,,,50094.12
2025-10-01,BUY,DE,21,450.17,9453.63,,,40640.49
2025-10-01,BUY,ADBE,14,343.72,4812.08,,,35828.41
2025-10-01,BUY,HON,50,195.94,9797.19,,,26031.22
2025-10-01,BUY,KO,149,65.86,9813.34,,,16217.87
2025-10-06,SELL,T,365,25.3,9233.72,-599.64,-6.1,25451.59
2025-10-29,SELL,CMCSA,343,26.43,9065.04,-765.75,-7.79,34516.64
2025-11-19,SELL,ADBE,14,318.11,4453.54,-358.54,-7.45,38970.17
2025-12-05,SELL,PG,65,142.44,9258.51,-559.34,-5.7,48228.69
2025-12-15,SELL,COST,10,859.39,8593.86,-554.08,-6.06,56822.55
2026-01-01,SELL,HON,50,194.13,9706.31,-90.88,-0.93,66528.86
2026-01-01,SELL,KO,149,69.43,10345.46,532.11,5.42,76874.31
2026-01-01,BUY,COST,11,861.16,9472.8,,,67401.51
2026-01-01,BUY,PG,36,142.3,5122.79,,,62278.73
2026-01-01,BUY,UPS,52,97.83,5086.94,,,57191.79
2026-01-01,BUY,NFLX,54,93.76,5063.04,,,52128.75
2026-01-01,BUY,HD,30,341.81,10254.44,,,41874.3
2026-01-16,SELL,NFLX,54,88.0,4752.0,-311.04,-6.14,46626.3
2026-02-02,SELL,CRM,20,210.81,4216.2,-490.0,-10.41,50842.5
2026-02-09,TRIM,DE,7,585.67,4099.69,948.48,30.1,54942.19
