date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-16,BUY,GS,60,166.56,9993.76,,,90006.24
2019-01-30,BUY,BA,26,376.75,9795.4,,,80210.83
2019-01-31,BUY,META,60,165.39,9923.53,,,70287.31
2019-02-01,SELL,GS,60,166.11,9966.38,-27.38,-0.27,80253.69
2019-02-01,SELL,BA,26,376.46,9788.08,-7.33,-0.07,90041.77
2019-02-01,SELL,META,60,164.42,9865.18,-58.34,-0.59,99906.95
2019-02-01,BUY,AAPL,247,39.55,9767.89,,,90139.06
2019-02-01,BUY,AMD,399,24.51,9779.49,,,80359.57
2019-02-01,BUY,INTC,233,41.94,9771.57,,,70588.0
2019-02-01,BUY,V,73,133.2,9723.67,,,60864.33
2019-02-01,BUY,MA,47,205.59,9662.75,,,51201.58
2019-02-01,BUY,MRK,167,58.29,9735.09,,,41466.49
2019-02-01,BUY,CVX,113,86.2,9740.24,,,31726.25
2019-02-01,BUY,CAT,86,112.83,9703.37,,,22022.88
2019-02-01,BUY,UPS,123,79.58,9788.72,,,12234.15
2019-02-01,BUY,NEE,263,37.17,9775.81,,,2458.34
2019-03-01,SELL,AAPL,247,41.73,10307.58,539.68,5.53,12765.91
2019-03-01,SELL,AMD,399,23.68,9448.32,-331.17,-3.39,22214.23
2019-03-01,SELL,INTC,233,46.16,10755.71,984.14,10.07,32969.95
2019-03-01,SELL,V,73,142.31,10388.4,664.73,6.84,43358.35
2019-03-01,SELL,MA,47,218.55,10272.07,609.32,6.31,53630.41
2019-03-01,SELL,MRK,167,62.26,10397.26,662.17,6.8,64027.67
2019-03-01,SELL,CVX,113,89.76,10142.35,402.11,4.13,74170.02
2019-03-01,SELL,CAT,86,118.48,10189.61,486.24,5.01,84359.63
2019-03-01,SELL,UPS,123,84.85,10436.81,648.09,6.62,94796.44
2019-03-01,SELL,NEE,263,39.47,10380.21,604.4,6.18,105176.65
2019-03-01,BUY,TMO,39,259.05,10102.93,,,95073.72
2019-03-01,BUY,BA,23,430.3,9896.9,,,85176.82
2019-03-05,SELL,TMO,39,249.63,9735.64,-367.29,-3.64,94912.46
2019-03-06,SELL,BA,23,414.52,9533.92,-362.97,-3.67,104446.38
2019-03-08,BUY,COST,50,206.54,10326.78,,,94119.6
2019-03-19,BUY,AMD,402,26.0,10452.0,,,83667.6
2019-04-01,SELL,COST,50,221.38,11068.81,742.03,7.19,94736.42
2019-04-01,SELL,AMD,402,26.36,10596.72,144.72,1.38,105333.14
2019-04-12,BUY,DIS,83,125.53,10419.28,,,94913.86
2019-04-23,BUY,LMT,38,276.48,10506.3,,,84407.56
2019-04-25,BUY,META,55,191.76,10546.54,,,73861.03
2019-05-01,SELL,DIS,83,131.63,10925.58,506.3,4.86,84786.61
2019-05-01,SELL,LMT,38,275.44,10466.87,-39.43,-0.38,95253.48
2019-05-01,SELL,META,55,191.53,10533.98,-12.55,-0.12,105787.46
2019-05-01,BUY,MRK,171,60.43,10333.91,,,95453.55
2019-05-01,BUY,AAPL,206,50.21,10343.24,,,85110.32
2019-05-09,SELL,AAPL,206,47.87,9861.74,-481.49,-4.66,94972.06
2019-06-03,SELL,MRK,171,61.61,10536.07,202.16,1.96,105508.13
2019-06-19,BUY,ADBE,36,291.21,10483.56,,,95024.57
2019-07-01,SELL,ADBE,36,300.97,10834.92,351.36,3.35,105859.49
2019-07-01,BUY,NKE,133,77.86,10355.54,,,95503.95
2019-07-01,BUY,AMD,332,31.2,10358.4,,,85145.55
2019-07-11,BUY,UNH,45,233.0,10484.9,,,74660.64
2019-07-23,BUY,KO,241,44.23,10659.73,,,64000.92
2019-07-24,BUY,UPS,122,87.39,10661.63,,,53339.28
2019-07-25,SELL,UNH,45,221.88,9984.67,-500.24,-4.77,63323.95
2019-07-26,BUY,GOOGL,170,61.75,10497.61,,,52826.34
2019-07-31,SELL,KO,241,42.85,10326.18,-333.55,-3.13,63152.52
2019-07-31,SELL,AMD,332,30.45,10109.4,-249.0,-2.4,73261.92
2019-08-01,SELL,NKE,133,75.77,10077.89,-277.65,-2.68,83339.81
2019-08-01,SELL,UPS,122,89.37,10903.03,241.4,2.26,94242.84
2019-08-01,SELL,GOOGL,170,60.09,10215.7,-281.91,-2.69,104458.54
2019-08-08,BUY,AMD,307,33.92,10413.44,,,94045.1
2019-08-14,SELL,AMD,307,30.24,9283.68,-1129.76,-10.85,103328.78
2019-08-15,BUY,WMT,301,34.29,10322.73,,,93006.05
2019-08-16,BUY,NVDA,2606,3.96,10330.69,,,82675.36
2019-09-02,SELL,WMT,301,34.77,10466.55,143.81,1.39,93141.91
2019-09-02,SELL,NVDA,2606,4.17,10856.15,525.46,5.09,103998.05
2019-10-15,BUY,UNH,48,213.87,10265.54,,,93732.51
2019-10-24,BUY,TSLA,521,19.98,10408.89,,,83323.63
2019-10-25,BUY,INTC,210,49.53,10401.37,,,72922.26
2019-11-01,SELL,UNH,48,226.07,10851.55,586.01,5.71,83773.81
2019-11-01,SELL,TSLA,521,20.89,10882.3,473.42,4.55,94656.11
2019-11-01,SELL,INTC,210,49.57,10410.57,9.21,0.09,105066.69
2019-11-01,BUY,MRK,155,66.08,10242.24,,,94824.45
2019-11-01,BUY,ABBV,162,63.23,10243.74,,,84580.72
2019-11-01,BUY,AMD,295,34.89,10292.55,,,74288.17
2019-11-13,BUY,DIS,73,144.43,10543.61,,,63744.56
2019-11-15,BUY,UNH,43,241.48,10383.76,,,53360.8
2019-12-02,SELL,MRK,155,67.71,10495.46,253.23,2.47,63856.27
2019-12-02,SELL,ABBV,162,67.32,10905.35,661.61,6.46,74761.61
2019-12-02,SELL,AMD,295,38.73,11425.35,1132.8,11.01,86186.96
2019-12-02,SELL,DIS,73,146.28,10678.31,134.7,1.28,96865.27
2019-12-02,SELL,UNH,43,250.68,10779.22,395.46,3.81,107644.49
