date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,MRK,156,57.64,8991.56,,,91008.44
2019-01-02,BUY,NEE,253,35.5,8981.55,,,82026.88
2019-01-02,BUY,LLY,86,104.34,8973.4,,,73053.48
2019-01-02,BUY,DE,67,133.93,8972.98,,,64080.51
2019-01-02,BUY,KO,239,37.58,8982.26,,,55098.25
2019-01-02,BUY,PEP,102,87.61,8935.79,,,46162.46
2019-01-02,BUY,PFE,307,29.29,8993.37,,,37169.09
2019-01-02,BUY,PG,118,75.92,8958.05,,,28211.04
2019-01-02,BUY,WMT,321,27.97,8977.42,,,19233.62
2019-01-02,BUY,DIS,85,105.18,8940.08,,,10293.53
2019-01-24,SELL,PFE,307,27.74,8515.11,-478.26,-5.32,18808.64
2019-01-31,BUY,META,34,165.39,5623.33,,,13185.31
2019-02-01,SELL,MRK,156,58.29,9093.86,102.3,1.14,22279.17
2019-02-01,SELL,DE,67,148.19,9929.04,956.06,10.65,32208.21
2019-02-01,SELL,PG,118,81.7,9641.17,683.13,7.63,41849.39
2019-02-01,SELL,WMT,321,28.12,9027.44,50.02,0.56,50876.82
2019-02-01,SELL,META,34,164.42,5590.27,-33.06,-0.59,56467.09
2019-02-01,BUY,PFE,371,29.3,10869.34,,,45597.76
2019-02-01,BUY,TMO,45,238.81,10746.49,,,34851.26
2019-02-01,BUY,CMCSA,380,28.56,10853.75,,,23997.51
2019-02-01,BUY,V,81,133.2,10789.28,,,13208.24
2019-02-01,BUY,CVX,126,86.2,10860.8,,,2347.44
2019-02-14,SELL,KO,239,36.51,8725.79,-256.47,-2.86,11073.23
2019-03-01,SELL,TMO,45,259.05,11657.23,910.73,8.47,22730.46
2019-03-01,SELL,CMCSA,380,30.36,11535.24,681.49,6.28,34265.7
2019-03-01,SELL,V,81,142.31,11526.85,737.57,6.84,45792.55
2019-03-01,SELL,CVX,126,89.76,11309.17,448.37,4.13,57101.71
2019-03-01,BUY,WMT,374,29.34,10974.03,,,46127.68
2019-03-01,BUY,MCD,69,157.39,10860.01,,,35267.68
2019-03-01,BUY,SO,288,38.08,10968.01,,,24299.67
2019-03-01,BUY,BAC,444,24.72,10976.1,,,13323.57
2019-03-01,BUY,JNJ,96,113.8,10924.72,,,2398.85
2019-03-04,SELL,MCD,69,153.6,10598.26,-261.74,-2.41,12997.11
2019-03-07,SELL,PFE,371,28.28,10491.65,-377.69,-3.47,23488.76
2019-03-19,BUY,AMD,271,26.0,7046.0,,,16442.76
2019-03-21,SELL,BAC,444,23.77,10552.93,-423.16,-3.86,26995.69
2019-04-01,SELL,LLY,86,117.85,10134.87,1161.47,12.94,37130.56
2019-04-01,SELL,PEP,102,98.6,10056.79,1121.0,12.55,47187.35
2019-04-01,SELL,DIS,85,108.59,9230.51,290.43,3.25,56417.86
2019-04-01,SELL,WMT,374,29.47,11020.69,46.66,0.43,67438.55
2019-04-01,SELL,SO,288,39.17,11281.82,313.81,2.86,78720.37
2019-04-01,SELL,JNJ,96,114.32,10974.47,49.75,0.46,89694.84
2019-04-01,SELL,AMD,271,26.36,7143.56,97.56,1.38,96838.4
2019-04-01,BUY,CVX,114,91.9,10476.1,,,86362.29
2019-04-01,BUY,V,70,149.72,10480.64,,,75881.65
2019-04-01,BUY,BLK,28,368.7,10323.53,,,65558.13
2019-04-01,BUY,CMCSA,336,31.3,10515.22,,,55042.9
2019-04-01,BUY,XOM,177,59.29,10494.59,,,44548.32
2019-04-01,BUY,T,715,14.71,10518.75,,,34029.56
2019-04-01,BUY,GOOGL,176,59.46,10464.54,,,23565.03
2019-04-01,BUY,CRM,66,159.25,10510.18,,,13054.85
2019-04-01,BUY,INTC,222,47.21,10480.58,,,2574.27
2019-04-12,SELL,CVX,114,88.09,10041.77,-434.34,-4.15,12616.03
2019-04-12,BUY,DIS,30,125.53,3766.0,,,8850.03
2019-04-25,SELL,T,715,14.27,10201.37,-317.38,-3.02,19051.4
2019-04-26,SELL,INTC,222,45.41,10080.66,-399.92,-3.82,29132.06
2019-05-01,SELL,XOM,177,57.07,10101.67,-392.92,-3.74,39233.73
2019-05-13,SELL,GOOGL,176,56.36,9920.0,-544.53,-5.2,49153.73
2019-05-13,SELL,CRM,66,151.31,9986.56,-523.62,-4.98,59140.29
2019-05-31,SELL,BLK,28,349.5,9785.91,-537.62,-5.21,68926.2
2019-06-03,SELL,V,70,151.23,10586.21,105.56,1.01,79512.4
2019-06-03,SELL,CMCSA,336,31.97,10740.74,225.51,2.14,90253.14
2019-06-03,BUY,MCD,58,170.06,9863.44,,,80389.7
2019-06-03,BUY,PEP,95,104.24,9902.52,,,70487.18
2019-06-03,BUY,HON,73,136.41,9957.64,,,60529.54
2019-06-03,BUY,MRK,161,61.61,9919.92,,,50609.62
2019-06-03,BUY,KO,246,40.37,9932.16,,,40677.46
2019-06-03,BUY,PFE,345,28.9,9968.95,,,30708.51
2019-06-03,BUY,SO,238,41.75,9935.83,,,20772.68
2019-06-03,BUY,PG,113,87.63,9901.66,,,10871.02
2019-07-01,SELL,NEE,253,43.2,10930.52,1948.97,21.7,21801.54
2019-07-01,SELL,MCD,58,176.49,10236.58,373.14,3.78,32038.13
2019-07-01,SELL,HON,73,144.88,10576.14,618.5,6.21,42614.26
2019-07-01,SELL,MRK,161,65.5,10544.84,624.91,6.3,53159.1
2019-07-01,SELL,KO,246,42.01,10334.13,401.98,4.05,63493.23
2019-07-01,SELL,PFE,345,30.17,10408.9,439.95,4.41,73902.14
2019-07-01,BUY,JNJ,103,115.41,11887.67,,,62014.46
2019-07-01,BUY,V,72,165.86,11941.83,,,50072.63
2019-07-01,BUY,WMT,356,33.5,11925.98,,,38146.65
2019-07-01,BUY,CMCSA,358,33.33,11932.94,,,26213.71
2019-07-01,BUY,LLY,115,103.53,11906.03,,,14307.68
2019-07-01,BUY,XOM,212,56.18,11909.62,,,2398.06
2019-07-12,SELL,JNJ,103,111.22,11456.05,-431.62,-3.63,13854.11
2019-07-12,SELL,LLY,115,99.44,11436.09,-469.95,-3.95,25290.19
2019-07-24,BUY,UPS,86,87.39,7515.58,,,17774.61
2019-07-26,BUY,GOOGL,86,61.75,5310.55,,,12464.06
2019-07-31,SELL,XOM,212,54.56,11567.39,-342.23,-2.87,24031.45
2019-08-01,SELL,DIS,30,137.76,4132.83,366.83,9.74,28164.28
2019-08-01,SELL,PEP,95,103.5,9832.72,-69.8,-0.7,37997.0
2019-08-01,SELL,SO,238,43.92,10453.17,517.34,5.21,48450.17
2019-08-01,SELL,CMCSA,358,33.63,12039.63,106.7,0.89,60489.8
2019-08-01,SELL,UPS,86,89.37,7685.74,170.17,2.26,68175.55
2019-08-01,SELL,GOOGL,86,60.09,5167.94,-142.61,-2.69,73343.49
2019-08-01,BUY,DE,69,147.16,10153.82,,,63189.67
2019-08-01,BUY,MRK,157,64.68,10154.24,,,53035.43
2019-08-01,BUY,JPM,107,94.53,10114.63,,,42920.79
2019-08-01,BUY,ABT,132,76.73,10128.06,,,32792.74
2019-08-01,BUY,KO,240,42.36,10166.1,,,22626.64
2019-08-01,BUY,T,621,16.37,10164.48,,,12462.16
2019-08-01,BUY,COST,40,249.59,9983.61,,,2478.55
2019-08-05,SELL,WMT,356,32.05,11408.49,-517.49,-4.34,13887.03
2019-08-05,SELL,DE,69,137.89,9514.52,-639.3,-6.3,23401.56
2019-08-05,SELL,COST,40,240.98,9639.27,-344.34,-3.45,33040.83
2019-08-07,SELL,JPM,107,90.42,9674.91,-439.73,-4.35,42715.73
2019-08-08,BUY,AMD,314,33.92,10650.88,,,32064.85
2019-08-14,SELL,AMD,314,30.24,9495.36,-1155.52,-10.85,41560.21
2019-08-23,SELL,ABT,132,73.03,9639.77,-488.29,-4.82,51199.98
2019-09-02,SELL,V,72,172.67,12432.09,490.26,4.11,63632.08
2019-09-02,SELL,MRK,157,66.83,10491.55,337.31,3.32,74123.62
2019-09-02,BUY,ABT,135,76.05,10266.79,,,63856.84
2019-09-02,BUY,NEE,220,46.65,10263.68,,,53593.16
2019-09-02,BUY,GOOGL,174,59.04,10272.71,,,43320.45
2019-09-02,BUY,COST,38,268.54,10204.37,,,33116.07
2019-09-02,BUY,MCD,54,187.46,10122.99,,,22993.09
2019-09-02,BUY,VZ,255,40.18,10244.65,,,12748.44
2019-09-02,BUY,SO,226,45.4,10259.47,,,2488.97
2019-09-10,SELL,MCD,54,180.33,9737.98,-385.01,-3.8,12226.95
2019-09-27,SELL,ABT,135,72.95,9848.03,-418.76,-4.08,22074.97
2019-10-01,SELL,COST,38,258.67,9829.45,-374.93,-3.67,31904.42
2019-10-15,BUY,UNH,44,213.87,9410.08,,,22494.34
2019-10-24,BUY,TSLA,337,19.98,6732.81,,,15761.53
2019-10-25,BUY,INTC,95,49.53,4705.38,,,11056.15
2019-11-01,SELL,PG,113,105.92,11968.66,2067.0,20.88,23024.81
2019-11-01,SELL,KO,240,44.2,10608.47,442.37,4.35,33633.28
2019-11-01,SELL,T,621,19.03,11816.24,1651.76,16.25,45449.52
2019-11-01,SELL,GOOGL,174,63.09,10977.84,705.14,6.86,56427.37
