date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,NEE,253,35.5,8981.55,,,91018.45
2019-01-02,BUY,KO,239,37.58,8982.26,,,82036.19
2019-01-16,BUY,GS,61,166.56,10160.33,,,71875.86
2019-01-31,BUY,META,62,165.39,10254.31,,,61621.55
2019-02-01,SELL,NEE,253,37.17,9404.11,422.55,4.7,71025.66
2019-02-01,SELL,KO,239,39.0,9321.04,338.78,3.77,80346.7
2019-02-01,SELL,GS,61,166.11,10132.49,-27.84,-0.27,90479.18
2019-02-01,SELL,META,62,164.42,10194.02,-60.29,-0.59,100673.21
2019-03-01,BUY,MRK,158,62.26,9836.93,,,90836.28
2019-03-01,BUY,PFE,333,29.63,9865.24,,,80971.03
2019-03-01,BUY,LLY,83,117.66,9765.41,,,71205.62
2019-03-01,BUY,CRM,60,162.55,9753.29,,,61452.33
2019-03-01,BUY,AMD,416,23.68,9850.88,,,51601.45
2019-03-01,BUY,PG,119,82.52,9819.64,,,41781.81
2019-03-01,BUY,NKE,124,79.24,9825.26,,,31956.54
2019-03-01,BUY,DIS,89,110.04,9793.74,,,22162.8
2019-03-01,BUY,PEP,105,93.89,9858.71,,,12304.09
2019-03-01,BUY,CVX,109,89.76,9783.33,,,2520.76
2019-03-06,SELL,PFE,333,28.6,9523.97,-341.28,-3.46,12044.73
2019-03-07,SELL,CRM,60,153.73,9223.93,-529.37,-5.43,21268.65
2019-03-07,SELL,AMD,416,22.08,9185.28,-665.6,-6.76,30453.93
2019-03-11,SELL,LLY,83,112.78,9360.66,-404.75,-4.14,39814.6
2019-03-19,SELL,DIS,89,106.17,9449.27,-344.47,-3.52,49263.87
2019-03-19,BUY,AMD,378,26.0,9828.0,,,39435.87
2019-03-22,SELL,NKE,124,74.72,9265.01,-560.25,-5.7,48700.88
2019-04-01,SELL,MRK,158,63.95,10103.81,266.88,2.71,58804.7
2019-04-01,SELL,PEP,105,98.6,10352.58,493.87,5.01,69157.28
2019-04-01,SELL,CVX,109,91.9,10016.63,233.3,2.38,79173.9
2019-04-01,BUY,MA,41,229.9,9426.03,,,69747.88
2019-04-01,BUY,BA,25,382.37,9559.24,,,60188.64
2019-04-01,BUY,TMO,35,271.15,9490.2,,,50698.44
2019-04-01,BUY,VZ,241,39.98,9635.28,,,41063.16
2019-04-01,BUY,NKE,124,77.48,9607.7,,,31455.46
2019-04-01,BUY,ADBE,35,272.17,9525.95,,,21929.51
2019-04-01,BUY,AMZN,106,90.71,9615.21,,,12314.31
2019-04-01,BUY,PFE,329,29.27,9629.85,,,2684.45
2019-04-09,SELL,BA,25,360.4,9009.91,-549.33,-5.75,11694.37
2019-04-12,SELL,PFE,329,28.5,9375.85,-254.01,-2.64,21070.21
2019-04-12,BUY,DIS,50,125.53,6276.67,,,14793.54
2019-04-17,SELL,TMO,35,252.81,8848.33,-641.87,-6.76,23641.87
2019-04-25,SELL,VZ,241,38.18,9200.79,-434.49,-4.51,32842.66
2019-05-01,SELL,PG,119,88.58,10540.93,721.28,7.35,43383.59
2019-05-01,SELL,AMD,378,26.81,10134.18,306.18,3.12,53517.77
2019-05-01,SELL,NKE,124,78.09,9683.23,75.53,0.79,63200.99
2019-05-01,SELL,AMZN,106,95.58,10131.06,515.85,5.36,73332.05
2019-05-01,SELL,DIS,50,131.63,6581.68,305.0,4.86,79913.72
2019-05-01,BUY,TMO,35,271.44,9500.5,,,70413.22
2019-05-01,BUY,ABT,139,69.92,9719.34,,,60693.88
2019-05-01,BUY,MRK,161,60.43,9729.58,,,50964.3
2019-05-01,BUY,MSFT,81,119.89,9710.92,,,41253.38
2019-05-01,BUY,CRM,60,160.2,9612.21,,,31641.17
2019-05-01,BUY,PEP,94,102.83,9666.09,,,21975.08
