date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2019-01-02,BUY,LLY,86,104.34,8973.4,,,91026.6
2019-01-02,BUY,PFE,307,29.29,8993.37,,,82033.23
2019-01-02,BUY,AMD,477,18.83,8981.91,,,73051.32
2019-01-02,BUY,ABT,147,61.18,8993.85,,,64057.47
2019-01-02,BUY,MRK,156,57.64,8991.56,,,55065.91
2019-01-02,BUY,CRM,67,133.92,8972.83,,,46093.08
2019-01-02,BUY,AMZN,116,76.96,8926.95,,,37166.13
2019-01-02,BUY,MA,49,182.16,8926.08,,,28240.04
2019-01-02,BUY,V,71,126.33,8969.39,,,19270.66
2019-01-02,BUY,COST,48,185.13,8886.24,,,10384.41
2019-01-25,SELL,PFE,307,27.53,8450.65,-542.72,-6.03,18835.06
2019-01-30,BUY,BA,24,376.75,9041.91,,,9793.15
2019-02-01,SELL,AMZN,116,81.31,9432.13,505.18,5.66,19225.28
2019-02-01,SELL,MA,49,205.59,10073.93,1147.85,12.86,29299.21
2019-02-01,SELL,COST,48,190.11,9125.37,239.13,2.69,38424.58
2019-02-01,SELL,BA,24,376.46,9035.15,-6.76,-0.07,47459.73
2019-02-01,BUY,PFE,386,29.3,11308.8,,,36150.93
2019-02-01,BUY,NEE,304,37.17,11299.8,,,24851.13
2019-02-01,BUY,PG,138,81.7,11275.27,,,13575.86
2019-02-01,BUY,SO,310,36.5,11314.21,,,2261.65
2019-03-01,SELL,ABT,147,69.51,10217.33,1223.48,13.6,12478.98
2019-03-01,SELL,V,71,142.31,10103.78,1134.39,12.65,22582.76
2019-03-01,SELL,NEE,304,39.47,11998.42,698.62,6.18,34581.18
2019-03-01,SELL,SO,310,38.08,11805.84,491.63,4.35,46387.02
2019-03-01,BUY,NKE,139,79.24,11013.81,,,35373.21
2019-03-01,BUY,DIS,100,110.04,11004.21,,,24369.01
2019-03-01,BUY,PEP,117,93.89,10985.42,,,13383.59
2019-03-01,BUY,CVX,123,89.76,11039.9,,,2343.69
2019-03-08,SELL,PFE,386,27.94,10783.97,-524.82,-4.64,13127.66
2019-03-08,BUY,COST,31,206.54,6402.61,,,6725.05
2019-03-19,SELL,DIS,100,106.17,10617.16,-387.04,-3.52,17342.22
2019-03-22,SELL,NKE,139,74.72,10385.78,-628.03,-5.7,27728.0
2019-04-01,SELL,LLY,86,117.85,10134.87,1161.47,12.94,37862.86
2019-04-01,SELL,MRK,156,63.95,9975.92,984.35,10.95,47838.78
