date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,PFE,356,27.49,9788.16,,,90211.84
2020-01-02,BUY,AMZN,103,94.9,9774.75,,,80437.09
2020-01-02,BUY,WFC,213,45.83,9761.19,,,70675.9
2020-01-02,BUY,MSFT,64,152.16,9738.14,,,60937.76
2020-01-02,BUY,GOOGL,144,67.87,9773.72,,,51164.05
2020-01-02,BUY,V,53,182.81,9688.89,,,41475.16
2020-01-02,BUY,BLK,22,437.76,9630.72,,,31844.44
2020-01-02,BUY,ABBV,141,69.27,9766.53,,,22077.91
2020-01-02,BUY,PG,92,105.52,9708.21,,,12369.7
2020-01-02,BUY,PEP,87,112.11,9753.78,,,2615.93
2020-01-13,SELL,WFC,213,44.43,9463.36,-297.83,-3.05,12079.28
2020-01-23,SELL,ABBV,141,66.85,9425.38,-341.15,-3.49,21504.67
2020-01-24,BUY,INTC,106,60.4,6402.06,,,15102.6
2020-01-27,SELL,AMZN,103,91.42,9415.95,-358.8,-3.67,24518.55
2020-01-27,SELL,INTC,106,57.94,6142.13,-259.93,-4.06,30660.68
2020-01-29,SELL,PFE,356,26.4,9398.04,-390.12,-3.99,40058.72
2020-02-03,SELL,BLK,22,455.91,10029.96,399.24,4.15,50088.68
2020-02-03,SELL,PG,92,107.61,9900.42,192.21,1.98,59989.1
2020-02-03,SELL,PEP,87,117.63,10234.21,480.43,4.93,70223.31
2020-02-03,BUY,GS,47,206.16,9689.73,,,60533.58
2020-02-03,BUY,COST,35,275.73,9650.54,,,50883.05
2020-02-03,BUY,NKE,107,90.97,9733.44,,,41149.61
2020-02-03,BUY,LMT,27,358.31,9674.42,,,31475.18
2020-02-03,BUY,AAPL,130,74.4,9672.48,,,21802.7
2020-02-03,BUY,CRM,53,183.19,9709.29,,,12093.41
2020-02-03,BUY,MA,31,313.72,9725.19,,,2368.22
2020-02-24,SELL,GS,47,193.68,9103.1,-586.63,-6.05,11471.32
2020-02-25,SELL,NKE,107,85.13,9108.86,-624.58,-6.42,20580.18
2020-02-25,SELL,LMT,27,338.45,9138.04,-536.38,-5.54,29718.23
2020-02-25,SELL,AAPL,130,69.61,9048.99,-623.49,-6.45,38767.22
2020-02-25,SELL,MA,31,292.81,9076.99,-648.2,-6.67,47844.2
2020-02-27,SELL,V,53,172.43,9138.88,-550.01,-5.68,56983.08
2020-02-27,SELL,CRM,53,170.08,9014.42,-694.87,-7.16,65997.5
2020-02-28,SELL,COST,35,257.23,9002.89,-647.65,-6.71,75000.4
2020-03-02,BUY,COST,33,282.84,9333.84,,,65666.55
2020-03-02,SELL,GOOGL,144,68.75,9899.68,125.97,1.29,75566.24
2020-03-02,BUY,NEE,142,57.75,8200.63,,,67365.61
2020-03-02,BUY,ADBE,22,360.28,7926.16,,,59439.45
2020-03-02,BUY,AMZN,84,97.7,8206.59,,,51232.86
2020-03-02,BUY,ABBV,118,69.53,8204.28,,,43028.58
2020-03-02,BUY,T,446,18.49,8244.92,,,34783.67
2020-03-02,BUY,JNJ,69,118.39,8168.87,,,26614.79
2020-03-02,BUY,LLY,66,124.02,8185.17,,,18429.62
2020-03-02,BUY,NVDA,1198,6.88,8246.74,,,10182.88
2020-03-09,SELL,ADBE,22,305.79,6727.38,-1198.78,-15.12,16910.26
2020-03-09,SELL,AMZN,84,90.03,7562.56,-644.03,-7.85,24472.82
2020-03-09,SELL,T,446,17.25,7692.74,-552.17,-6.7,32165.56
2020-03-11,SELL,NEE,142,51.92,7372.77,-827.86,-10.1,39538.33
2020-03-12,SELL,MSFT,64,132.09,8454.02,-1284.12,-13.19,47992.35
2020-03-12,SELL,COST,33,256.05,8449.49,-884.35,-9.47,56441.84
2020-03-12,SELL,ABBV,118,61.63,7271.83,-932.45,-11.37,63713.67
2020-03-12,SELL,JNJ,69,106.04,7316.51,-852.36,-10.43,71030.18
2020-03-12,SELL,NVDA,1198,5.39,6453.18,-1793.56,-21.75,77483.36
2020-03-25,BUY,BA,54,158.73,8571.42,,,68911.94
2020-04-01,SELL,LLY,66,127.36,8405.76,220.59,2.69,77317.7
2020-04-01,SELL,BA,54,130.7,7057.8,-1513.62,-17.66,84375.5
2020-04-01,BUY,NFLX,208,36.41,7572.86,,,76802.63
2020-05-01,SELL,NFLX,208,41.53,8637.62,1064.75,14.06,85440.25
2020-05-01,BUY,LLY,53,143.43,7601.63,,,77838.62
2020-05-01,BUY,MSFT,46,165.83,7627.96,,,70210.66
2020-05-01,BUY,TMO,23,324.66,7467.09,,,62743.57
2020-05-01,BUY,ABT,94,81.09,7622.53,,,55121.04
2020-05-01,BUY,AAPL,110,69.85,7683.15,,,47437.89
2020-05-01,BUY,JNJ,61,125.38,7648.29,,,39789.6
2020-05-01,BUY,ABBV,116,65.91,7645.59,,,32144.01
2020-05-01,BUY,PFE,287,26.71,7666.12,,,24477.88
2020-05-01,BUY,NVDA,1091,7.04,7682.7,,,16795.18
2020-05-01,BUY,WMT,203,37.74,7661.65,,,9133.53
2020-06-01,SELL,MSFT,46,174.16,8011.14,383.18,5.02,17144.67
2020-06-01,SELL,AAPL,110,77.98,8577.56,894.41,11.64,25722.23
2020-06-01,SELL,JNJ,61,125.31,7644.18,-4.11,-0.05,33366.41
2020-06-01,SELL,ABBV,116,72.16,8371.02,725.43,9.49,41737.43
2020-06-01,SELL,PFE,287,25.41,7294.1,-372.03,-4.85,49031.53
2020-06-01,SELL,NVDA,1091,8.77,9570.1,1887.4,24.57,58601.62
2020-06-01,BUY,INTC,171,55.14,9429.74,,,49171.89
2020-06-01,BUY,MA,32,291.82,9338.12,,,39833.77
2020-06-01,BUY,CRM,54,174.24,9409.12,,,30424.65
2020-06-01,BUY,BLK,20,466.43,9328.59,,,21096.07
2020-06-01,BUY,LMT,28,332.88,9320.61,,,11775.46
2020-06-01,BUY,VZ,238,39.76,9462.93,,,2312.54
2020-06-11,SELL,LLY,53,135.14,7162.66,-438.97,-5.77,9475.19
2020-06-16,BUY,LLY,18,153.56,2764.03,,,6711.17
2020-06-18,SELL,WMT,203,36.39,7386.72,-274.94,-3.59,14097.88
2020-06-24,SELL,LMT,28,307.94,8622.33,-698.28,-7.49,22720.21
2020-06-26,SELL,INTC,171,51.26,8765.11,-664.62,-7.05,31485.33
2020-06-26,SELL,VZ,238,37.89,9018.45,-444.48,-4.7,40503.78
