date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,MA,33,292.9,9665.65,,,90334.35
2020-01-02,BUY,SO,198,49.28,9758.02,,,80576.33
2020-01-02,BUY,META,47,208.15,9782.89,,,70793.44
2020-01-02,BUY,LMT,29,337.61,9790.67,,,61002.77
2020-01-02,BUY,MS,228,42.83,9766.05,,,51236.72
2020-01-02,BUY,HON,65,149.62,9725.57,,,41511.15
2020-01-02,BUY,V,53,182.81,9688.89,,,31822.26
2020-01-02,BUY,T,516,18.98,9795.64,,,22026.62
2020-01-02,BUY,CRM,59,164.99,9734.14,,,12292.48
2020-01-02,BUY,HD,51,188.73,9625.11,,,2667.37
2020-01-27,SELL,HON,65,143.62,9335.56,-390.01,-4.01,12002.93
2020-01-29,SELL,T,516,18.42,9505.61,-290.03,-2.96,21508.54
2020-02-03,SELL,SO,198,55.64,11017.12,1259.1,12.9,32525.66
2020-02-03,SELL,META,47,202.6,9522.2,-260.69,-2.66,42047.87
2020-02-03,SELL,MS,228,43.58,9935.93,169.88,1.74,51983.8
2020-02-03,SELL,CRM,59,183.19,10808.45,1074.32,11.04,62792.25
2020-02-03,SELL,HD,51,198.93,10145.67,520.56,5.41,72937.92
2020-02-03,BUY,MSFT,61,165.19,10076.81,,,62861.11
2020-02-03,BUY,INTC,178,56.82,10114.74,,,52746.38
2020-02-03,BUY,PEP,86,117.63,10116.58,,,42629.8
2020-02-03,BUY,AAPL,136,74.4,10118.9,,,32510.9
2020-02-03,BUY,AMD,210,48.02,10084.2,,,22426.7
2020-02-03,BUY,ADBE,28,358.0,10024.0,,,12402.7
2020-02-03,BUY,NVDA,1692,5.98,10120.2,,,2282.5
2020-02-25,SELL,INTC,178,52.95,9424.53,-690.2,-6.82,11707.03
2020-02-25,SELL,AAPL,136,69.61,9466.64,-652.27,-6.45,21173.67
2020-02-27,SELL,V,53,172.43,9138.88,-550.01,-5.68,30312.55
2020-02-27,SELL,MSFT,61,150.26,9165.63,-911.18,-9.04,39478.17
2020-02-27,SELL,PEP,86,112.57,9680.71,-435.87,-4.31,49158.88
2020-02-27,SELL,ADBE,28,337.52,9450.56,-573.44,-5.72,58609.44
2020-02-28,SELL,LMT,29,314.63,9124.4,-666.26,-6.81,67733.85
2020-03-02,BUY,COST,34,282.84,9616.69,,,58117.16
2020-03-02,SELL,MA,33,296.53,9785.42,119.76,1.24,67902.58
2020-03-02,SELL,AMD,210,47.46,9966.6,-117.6,-1.17,77869.18
2020-03-02,SELL,NVDA,1692,6.88,11647.32,1527.12,15.09,89516.5
2020-03-02,SELL,COST,34,282.84,9616.69,0.0,0.0,99133.19
2020-03-02,BUY,PEP,78,113.57,8858.09,,,90275.1
2020-03-02,BUY,JNJ,75,118.39,8879.21,,,81395.89
2020-03-02,BUY,T,482,18.49,8910.42,,,72485.47
2020-03-02,BUY,KO,193,46.2,8916.81,,,63568.66
2020-03-02,BUY,NEE,154,57.75,8893.64,,,54675.02
2020-03-09,SELL,T,482,17.25,8313.68,-596.74,-6.7,62988.71
2020-03-09,SELL,KO,193,42.85,8269.42,-647.39,-7.26,71258.12
2020-03-11,SELL,NEE,154,51.92,7995.82,-897.82,-10.1,79253.94
2020-03-12,SELL,PEP,78,95.85,7476.31,-1381.78,-15.6,86730.25
2020-03-12,SELL,JNJ,75,106.04,7952.73,-926.48,-10.43,94682.98
2020-03-25,BUY,BA,59,158.73,9365.07,,,85317.91
