date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,MA,33,292.9,9665.65,,,90334.35
2020-01-02,BUY,SO,198,49.28,9758.02,,,80576.33
2020-01-02,BUY,META,47,208.15,9782.89,,,70793.44
2020-01-02,BUY,LMT,29,337.61,9790.67,,,61002.77
2020-01-02,BUY,MS,228,42.83,9766.05,,,51236.72
2020-01-02,BUY,HON,65,149.62,9725.57,,,41511.15
2020-01-02,BUY,V,53,182.81,9688.89,,,31822.26
2020-01-02,BUY,T,516,18.98,9795.64,,,22026.62
2020-01-02,BUY,CRM,59,164.99,9734.14,,,12292.48
2020-01-02,BUY,HD,51,188.73,9625.11,,,2667.37
2020-01-27,SELL,HON,65,143.62,9335.56,-390.01,-4.01,12002.93
2020-01-31,BUY,AMZN,59,100.44,5925.72,,,6077.21
2020-02-03,SELL,SO,198,55.64,11017.12,1259.1,12.9,17094.33
2020-02-03,SELL,META,47,202.6,9522.2,-260.69,-2.66,26616.53
2020-02-03,SELL,MS,228,43.58,9935.93,169.88,1.74,36552.46
2020-02-03,SELL,T,516,18.38,9482.52,-313.12,-3.2,46034.98
2020-02-03,SELL,CRM,59,183.19,10808.45,1074.32,11.04,56843.43
2020-02-03,SELL,HD,51,198.93,10145.67,520.56,5.41,66989.1
2020-02-03,SELL,AMZN,59,100.21,5912.39,-13.33,-0.23,72901.49
2020-02-03,BUY,MSFT,61,165.19,10076.81,,,62824.69
2020-02-03,BUY,INTC,178,56.82,10114.74,,,52709.95
2020-02-03,BUY,PEP,86,117.63,10116.58,,,42593.37
2020-02-03,BUY,AAPL,135,74.4,10044.5,,,32548.88
2020-02-03,BUY,AMD,210,48.02,10084.2,,,22464.68
2020-02-03,BUY,ADBE,28,358.0,10024.0,,,12440.68
2020-02-03,BUY,NVDA,1691,5.98,10114.22,,,2326.46
2020-02-25,SELL,INTC,178,52.95,9424.53,-690.2,-6.82,11750.99
2020-02-27,SELL,MSFT,61,150.26,9165.63,-911.18,-9.04,20916.62
2020-02-27,SELL,PEP,86,112.57,9680.71,-435.87,-4.31,30597.32
2020-02-27,SELL,AAPL,135,66.09,8922.09,-1122.41,-11.17,39519.41
2020-02-28,SELL,LMT,29,314.63,9124.4,-666.26,-6.81,48643.82
2020-03-02,BUY,COST,34,282.84,9616.69,,,39027.13
2020-03-02,SELL,V,53,184.23,9764.35,75.46,0.78,48791.48
2020-03-02,SELL,AMD,210,47.46,9966.6,-117.6,-1.17,58758.08
2020-03-02,BUY,MSFT,49,164.13,8042.58,,,50715.5
2020-03-02,BUY,NEE,140,57.75,8085.12,,,42630.37
2020-03-02,BUY,MS,211,38.51,8125.24,,,34505.13
2020-03-02,BUY,TSLA,163,49.57,8080.67,,,26424.46
2020-03-02,BUY,JPM,78,103.18,8048.32,,,18376.14
2020-03-02,BUY,AAPL,112,72.2,8086.43,,,10289.72
2020-03-06,SELL,MS,211,34.66,7314.12,-811.12,-9.98,17603.83
2020-03-06,SELL,JPM,78,91.77,7158.18,-890.14,-11.06,24762.02
2020-03-09,SELL,MA,33,253.29,8358.47,-1307.18,-13.52,33120.49
2020-03-09,SELL,ADBE,28,305.79,8562.12,-1461.88,-14.58,41682.61
2020-03-09,SELL,MSFT,49,143.07,7010.67,-1031.91,-12.83,48693.28
2020-03-11,SELL,NEE,140,51.92,7268.93,-816.2,-10.1,55962.21
2020-03-12,SELL,TSLA,163,37.37,6091.31,-1989.36,-24.62,62053.52
