date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,COST,22,437.54,9625.86,,,90374.14
2023-01-02,BUY,WFC,257,37.99,9763.35,,,80610.79
2023-01-02,BUY,AAPL,76,127.88,9718.83,,,70891.96
2023-01-02,BUY,TSLA,79,123.18,9731.22,,,61160.74
2023-01-02,BUY,INTC,384,25.49,9786.57,,,51374.17
2023-01-02,BUY,CMCSA,332,29.44,9773.89,,,41600.28
2023-01-02,BUY,VZ,309,31.65,9778.46,,,31821.82
2023-01-02,BUY,DIS,115,84.88,9761.33,,,22060.49
2023-01-02,BUY,UPS,66,147.19,9714.4,,,12346.09
2023-01-02,BUY,MS,128,76.4,9779.22,,,2566.87
2023-01-26,SELL,INTC,384,29.02,11141.81,1355.24,13.85,13708.68
2023-01-26,BUY,V,62,219.24,13592.63,,,116.04
2023-01-27,TRIM,TSLA,26,177.9,4625.4,1422.72,44.42,4741.44
2023-02-01,SELL,COST,22,496.4,10920.76,1294.9,13.45,15662.2
2023-02-01,SELL,WFC,257,43.55,11191.56,1428.21,14.63,26853.77
2023-02-01,SELL,AAPL,76,143.13,10878.24,1159.41,11.93,37732.0
2023-02-01,SELL,TSLA,53,181.41,9614.73,3086.19,47.27,47346.73
2023-02-01,SELL,VZ,309,34.01,10509.47,731.0,7.48,57856.2
2023-02-01,SELL,DIS,115,106.87,12290.42,2529.09,25.91,70146.62
2023-02-01,SELL,UPS,66,156.62,10336.92,622.52,6.41,80483.53
2023-02-01,SELL,V,62,225.28,13967.06,374.43,2.75,94450.6
2023-02-01,BUY,META,75,151.93,11394.58,,,83056.02
2023-02-01,BUY,NVDA,550,20.92,11506.51,,,71549.51
2023-02-01,BUY,NFLX,318,36.2,11511.28,,,60038.23
2023-02-01,BUY,AMD,136,84.64,11511.04,,,48527.19
2023-02-01,BUY,ADBE,29,383.92,11133.68,,,37393.51
2023-02-01,BUY,NKE,94,122.0,11467.69,,,25925.81
2023-02-01,BUY,BA,53,214.75,11381.75,,,14544.06
2023-02-01,BUY,BLK,16,705.5,11288.0,,,3256.06
2023-02-02,SELL,META,75,187.3,14047.51,2652.93,23.28,17303.58
2023-02-02,BUY,LLY,53,322.4,17087.19,,,216.39
2023-02-08,SELL,NKE,94,115.79,10884.12,-583.57,-5.09,11100.51
2023-02-08,BUY,DIS,101,109.21,11030.03,,,70.48
2023-02-09,SELL,BLK,16,662.34,10597.37,-690.63,-6.12,10667.85
2023-02-16,BUY,SO,182,58.59,10663.03,,,4.82
