date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,PG,70,139.51,9766.02,,,90233.98
2023-01-02,BUY,KO,169,57.73,9755.57,,,80478.4
2023-01-02,BUY,PFE,231,42.37,9786.54,,,70691.86
2023-01-02,BUY,PEP,60,162.18,9730.88,,,60960.99
2023-01-02,BUY,V,48,202.7,9729.55,,,51231.44
2023-01-02,BUY,JNJ,61,160.4,9784.25,,,41447.19
2023-01-02,BUY,ABT,95,103.05,9789.4,,,31657.79
2023-01-02,BUY,MA,28,341.16,9552.42,,,22105.37
2023-01-02,BUY,MRK,97,100.51,9749.6,,,12355.78
2023-01-02,BUY,JPM,79,123.99,9794.87,,,2560.91
2023-01-09,SELL,PFE,231,40.01,9242.2,-544.33,-5.56,11803.11
2023-01-12,SELL,KO,169,55.55,9387.5,-368.08,-3.77,21190.61
2023-01-18,SELL,PG,70,134.77,9434.18,-331.85,-3.4,30624.79
2023-01-18,SELL,PEP,60,154.07,9243.96,-486.92,-5.0,39868.74
2023-01-18,SELL,JNJ,61,154.14,9402.62,-381.62,-3.9,49271.37
2023-01-20,BUY,NFLX,287,34.25,9829.75,,,39441.62
2023-01-27,SELL,MRK,97,95.47,9260.14,-489.46,-5.02,48701.75
2023-02-01,BUY,AMD,115,84.64,9733.6,,,38968.15
2023-02-01,SELL,NFLX,287,36.2,10389.11,559.36,5.69,49357.27
2023-02-01,SELL,AMD,115,84.64,9733.6,0.0,0.0,59090.87
2023-02-01,BUY,BLK,13,705.5,9171.5,,,49919.37
2023-02-01,BUY,TMO,16,581.57,9305.11,,,40614.26
2023-02-01,BUY,UPS,60,156.62,9397.2,,,31217.06
2023-02-01,BUY,PFE,259,36.69,9502.39,,,21714.67
2023-02-01,BUY,NKE,77,122.0,9393.75,,,12320.92
2023-02-01,BUY,BAC,288,33.02,9508.4,,,2812.52
2023-02-08,SELL,NKE,77,115.79,8915.72,-478.03,-5.09,11728.24
2023-02-09,SELL,BLK,13,662.34,8610.36,-561.14,-6.12,20338.6
2023-02-16,SELL,TMO,16,552.08,8833.33,-471.78,-5.07,29171.93
2023-02-21,SELL,ABT,95,97.72,9283.77,-505.63,-5.17,38455.7
2023-02-21,SELL,BAC,288,31.73,9137.8,-370.6,-3.9,47593.5
2023-02-22,SELL,PFE,259,35.36,9158.78,-343.62,-3.62,56752.28
2023-03-01,SELL,MA,28,347.38,9726.69,174.27,1.82,66478.97
2023-03-01,BUY,MRK,95,96.62,9178.51,,,57300.46
2023-03-01,BUY,LMT,21,437.59,9189.33,,,48111.13
2023-03-01,BUY,CRM,55,165.34,9093.76,,,39017.37
2023-03-01,BUY,ABBV,66,139.32,9194.8,,,29822.57
2023-03-01,BUY,JNJ,66,139.53,9208.93,,,20613.64
2023-03-01,BUY,MCD,37,245.15,9070.7,,,11542.94
2023-03-01,BUY,NVDA,406,22.67,9205.67,,,2337.26
2023-03-09,SELL,ABBV,66,132.21,8725.79,-469.01,-5.1,11063.05
2023-04-03,SELL,JPM,79,121.23,9577.31,-217.56,-2.22,20640.36
2023-04-03,SELL,LMT,21,448.93,9427.43,238.1,2.59,30067.79
2023-04-03,SELL,CRM,55,194.13,10677.22,1583.46,17.41,40745.01
2023-04-03,SELL,JNJ,66,143.44,9467.27,258.34,2.81,50212.28
2023-04-03,SELL,MCD,37,263.28,9741.2,670.5,7.39,59953.48
2023-04-03,SELL,NVDA,406,27.94,11343.75,2138.07,23.23,71297.22
2023-04-03,BUY,MA,27,360.13,9723.44,,,61573.79
2023-04-03,BUY,CVX,66,149.69,9879.27,,,51694.52
2023-04-03,BUY,ADBE,26,380.08,9882.08,,,41812.44
2023-04-03,BUY,MSFT,35,280.59,9820.48,,,31991.96
2023-04-03,BUY,ABBV,68,143.94,9787.65,,,22204.31
2023-04-03,BUY,DE,24,399.19,9580.6,,,12623.71
2023-04-03,BUY,TMO,17,564.81,9601.85,,,3021.86
2023-04-05,SELL,DE,24,359.59,8630.14,-950.46,-9.92,11652.0
2023-04-25,SELL,MSFT,35,269.05,9416.69,-403.79,-4.11,21068.69
2023-04-25,SELL,UPS,60,150.58,9034.61,-362.58,-3.86,30103.3
2023-04-26,SELL,ADBE,26,363.06,9439.56,-442.52,-4.48,39542.86
