date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,JNJ,61,160.4,9784.25,,,90215.75
2023-01-02,BUY,MRK,97,100.51,9749.6,,,80466.16
2023-01-02,BUY,PEP,60,162.18,9730.88,,,70735.28
2023-01-02,BUY,KO,169,57.73,9755.57,,,60979.71
2023-01-02,BUY,PG,70,139.51,9766.02,,,51213.69
2023-01-02,BUY,MCD,40,244.5,9779.93,,,41433.76
2023-01-02,BUY,LLY,27,356.66,9629.76,,,31804.0
2023-01-02,BUY,ABBV,68,143.64,9767.4,,,22036.6
2023-01-02,BUY,UNH,19,498.03,9462.62,,,12573.98
2023-01-02,BUY,HON,52,188.41,9797.56,,,2776.42
2023-01-04,SELL,UNH,19,473.91,9004.28,-458.34,-4.84,11780.7
2023-01-05,SELL,HON,52,179.77,9348.14,-449.42,-4.59,21128.84
2023-01-12,SELL,KO,169,55.55,9387.5,-368.08,-3.77,30516.34
2023-01-12,SELL,ABBV,68,136.58,9287.34,-480.06,-4.91,39803.68
2023-01-18,SELL,JNJ,61,154.14,9402.62,-381.62,-3.9,49206.31
2023-01-18,SELL,PEP,60,154.07,9243.96,-486.92,-5.0,58450.26
2023-01-18,SELL,PG,70,134.77,9434.18,-331.85,-3.4,67884.44
2023-01-20,SELL,LLY,27,337.38,9109.37,-520.39,-5.4,76993.81
2023-01-20,BUY,NFLX,280,34.25,9590.0,,,67403.81
2023-01-27,SELL,MRK,97,95.47,9260.14,-489.46,-5.02,76663.95
2023-02-01,BUY,AMD,113,84.64,9564.32,,,67099.63
2023-02-01,SELL,MCD,40,247.04,9881.61,101.68,1.04,76981.24
2023-02-01,SELL,NFLX,280,36.2,10135.72,545.72,5.69,87116.96
2023-02-01,BUY,TSLA,52,181.41,9433.32,,,77683.64
2023-02-01,BUY,JPM,72,130.01,9361.07,,,68322.57
2023-02-01,BUY,V,42,225.28,9461.56,,,58861.01
2023-02-01,BUY,BAC,286,33.02,9442.37,,,49418.64
2023-02-01,BUY,WFC,217,43.55,9449.68,,,39968.96
2023-02-01,BUY,BLK,13,705.5,9171.5,,,30797.46
2023-02-01,BUY,ABT,89,105.43,9382.99,,,21414.47
2023-02-01,BUY,CMCSA,279,33.91,9461.03,,,11953.44
2023-02-01,BUY,T,553,17.09,9450.38,,,2503.07
2023-02-09,SELL,BLK,13,662.34,8610.36,-561.14,-6.12,11113.43
2023-02-09,SELL,CMCSA,279,32.15,8971.05,-489.98,-5.18,20084.48
2023-02-09,SELL,T,553,16.06,8883.73,-566.65,-6.0,28968.2
2023-02-14,SELL,ABT,89,101.13,9000.35,-382.64,-4.08,37968.56
2023-02-21,SELL,AMD,113,76.77,8675.01,-889.31,-9.3,46643.57
2023-02-21,SELL,V,42,215.67,9058.02,-403.54,-4.27,55701.59
2023-02-21,SELL,BAC,286,31.73,9074.34,-368.02,-3.9,64775.93
