date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,HD,34,286.04,9725.46,,,90274.54
2021-07-01,BUY,COST,26,374.32,9732.36,,,80542.18
2021-07-01,BUY,MCD,47,208.47,9798.1,,,70744.09
2021-07-01,BUY,KO,209,46.84,9789.86,,,60954.23
2021-07-01,BUY,JNJ,67,145.02,9716.06,,,51238.17
2021-07-01,BUY,PEP,76,127.83,9714.99,,,41523.17
2021-07-01,BUY,ADBE,16,584.73,9355.68,,,32167.5
2021-07-01,BUY,DE,29,333.58,9673.92,,,22493.57
2021-07-01,BUY,SO,190,51.54,9792.39,,,12701.18
2021-07-01,BUY,PG,81,119.97,9717.81,,,2983.37
2021-07-16,SELL,DE,29,322.47,9351.72,-322.2,-3.33,12335.09
2021-07-16,BUY,JPM,91,135.34,12315.88,,,19.21
2021-08-02,SELL,HD,34,291.1,9897.26,171.8,1.77,9916.47
2021-08-02,SELL,COST,26,407.71,10600.53,868.17,8.92,20517.0
2021-08-02,SELL,ADBE,16,618.75,9900.0,544.32,5.82,30417.0
2021-08-02,SELL,PG,81,126.66,10259.06,541.24,5.57,40676.06
2021-08-02,BUY,UNH,25,382.84,9570.97,,,31105.08
2021-08-02,BUY,MSFT,35,273.93,9587.65,,,21517.44
2021-08-02,BUY,T,600,16.08,9647.11,,,11870.32
2021-08-02,BUY,CMCSA,202,47.74,9643.77,,,2226.55
2021-08-12,SELL,UNH,25,373.99,9349.65,-221.33,-2.31,11576.2
2021-08-12,BUY,DIS,66,175.16,11560.89,,,15.31
2021-08-19,SELL,T,600,15.75,9448.06,-199.05,-2.06,9463.37
2021-08-19,SELL,DIS,66,169.26,11171.42,-389.47,-3.37,20634.79
2021-08-19,BUY,WMT,218,47.21,10290.81,,,10343.98
2021-08-25,BUY,CRM,40,257.72,10308.75,,,35.23
2021-08-27,SELL,WMT,218,46.08,10044.7,-246.11,-2.39,10079.93
2021-09-01,SELL,PEP,76,136.2,10351.51,636.52,6.55,20431.44
2021-09-01,SELL,JPM,91,142.3,12949.06,633.19,5.14,33380.5
2021-09-01,SELL,CRM,40,265.1,10603.96,295.21,2.86,43984.46
2021-09-01,BUY,ABT,89,117.15,10426.26,,,33558.21
2021-09-01,BUY,V,47,222.44,10454.54,,,23103.67
2021-09-01,BUY,WMT,225,46.47,10456.38,,,12647.28
2021-09-01,BUY,GOOGL,72,144.03,10369.81,,,2277.47
2021-09-02,SELL,V,47,216.7,10184.68,-269.86,-2.58,12462.16
2021-09-10,SELL,GOOGL,72,139.72,10059.93,-309.88,-2.99,22522.08
2021-09-14,SELL,CMCSA,202,45.39,9168.76,-475.02,-4.93,31690.84
2021-09-14,SELL,WMT,225,45.38,10210.15,-246.23,-2.35,41901.0
2021-09-24,SELL,ABT,89,114.36,10178.29,-247.97,-2.38,52079.28
2021-09-30,SELL,JNJ,67,141.96,9511.14,-204.92,-2.11,61590.42
2021-10-01,BUY,PEP,75,131.09,9831.99,,,51758.43
2021-10-01,BUY,PG,79,124.6,9843.55,,,41914.88
2021-10-01,BUY,GOOGL,73,135.42,9885.93,,,32028.95
2021-10-01,BUY,WMT,230,43.1,9912.66,,,22116.29
2021-10-01,BUY,UNH,27,362.79,9795.34,,,12320.95
2021-10-01,BUY,HD,33,294.94,9732.9,,,2588.05
2021-11-01,SELL,PEP,75,140.05,10503.52,671.53,6.83,13091.57
2021-11-01,SELL,PG,79,128.12,10121.71,278.16,2.83,23213.28
2021-11-01,SELL,WMT,230,47.1,10834.13,921.47,9.3,34047.41
2021-11-01,SELL,UNH,27,419.81,11334.92,1539.58,15.72,45382.33
2021-11-01,SELL,HD,33,327.68,10813.41,1080.51,11.1,56195.75
2021-11-01,BUY,JPM,70,152.19,10653.26,,,45542.48
2021-11-01,BUY,ABT,90,119.02,10712.05,,,34830.43
2021-11-01,BUY,GS,28,372.59,10432.47,,,24397.97
2021-11-01,BUY,MS,119,90.28,10743.2,,,13654.76
2021-11-01,BUY,CVX,113,95.41,10781.4,,,2873.36
2021-11-04,SELL,MS,119,86.62,10308.31,-434.89,-4.05,13181.67
2021-11-04,BUY,PFE,375,35.12,13168.27,,,13.4
2021-11-05,SELL,ABT,90,114.8,10332.39,-379.66,-3.54,10345.79
2021-11-10,SELL,GS,28,356.87,9992.34,-440.13,-4.22,20338.12
2021-11-16,SELL,JPM,70,148.21,10374.69,-278.57,-2.61,30712.82
2021-11-16,BUY,HD,29,350.79,10172.98,,,20539.84
2021-12-01,SELL,KO,209,46.1,9634.44,-155.42,-1.59,30174.28
2021-12-01,SELL,SO,190,52.32,9941.09,148.7,1.52,40115.37
2021-12-01,SELL,PFE,375,43.79,16420.55,3252.28,24.7,56535.91
2021-12-01,BUY,TMO,17,618.36,10512.13,,,46023.78
2021-12-01,BUY,PG,82,131.5,10783.02,,,35240.77
2021-12-01,BUY,ABT,92,116.99,10763.26,,,24477.5
2021-12-01,BUY,PEP,78,139.09,10849.15,,,13628.35
2021-12-01,BUY,JNJ,77,139.86,10769.32,,,2859.03
2022-01-03,SELL,MSFT,35,323.16,11310.63,1722.98,17.97,14169.66
2022-01-03,SELL,GOOGL,73,143.8,10497.62,611.69,6.19,24667.27
2022-01-03,SELL,CVX,113,100.5,11356.42,575.02,5.33,36023.69
2022-01-03,SELL,HD,29,366.89,10639.71,466.74,4.59,46663.41
2022-01-03,SELL,TMO,17,637.15,10831.61,319.48,3.04,57495.02
2022-01-03,SELL,ABT,92,128.35,11807.83,1044.57,9.7,69302.85
2022-01-03,BUY,COST,20,539.56,10791.23,,,58511.62
2022-01-03,BUY,SO,191,58.34,11142.48,,,47369.15
2022-01-03,BUY,KO,213,52.27,11133.01,,,36236.14
2022-01-03,BUY,NKE,72,153.48,11050.56,,,25185.58
2022-01-03,BUY,ABBV,96,115.85,11121.33,,,14064.24
2022-01-03,BUY,UNH,23,465.86,10714.74,,,3349.5
2022-01-05,SELL,UNH,23,454.18,10446.17,-268.57,-2.51,13795.67
2022-01-07,SELL,COST,20,510.49,10209.88,-581.35,-5.39,24005.55
2022-01-07,SELL,NKE,72,146.3,10533.83,-516.73,-4.68,34539.38
2022-02-01,BUY,ABT,91,117.83,10722.6,,,23816.78
