date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,CRM,40,242.04,9681.57,,,90318.43
2021-07-01,BUY,HD,34,286.04,9725.46,,,80592.97
2021-07-01,BUY,PFE,314,31.12,9772.43,,,70820.54
2021-07-01,BUY,COST,26,374.32,9732.36,,,61088.19
2021-07-01,BUY,GOOGL,80,121.44,9715.26,,,51372.92
2021-07-01,BUY,MA,27,360.7,9739.01,,,41633.92
2021-07-01,BUY,BLK,12,783.79,9405.47,,,32228.45
2021-07-01,BUY,UNH,26,373.0,9698.0,,,22530.44
2021-07-01,BUY,JNJ,67,145.02,9716.06,,,12814.38
2021-07-01,BUY,PG,81,119.97,9717.81,,,3096.56
2021-07-19,SELL,BLK,12,753.42,9041.01,-364.46,-3.87,12137.57
2021-08-02,SELL,CRM,40,237.97,9518.74,-162.82,-1.68,21656.32
2021-08-02,SELL,HD,34,291.1,9897.26,171.8,1.77,31553.58
2021-08-02,SELL,COST,26,407.71,10600.53,868.17,8.92,42154.11
2021-08-02,SELL,JNJ,67,150.53,10085.48,369.42,3.8,52239.59
2021-08-02,SELL,PG,81,126.66,10259.06,541.24,5.57,62498.65
2021-08-02,BUY,MCD,46,215.5,9912.9,,,52585.75
2021-08-02,BUY,MSFT,36,273.93,9861.58,,,42724.17
2021-08-02,BUY,META,28,349.21,9777.87,,,32946.3
2021-08-02,BUY,V,43,231.46,9952.74,,,22993.56
2021-08-02,BUY,SO,187,53.72,10045.36,,,12948.2
2021-08-02,BUY,AAPL,70,141.98,9938.36,,,3009.83
2021-08-20,SELL,MA,27,345.82,9337.01,-402.0,-4.13,12346.84
2021-08-20,SELL,V,43,223.64,9616.33,-336.41,-3.38,21963.17
2021-09-01,SELL,UNH,26,384.48,9996.45,298.44,3.08,31959.62
2021-09-01,SELL,META,28,379.08,10614.1,836.24,8.55,42573.73
2021-09-01,BUY,CRM,38,265.1,10073.76,,,32499.97
2021-09-01,BUY,JNJ,66,152.72,10079.27,,,22420.7
2021-09-01,BUY,WMT,217,46.47,10084.6,,,12336.09
2021-09-01,BUY,ABT,86,117.15,10074.81,,,2261.28
2021-09-09,SELL,JNJ,66,147.73,9750.33,-328.94,-3.26,12011.62
2021-09-13,SELL,CRM,38,251.06,9540.26,-533.5,-5.3,21551.88
2021-09-20,SELL,WMT,217,44.89,9740.67,-343.93,-3.41,31292.55
2021-09-27,SELL,ABT,86,110.88,9535.48,-539.33,-5.35,40828.03
2021-10-01,BUY,MRK,144,70.77,10191.38,,,30636.66
2021-10-01,SELL,PFE,314,34.08,10700.96,928.53,9.5,41337.62
2021-10-01,SELL,GOOGL,80,135.42,10833.9,1118.63,11.51,52171.52
2021-10-01,SELL,AAPL,70,139.38,9756.95,-181.41,-1.83,61928.47
2021-10-01,SELL,MRK,144,70.77,10191.38,0.0,0.0,72119.84
2021-10-01,BUY,HD,33,294.94,9732.9,,,62386.94
2021-10-01,BUY,CRM,36,271.96,9790.4,,,52596.54
2021-10-01,BUY,TMO,17,565.6,9615.12,,,42981.41
2021-10-01,BUY,COST,23,426.16,9801.75,,,33179.66
2021-10-01,BUY,ADBE,17,577.47,9816.99,,,23362.67
2021-10-01,BUY,NFLX,163,61.31,9994.34,,,13368.33
2021-10-01,BUY,MA,28,350.87,9824.39,,,3543.94
2021-10-04,SELL,MA,28,335.3,9388.51,-435.88,-4.44,12932.45
2021-10-25,BUY,TSLA,11,341.62,3757.82,,,9174.63
2021-11-01,SELL,SO,187,52.91,9893.9,-151.46,-1.51,19068.53
2021-11-01,SELL,HD,33,327.68,10813.41,1080.51,11.1,29881.95
2021-11-01,SELL,CRM,36,299.13,10768.52,978.11,9.99,40650.47
2021-11-01,SELL,TMO,17,627.2,10662.39,1047.27,10.89,51312.86
2021-11-01,SELL,COST,23,468.31,10771.05,969.3,9.89,62083.91
2021-11-01,SELL,ADBE,17,640.2,10883.4,1066.41,10.86,72967.31
2021-11-01,SELL,TSLA,11,402.86,4431.5,673.68,17.93,77398.81
2021-11-01,BUY,JPM,70,152.19,10653.26,,,66745.55
2021-11-01,BUY,UPS,62,172.0,10663.75,,,56081.8
2021-11-01,BUY,GOOGL,75,142.32,10674.05,,,45407.74
2021-11-01,BUY,AAPL,73,145.55,10625.19,,,34782.55
2021-11-01,BUY,GS,28,372.59,10432.47,,,24350.09
2021-11-01,BUY,BAC,251,42.77,10736.25,,,13613.84
2021-11-01,BUY,MRK,140,76.37,10692.18,,,2921.66
2021-11-05,SELL,MRK,140,70.96,9933.84,-758.34,-7.09,12855.5
2021-11-05,BUY,PFE,99,38.93,3853.8,,,9001.71
2021-11-10,SELL,GS,28,356.87,9992.34,-440.13,-4.22,18994.04
2021-11-17,SELL,JPM,70,147.41,10318.86,-334.4,-3.14,29312.9
2021-11-19,SELL,BAC,251,40.58,10186.53,-549.72,-5.12,39499.43
2021-11-30,SELL,UPS,62,162.58,10079.75,-584.0,-5.48,49579.19
2021-12-01,SELL,NFLX,163,61.78,10069.65,75.31,0.75,59648.84
2021-12-01,SELL,AAPL,73,161.23,11770.06,1144.87,10.78,71418.89
2021-12-01,BUY,TMO,18,618.36,11130.49,,,60288.4
2021-12-01,BUY,CVX,122,94.47,11524.81,,,48763.59
2021-12-01,BUY,AMD,77,149.11,11481.47,,,37282.12
2021-12-01,BUY,ABBV,116,99.16,11502.22,,,25779.9
2021-12-01,BUY,PG,87,131.5,11440.52,,,14339.38
2021-12-01,BUY,COST,22,504.46,11098.07,,,3241.31
2021-12-13,SELL,AMD,77,133.8,10302.6,-1178.87,-10.27,13543.91
2021-12-15,BUY,LLY,15,264.75,3971.28,,,9572.63
2022-01-03,SELL,MSFT,36,323.16,11633.79,1772.21,17.97,21206.42
2022-01-03,SELL,GOOGL,75,143.8,10785.22,111.17,1.04,31991.64
2022-01-03,SELL,PFE,99,45.37,4491.21,637.41,16.54,36482.85
2022-01-03,SELL,TMO,18,637.15,11468.77,338.27,3.04,47951.62
2022-01-03,SELL,CVX,122,100.5,12260.92,736.11,6.39,60212.53
2022-01-03,SELL,ABBV,116,115.85,13438.28,1936.06,16.83,73650.81
2022-01-03,SELL,LLY,15,261.34,3920.07,-51.21,-1.29,77570.88
2022-01-03,BUY,JNJ,70,151.77,10623.9,,,66946.98
2022-01-03,BUY,HD,29,366.89,10639.71,,,56307.26
2022-01-03,BUY,KO,205,52.27,10714.87,,,45592.39
2022-01-03,BUY,SO,184,58.34,10734.11,,,34858.28
2022-01-03,BUY,ABT,83,128.35,10652.72,,,24205.56
2022-01-03,BUY,WMT,235,45.67,10732.84,,,13472.72
2022-01-03,BUY,NEE,131,81.69,10701.26,,,2771.46
2022-01-06,SELL,NEE,131,76.44,10013.6,-687.65,-6.43,12785.07
2022-01-10,SELL,HD,29,347.87,10088.25,-551.46,-5.18,22873.32
2022-01-12,SELL,ABT,83,123.44,10245.12,-407.6,-3.83,33118.44
2022-01-14,SELL,COST,22,478.89,10535.67,-562.4,-5.07,43654.11
2022-01-18,SELL,JNJ,70,147.84,10348.92,-274.98,-2.59,54003.03
2022-01-25,SELL,WMT,235,43.3,10176.35,-556.49,-5.18,64179.38
2022-02-01,BUY,UPS,56,189.06,10587.64,,,53591.75
2022-02-01,SELL,MCD,46,235.02,10811.03,898.13,9.06,64402.78
2022-02-01,SELL,KO,205,53.38,10942.54,227.67,2.12,75345.32
2022-02-01,SELL,UPS,56,189.06,10587.64,0.0,0.0,85932.95
2022-02-01,BUY,ABBV,88,118.42,10420.52,,,75512.43
2022-02-01,BUY,MSFT,35,298.07,10432.47,,,65079.96
2022-02-01,BUY,PFE,244,42.82,10448.55,,,54631.41
2022-02-01,BUY,JNJ,69,151.19,10431.84,,,44199.56
2022-02-01,BUY,AAPL,61,170.86,10422.61,,,33776.95
2022-02-01,BUY,GOOGL,76,136.52,10375.19,,,23401.76
2022-02-01,BUY,BAC,248,42.16,10456.28,,,12945.49
2022-02-01,BUY,LMT,30,345.72,10371.58,,,2573.91
2022-02-14,SELL,PFE,244,40.18,9804.75,-643.8,-6.16,12378.66
2022-02-15,SELL,SO,184,55.64,10238.11,-496.0,-4.62,22616.77
2022-02-18,SELL,MSFT,35,278.54,9748.77,-683.7,-6.55,32365.54
2022-02-18,SELL,JNJ,69,145.46,10036.78,-395.06,-3.79,42402.32
2022-02-22,SELL,AAPL,61,161.0,9820.89,-601.72,-5.77,52223.21
2022-02-23,SELL,GOOGL,76,126.54,9617.2,-757.99,-7.31,61840.41
2022-02-24,SELL,BAC,248,39.16,9712.26,-744.01,-7.12,71552.67
2022-03-01,BUY,KO,159,54.62,8684.74,,,62867.93
2022-03-01,BUY,VZ,210,41.32,8676.35,,,54191.58
2022-03-01,BUY,XOM,125,68.99,8623.37,,,45568.22
2022-03-01,BUY,PEP,61,141.88,8654.46,,,36913.76
2022-03-01,BUY,COST,17,498.63,8476.77,,,28436.99
2022-03-01,BUY,SO,156,55.42,8645.38,,,19791.6
2022-03-01,BUY,CAT,51,170.15,8677.48,,,11114.12
2022-03-08,SELL,KO,159,51.7,8220.87,-463.88,-5.34,19334.99
2022-03-18,SELL,VZ,210,39.15,8221.57,-454.78,-5.24,27556.56
2022-04-01,SELL,PG,87,140.06,12185.04,744.52,6.51,39741.6
2022-04-01,SELL,PEP,61,149.4,9113.48,459.02,5.3,48855.08
2022-04-01,SELL,SO,156,64.08,9996.82,1351.43,15.63,58851.89
2022-04-01,SELL,CAT,51,204.52,10430.73,1753.25,20.2,69282.62
2022-04-01,BUY,TMO,19,585.53,11125.16,,,58157.46
2022-04-01,BUY,TSLA,30,361.53,10845.9,,,47311.56
2022-04-01,BUY,DE,28,395.81,11082.77,,,36228.79
2022-04-01,BUY,HD,40,272.68,10907.19,,,25321.6
2022-04-01,BUY,UNH,23,476.83,10967.03,,,14354.57
2022-04-01,BUY,ADBE,24,458.19,10996.56,,,3358.01
2022-04-11,SELL,TSLA,30,325.31,9759.3,-1086.6,-10.02,13117.31
