date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,MS,124,78.75,9765.33,,,90234.67
2021-07-01,BUY,CMCSA,208,46.95,9765.97,,,80468.7
2021-07-01,BUY,UNH,26,373.0,9698.0,,,70770.7
2021-07-01,BUY,NKE,66,146.76,9685.95,,,61084.75
2021-07-01,BUY,ADBE,16,584.73,9355.68,,,51729.07
2021-07-01,BUY,JPM,70,139.14,9740.05,,,41989.02
2021-07-01,BUY,BAC,265,36.94,9790.15,,,32198.87
2021-07-01,BUY,HON,51,188.47,9612.02,,,22586.85
2021-07-01,BUY,GS,29,333.67,9676.49,,,12910.35
2021-07-01,BUY,HD,34,286.04,9725.46,,,3184.9
2021-07-08,SELL,MS,124,75.0,9300.52,-464.81,-4.76,12485.41
2021-07-08,SELL,BAC,265,34.49,9139.67,-650.48,-6.64,21625.08
2021-07-19,SELL,JPM,70,130.94,9165.67,-574.37,-5.9,30790.76
2021-07-19,SELL,GS,29,315.64,9153.43,-523.06,-5.41,39944.19
2021-08-02,SELL,UNH,26,382.84,9953.81,255.81,2.64,49898.0
2021-08-02,SELL,NKE,66,156.74,10344.97,659.02,6.8,60242.97
2021-08-02,SELL,ADBE,16,618.75,9900.0,544.32,5.82,70142.97
2021-08-02,SELL,HD,34,291.1,9897.26,171.8,1.77,80040.23
2021-08-02,BUY,GOOGL,72,133.75,9629.93,,,70410.29
2021-08-02,BUY,WFC,238,40.83,9716.92,,,60693.37
2021-08-02,BUY,GS,28,336.52,9422.55,,,51270.82
2021-08-02,BUY,MS,117,82.96,9706.34,,,41564.49
2021-08-02,BUY,TSLA,41,236.56,9698.82,,,31865.66
2021-08-02,BUY,MCD,45,215.5,9697.4,,,22168.26
2021-08-02,BUY,CVX,116,83.54,9690.39,,,12477.87
2021-08-02,BUY,BA,43,225.34,9689.62,,,2788.25
2021-08-19,SELL,CVX,116,78.55,9111.74,-578.65,-5.97,11899.99
2021-08-19,SELL,BA,43,212.16,9122.88,-566.74,-5.85,21022.87
2021-09-01,SELL,HON,51,197.1,10051.89,439.88,4.58,31074.76
2021-09-01,SELL,WFC,238,38.91,9260.49,-456.43,-4.7,40335.25
2021-09-01,SELL,MS,117,89.93,10521.34,815.0,8.4,50856.59
2021-09-01,SELL,MCD,45,214.92,9671.38,-26.03,-0.27,60527.97
2021-09-01,BUY,DE,27,354.69,9576.71,,,50951.25
2021-09-01,BUY,NVDA,435,22.39,9741.24,,,41210.01
2021-09-01,BUY,DIS,54,179.26,9679.96,,,31530.05
2021-09-01,BUY,BAC,266,36.63,9744.29,,,21785.75
2021-09-01,BUY,JPM,68,142.3,9676.22,,,12109.53
2021-09-01,BUY,BLK,11,841.37,9255.05,,,2854.48
2021-09-14,SELL,DE,27,335.17,9049.72,-527.0,-5.5,11904.2
2021-09-14,SELL,BLK,11,807.55,8883.07,-371.99,-4.02,20787.26
2021-09-20,SELL,NVDA,435,21.07,9164.78,-576.46,-5.92,29952.04
2021-09-20,SELL,BAC,266,34.96,9299.65,-444.65,-4.56,39251.69
2021-09-20,SELL,JPM,68,136.27,9266.69,-409.54,-4.23,48518.38
2021-09-21,SELL,DIS,54,167.23,9030.52,-649.45,-6.71,57548.89
2021-09-28,SELL,CMCSA,208,44.7,9298.44,-467.53,-4.79,66847.33
2021-10-01,BUY,MRK,134,70.77,9483.64,,,57363.69
2021-10-01,SELL,GS,28,339.77,9513.65,91.1,0.97,66877.34
2021-10-01,SELL,TSLA,41,258.41,10594.67,895.85,9.24,77472.01
2021-10-01,SELL,MRK,134,70.77,9483.64,0.0,0.0,86955.65
2021-10-01,BUY,SO,180,52.29,9412.27,,,77543.38
2021-10-01,BUY,MCD,43,219.23,9427.03,,,68116.35
2021-10-01,BUY,PEP,72,131.09,9438.71,,,58677.64
2021-10-01,BUY,KO,203,46.37,9413.68,,,49263.96
2021-10-01,BUY,PG,75,124.6,9345.14,,,39918.83
2021-10-01,BUY,MSFT,33,278.58,9193.19,,,30725.63
2021-10-01,BUY,WMT,219,43.1,9438.58,,,21287.06
2021-10-01,BUY,UNH,26,362.79,9432.55,,,11854.51
2021-10-01,BUY,HD,32,294.94,9437.96,,,2416.54
2021-11-01,SELL,SO,180,52.91,9523.54,111.27,1.18,11940.08
2021-11-01,SELL,PEP,72,140.05,10083.38,644.67,6.83,22023.47
2021-11-01,SELL,PG,75,128.12,9609.21,264.08,2.83,31632.68
2021-11-01,SELL,WMT,219,47.1,10315.98,877.4,9.3,41948.66
2021-11-01,SELL,UNH,26,419.81,10915.11,1482.56,15.72,52863.77
2021-11-01,SELL,HD,32,327.68,10485.73,1047.77,11.1,63349.5
2021-11-01,BUY,TSLA,25,402.86,10071.58,,,53277.92
2021-11-01,BUY,MRK,133,76.37,10157.57,,,43120.35
2021-11-01,BUY,TMO,16,627.2,10035.19,,,33085.16
2021-11-01,BUY,MS,113,90.28,10201.53,,,22883.63
2021-11-01,BUY,NFLX,149,68.12,10149.43,,,12734.19
2021-11-01,BUY,AMD,81,125.23,10143.63,,,2590.56
2021-11-05,SELL,MRK,133,70.96,9437.15,-720.42,-7.09,12027.71
2021-11-05,SELL,NFLX,149,64.57,9621.23,-528.2,-5.2,21648.94
2021-11-05,BUY,PFE,166,38.93,6461.92,,,15187.02
2021-11-09,SELL,TSLA,25,341.17,8529.17,-1542.42,-15.31,23716.19
2021-11-10,SELL,MS,113,84.87,9590.42,-611.11,-5.99,33306.61
2021-12-01,SELL,KO,203,46.1,9357.85,-55.83,-0.59,42664.46
2021-12-01,SELL,AMD,81,149.11,12077.91,1934.28,19.07,54742.37
2021-12-01,SELL,PFE,166,43.79,7268.83,806.91,12.49,62011.2
2021-12-01,BUY,HD,27,359.51,9706.68,,,52304.52
2021-12-01,BUY,CVX,105,94.47,9918.89,,,42385.63
2021-12-01,BUY,ABT,85,116.99,9944.32,,,32441.31
2021-12-01,BUY,PG,76,131.5,9994.02,,,22447.29
2021-12-01,BUY,PEP,71,139.09,9875.51,,,12571.78
2021-12-01,BUY,JNJ,71,139.86,9930.15,,,2641.62
2022-01-03,SELL,GOOGL,72,143.8,10353.81,723.88,7.52,12995.44
2022-01-03,SELL,MCD,43,243.72,10480.17,1053.14,11.17,23475.61
2022-01-03,SELL,TMO,16,637.15,10194.46,159.27,1.59,33670.07
2022-01-03,SELL,CVX,105,100.5,10552.43,633.54,6.39,44222.5
