date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,NKE,63,153.48,9669.24,,,90330.76
2022-01-03,BUY,COST,18,539.56,9712.11,,,80618.65
2022-01-03,BUY,MCD,40,243.72,9748.99,,,70869.66
2022-01-03,BUY,PG,66,146.32,9657.18,,,61212.48
2022-01-03,BUY,PEP,64,151.24,9679.39,,,51533.09
2022-01-03,BUY,SO,167,58.34,9742.37,,,41790.72
2022-01-03,BUY,JNJ,64,151.77,9713.28,,,32077.44
2022-01-03,BUY,KO,187,52.27,9774.05,,,22303.38
2022-01-03,BUY,BLK,11,820.07,9020.8,,,13282.58
2022-01-03,BUY,CAT,51,191.71,9777.2,,,3505.38
2022-01-07,SELL,COST,18,510.49,9188.89,-523.22,-5.39,12694.27
2022-01-10,SELL,NKE,63,140.22,8833.67,-835.57,-8.64,21527.94
2022-01-10,SELL,BLK,11,785.54,8640.97,-379.84,-4.21,30168.91
2022-01-11,SELL,MCD,40,237.86,9514.51,-234.49,-2.41,39683.41
2022-01-13,SELL,PG,66,142.18,9383.89,-273.3,-2.83,49067.3
2022-01-14,BUY,JPM,68,142.36,9680.68,,,39386.62
2022-01-14,BUY,WFC,188,52.19,9812.41,,,29574.21
2022-01-18,SELL,JNJ,64,147.84,9461.87,-251.41,-2.59,39036.09
2022-01-19,SELL,JPM,68,134.28,9131.31,-549.36,-5.67,48167.4
2022-01-19,BUY,BAC,230,41.71,9594.06,,,38573.35
2022-01-20,SELL,WFC,188,49.44,9295.26,-517.15,-5.27,47868.6
2022-01-20,BUY,NFLX,188,50.83,9555.1,,,38313.5
2022-01-21,SELL,NFLX,188,39.75,7473.0,-2082.1,-21.79,45786.5
2022-01-25,BUY,MSFT,32,278.5,8912.08,,,36874.43
2022-01-26,BUY,TSLA,29,312.47,9061.63,,,27812.8
2022-01-26,BUY,INTC,193,47.94,9252.56,,,18560.24
2022-01-26,BUY,ABT,83,111.23,9231.76,,,9328.48
2022-01-27,SELL,INTC,193,44.56,8601.0,-651.56,-7.04,17929.48
2022-01-27,BUY,AAPL,57,155.8,8880.76,,,9048.72
2022-01-27,BUY,V,45,199.62,8982.82,,,65.9
2022-02-01,SELL,PEP,64,150.68,9643.58,-35.81,-0.37,9709.48
2022-02-01,SELL,SO,167,58.18,9716.65,-25.73,-0.26,19426.13
2022-02-01,SELL,KO,187,53.38,9981.73,207.68,2.12,29407.86
2022-02-01,SELL,CAT,51,191.1,9746.33,-30.87,-0.32,39154.19
2022-02-01,SELL,BAC,230,42.16,9697.35,103.3,1.08,48851.54
2022-02-01,SELL,MSFT,32,298.07,9538.26,626.18,7.03,58389.8
2022-02-01,SELL,TSLA,29,310.42,9002.08,-59.55,-0.66,67391.88
2022-02-01,SELL,ABT,83,117.83,9779.96,548.2,5.94,77171.84
2022-02-01,BUY,XOM,134,69.66,9334.59,,,67837.24
2022-02-01,BUY,PG,65,144.26,9376.72,,,58460.52
2022-02-01,BUY,MA,24,382.91,9189.87,,,49270.65
2022-02-01,BUY,JNJ,62,151.19,9373.54,,,39897.11
2022-02-01,BUY,WFC,188,49.98,9396.66,,,30500.45
2022-02-01,BUY,LMT,27,345.72,9334.42,,,21166.03
2022-02-01,BUY,VZ,229,41.0,9388.99,,,11777.04
2022-02-01,BUY,INTC,207,45.4,9397.69,,,2379.35
2022-02-18,SELL,JNJ,62,145.46,9018.55,-354.98,-3.79,11397.9
2022-02-18,SELL,INTC,207,42.09,8712.9,-684.79,-7.29,20110.8
2022-02-18,BUY,NVDA,426,23.6,10051.47,,,10059.32
2022-02-18,BUY,DE,28,349.62,9789.47,,,269.85
2022-02-23,SELL,MA,24,352.8,8467.22,-722.65,-7.86,8737.07
2022-02-23,SELL,DE,28,319.71,8951.89,-837.58,-8.56,17688.96
2022-02-24,SELL,PG,65,137.05,8908.29,-468.43,-5.0,26597.25
2022-03-01,SELL,WFC,188,45.41,8537.41,-859.25,-9.14,35134.66
2022-03-01,BUY,CRM,42,206.38,8668.06,,,26466.6
2022-03-07,SELL,V,45,184.96,8323.11,-659.7,-7.34,34789.71
2022-03-18,SELL,VZ,229,39.15,8965.43,-423.56,-4.51,43755.14
2022-03-23,BUY,NKE,70,124.24,8697.15,,,35057.99
2022-04-01,SELL,AAPL,57,170.79,9734.81,854.06,9.62,44792.81
2022-04-01,SELL,NVDA,426,26.66,11358.63,1307.16,13.0,56151.44
2022-04-01,SELL,CRM,42,209.7,8807.49,139.43,1.61,64958.93
2022-04-01,BUY,MRK,121,73.96,8948.88,,,56010.05
2022-04-01,BUY,ABBV,64,140.61,8999.12,,,47010.93
2022-04-01,BUY,SO,140,64.08,8971.51,,,38039.42
2022-04-01,BUY,COST,16,548.83,8781.24,,,29258.18
2022-04-01,BUY,UNH,18,476.83,8582.89,,,20675.29
2022-04-01,BUY,CVX,64,139.84,8949.74,,,11725.55
2022-04-01,BUY,WMT,188,47.86,8998.47,,,2727.08
2022-04-11,SELL,NKE,70,116.75,8172.7,-524.44,-6.03,10899.78
2022-04-14,BUY,GS,37,290.81,10760.08,,,139.7
2022-04-29,SELL,ABBV,64,128.03,8194.16,-804.97,-8.94,8333.86
2022-04-29,SELL,COST,16,507.84,8125.44,-655.8,-7.47,16459.3
2022-04-29,BUY,AAPL,53,154.46,8186.54,,,8272.76
2022-04-29,BUY,META,41,198.91,8155.27,,,117.49
2022-04-29,SELL,XOM,134,74.28,9954.18,619.58,6.64,10071.66
2022-04-29,BUY,CAT,51,196.87,10040.58,,,31.09
2022-05-02,SELL,CVX,64,136.03,8706.13,-243.61,-2.72,8737.21
2022-05-02,SELL,WMT,188,48.17,9056.27,57.8,0.64,17793.48
2022-05-02,SELL,GS,37,280.67,10384.73,-375.35,-3.49,28178.21
2022-05-02,SELL,AAPL,53,154.77,8202.64,16.1,0.2,36380.85
2022-05-02,SELL,META,41,209.49,8588.93,433.66,5.32,44969.78
2022-05-02,BUY,LLY,25,279.65,6991.22,,,37978.57
2022-05-02,BUY,KO,126,56.34,7099.44,,,30879.13
