date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,COST,18,539.56,9712.11,,,90287.89
2022-01-03,BUY,MCD,40,243.72,9748.99,,,80538.9
2022-01-03,BUY,KO,187,52.27,9774.05,,,70764.85
2022-01-03,BUY,SO,167,58.34,9742.37,,,61022.47
2022-01-03,BUY,JNJ,64,151.77,9713.28,,,51309.19
2022-01-03,BUY,ABT,76,128.35,9754.3,,,41554.9
2022-01-03,BUY,WMT,214,45.67,9773.74,,,31781.16
2022-01-03,BUY,NEE,119,81.69,9720.99,,,22060.17
2022-01-03,BUY,MSFT,30,323.16,9694.82,,,12365.34
2022-01-03,BUY,PG,66,146.32,9657.18,,,2708.16
2022-01-05,SELL,MSFT,30,305.43,9162.8,-532.02,-5.49,11870.97
2022-01-06,SELL,NEE,119,76.44,9096.32,-624.67,-6.43,20967.29
2022-01-07,SELL,COST,18,510.49,9188.89,-523.22,-5.39,30156.18
2022-01-11,SELL,MCD,40,237.86,9514.51,-234.49,-2.41,39670.69
2022-01-12,SELL,ABT,76,123.44,9381.07,-373.22,-3.83,49051.76
2022-01-13,SELL,PG,66,142.18,9383.89,-273.3,-2.83,58435.65
2022-01-18,SELL,JNJ,64,147.84,9461.87,-251.41,-2.59,67897.52
2022-01-25,SELL,WMT,214,43.3,9266.98,-506.76,-5.18,77164.5
2022-02-01,BUY,UPS,51,189.06,9642.31,,,67522.19
2022-02-01,SELL,UPS,51,189.06,9642.31,0.0,0.0,77164.5
2022-02-01,BUY,AAPL,55,170.86,9397.44,,,67767.06
2022-02-01,BUY,PG,65,144.26,9376.72,,,58390.34
2022-02-01,BUY,JNJ,62,151.19,9373.54,,,49016.8
2022-02-01,BUY,V,41,225.0,9224.91,,,39791.9
2022-02-01,BUY,BAC,223,42.16,9402.22,,,30389.68
2022-02-01,BUY,LMT,27,345.72,9334.42,,,21055.26
2022-02-01,BUY,ABBV,79,118.41,9354.78,,,11700.47
2022-02-01,BUY,PEP,62,150.68,9342.21,,,2358.26
2022-02-15,SELL,SO,167,55.64,9292.2,-450.18,-4.62,11650.46
