date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,NKE,63,153.48,9669.24,,,90330.76
2022-01-03,BUY,WFC,214,45.6,9759.32,,,80571.44
2022-01-03,BUY,AMD,65,150.24,9765.6,,,70805.84
2022-01-03,BUY,BAC,236,41.48,9789.22,,,61016.62
2022-01-03,BUY,CVX,97,100.5,9748.43,,,51268.19
2022-01-03,BUY,TSLA,24,399.93,9598.24,,,41669.95
2022-01-03,BUY,XOM,178,54.76,9747.32,,,31922.62
2022-01-03,BUY,MSFT,30,323.16,9694.82,,,22227.8
2022-01-03,BUY,COST,18,539.56,9712.11,,,12515.69
2022-01-03,BUY,HD,26,366.89,9539.05,,,2976.64
2022-01-05,SELL,MSFT,30,305.43,9162.8,-532.02,-5.49,12139.44
2022-01-06,SELL,TSLA,24,354.9,8517.6,-1080.64,-11.26,20657.04
2022-01-07,SELL,AMD,65,132.0,8580.0,-1185.6,-12.14,29237.04
2022-01-07,SELL,COST,18,510.49,9188.89,-523.22,-5.39,38425.93
2022-01-10,SELL,NKE,63,140.22,8833.67,-835.57,-8.64,47259.6
2022-01-10,SELL,HD,26,347.87,9044.64,-494.41,-5.18,56304.24
2022-01-28,SELL,CVX,97,110.06,10676.19,927.76,9.52,66980.44
2022-02-01,BUY,UPS,50,189.06,9453.25,,,57527.19
2022-02-01,SELL,WFC,214,49.98,10696.2,936.88,9.6,68223.39
2022-02-01,SELL,XOM,178,69.66,12399.68,2652.36,27.21,80623.08
2022-02-01,SELL,UPS,50,189.06,9453.25,0.0,0.0,90076.32
2022-02-01,BUY,PG,67,144.26,9665.24,,,80411.09
2022-02-01,BUY,PEP,64,150.68,9643.58,,,70767.51
2022-02-01,BUY,MCD,41,235.02,9635.92,,,61131.59
2022-02-01,BUY,SO,168,58.18,9774.83,,,51356.76
2022-02-01,BUY,KO,183,53.38,9768.22,,,41588.54
2022-02-01,BUY,ABT,83,117.83,9779.96,,,31808.58
2022-02-01,BUY,GOOGL,71,136.52,9692.61,,,22115.97
2022-02-01,BUY,JNJ,64,151.19,9675.91,,,12440.06
2022-02-01,BUY,ABBV,82,118.41,9710.03,,,2730.03
2022-02-15,SELL,SO,168,55.64,9347.84,-426.99,-4.37,12077.87
2022-02-17,SELL,ABT,83,111.7,9270.97,-508.99,-5.2,21348.84
2022-02-18,SELL,JNJ,64,145.46,9309.48,-366.43,-3.79,30658.31
2022-02-23,SELL,MCD,41,224.86,9219.21,-416.7,-4.32,39877.53
2022-02-23,SELL,GOOGL,71,126.54,8984.49,-708.12,-7.31,48862.02
2022-02-24,SELL,PG,67,137.05,9182.39,-482.84,-5.0,58044.41
2022-02-24,SELL,PEP,64,143.21,9165.15,-478.43,-4.96,67209.56
2022-03-01,SELL,BAC,236,38.15,9002.78,-786.44,-8.03,76212.34
2022-04-01,SELL,KO,183,55.84,10218.44,450.22,4.61,86430.78
2022-04-01,SELL,ABBV,82,140.61,11530.13,1820.1,18.74,97960.91
2022-04-01,BUY,NKE,76,124.73,9479.54,,,88481.37
2022-04-01,BUY,ADBE,20,458.19,9163.8,,,79317.57
2022-04-01,BUY,NVDA,360,26.66,9598.84,,,69718.72
2022-04-01,BUY,CRM,45,209.7,9436.59,,,60282.13
2022-04-01,BUY,COST,17,548.83,9330.07,,,50952.07
2022-04-01,BUY,WMT,200,47.86,9572.84,,,41379.23
2022-04-01,BUY,DE,24,395.81,9499.52,,,31879.7
2022-04-01,BUY,SO,149,64.08,9548.25,,,22331.46
2022-04-01,BUY,HD,35,272.68,9543.79,,,12787.67
2022-04-08,SELL,NVDA,360,23.08,8307.71,-1291.13,-13.45,21095.38
2022-04-11,SELL,NKE,76,116.75,8873.22,-606.32,-6.4,29968.6
2022-04-11,SELL,CRM,45,193.1,8689.67,-746.92,-7.92,38658.27
2022-04-14,SELL,ADBE,20,420.44,8408.8,-755.0,-8.24,47067.07
2022-04-25,SELL,DE,24,366.1,8786.37,-713.15,-7.51,55853.45
2022-04-28,BUY,META,45,204.13,9185.77,,,46667.68
2022-04-29,SELL,COST,17,507.84,8633.28,-696.79,-7.47,55300.96
2022-05-02,SELL,HD,35,277.27,9704.39,160.6,1.68,65005.35
2022-05-02,SELL,META,45,209.49,9426.87,241.11,2.62,74432.22
2022-05-02,BUY,KO,144,56.34,8113.64,,,66318.58
2022-05-02,BUY,MRK,104,77.61,8071.94,,,58246.64
2022-05-02,BUY,LLY,29,279.65,8109.81,,,50136.83
2022-05-17,SELL,WMT,200,41.78,8356.82,-1216.02,-12.7,58493.65
2022-05-19,SELL,KO,144,53.29,7673.69,-439.96,-5.42,66167.33
2022-06-01,BUY,CRM,54,173.96,9393.65,,,56773.69
2022-06-01,SELL,MRK,104,80.71,8393.35,321.41,3.98,65167.03
2022-06-01,SELL,LLY,29,301.44,8741.89,632.08,7.79,73908.92
2022-06-01,SELL,CRM,54,173.96,9393.65,0.0,0.0,83302.57
2022-06-01,BUY,KO,146,56.02,8178.35,,,75124.21
2022-06-13,SELL,SO,149,59.99,8938.52,-609.73,-6.39,84062.73
2022-06-14,SELL,KO,146,52.99,7735.91,-442.45,-5.41,91798.64
2022-07-01,BUY,JNJ,51,160.88,8204.73,,,83593.91
2022-07-01,BUY,KO,143,57.59,8235.76,,,75358.15
2022-07-18,SELL,KO,143,55.15,7886.53,-349.23,-4.24,83244.67
2022-07-19,SELL,JNJ,51,153.86,7846.87,-357.86,-4.36,91091.54
2022-08-01,BUY,XOM,107,83.17,8899.3,,,82192.24
2022-08-01,BUY,CVX,64,137.8,8819.51,,,73372.74
2022-08-01,BUY,SO,133,66.91,8898.98,,,64473.75
2022-08-01,BUY,AAPL,56,158.48,8874.74,,,55599.01
2022-08-01,BUY,NFLX,394,22.62,8912.67,,,46686.34
2022-08-01,BUY,V,43,205.39,8831.67,,,37854.67
2022-08-01,BUY,MA,25,343.36,8584.02,,,29270.65
2022-08-01,BUY,GS,29,302.09,8760.64,,,20510.01
2022-08-01,BUY,UNH,17,499.8,8496.66,,,12013.35
2022-08-01,BUY,TMO,15,583.12,8746.78,,,3266.57
2022-08-04,SELL,XOM,107,76.75,8212.64,-686.66,-7.72,11479.21
2022-08-04,SELL,CVX,64,129.76,8304.66,-514.85,-5.84,19783.87
2022-08-26,SELL,MA,25,325.16,8129.04,-454.99,-5.3,27912.9
2022-08-26,SELL,TMO,15,557.56,8363.4,-383.37,-4.38,36276.31
2022-08-30,SELL,V,43,196.04,8429.56,-402.11,-4.55,44705.86
2022-09-01,SELL,AAPL,56,155.21,8691.73,-183.01,-2.06,53397.59
2022-09-01,SELL,NFLX,394,23.0,9063.58,150.9,1.69,62461.17
2022-09-01,SELL,GS,29,305.67,8864.53,103.89,1.19,71325.7
2022-09-01,BUY,MRK,111,77.8,8636.2,,,62689.49
2022-09-01,BUY,PEP,56,154.21,8635.66,,,54053.83
2022-09-01,BUY,MCD,36,236.62,8518.16,,,45535.68
2022-09-01,BUY,NEE,111,78.12,8671.27,,,36864.41
2022-09-01,BUY,KO,156,55.46,8652.33,,,28212.08
2022-09-01,BUY,T,605,14.35,8684.08,,,19528.0
2022-09-01,BUY,JNJ,58,149.17,8651.58,,,10876.42
2022-09-01,BUY,V,44,194.82,8572.05,,,2304.37
2022-09-02,SELL,UNH,17,482.04,8194.65,-302.01,-3.55,10499.01
2022-09-06,SELL,T,605,13.77,8331.75,-352.33,-4.06,18830.77
2022-09-15,SELL,PEP,56,147.99,8287.44,-348.22,-4.03,27118.2
2022-09-15,SELL,KO,156,53.64,8368.2,-284.13,-3.28,35486.4
2022-09-21,SELL,V,44,182.06,8010.52,-561.53,-6.55,43496.92
2022-09-22,SELL,MCD,36,228.75,8234.85,-283.31,-3.33,51731.77
2022-09-26,SELL,NEE,111,73.49,8157.59,-513.68,-5.92,59889.36
2022-09-27,SELL,SO,133,63.13,8396.65,-502.33,-5.64,68286.01
2022-10-03,BUY,UNH,15,482.76,7241.46,,,61044.55
2022-10-03,BUY,PEP,50,147.43,7371.39,,,53673.16
2022-10-03,BUY,KO,146,51.05,7452.88,,,46220.28
2022-10-10,SELL,KO,146,49.01,7155.56,-297.33,-3.99,53375.83
2022-10-18,BUY,LMT,22,393.44,8655.74,,,44720.1
2022-10-19,BUY,NFLX,328,27.24,8934.06,,,35786.03
