date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,HON,59,151.4,8932.42,,,91067.58
2022-10-03,BUY,DE,27,329.0,8883.0,,,82184.58
2022-10-03,BUY,MS,125,71.54,8942.1,,,73242.48
2022-10-03,BUY,GS,32,274.19,8774.06,,,64468.41
2022-10-03,BUY,WMT,212,42.34,8976.73,,,55491.68
2022-10-03,BUY,WFC,236,38.01,8970.77,,,46520.92
2022-10-03,BUY,DIS,94,94.9,8920.15,,,37600.76
2022-10-03,BUY,HD,34,259.55,8824.72,,,28776.04
2022-10-03,BUY,NFLX,376,23.9,8987.9,,,19788.14
2022-10-03,BUY,BAC,316,28.41,8977.48,,,10810.65
2022-10-14,SELL,WFC,236,39.47,9313.8,343.04,3.82,20124.46
2022-11-01,SELL,HON,59,177.7,10484.14,1551.72,17.37,30608.59
2022-11-01,SELL,DE,27,371.71,10036.07,1153.07,12.98,40644.66
2022-11-01,SELL,MS,125,75.23,9404.0,461.89,5.17,50048.66
2022-11-01,SELL,WMT,212,45.27,9597.17,620.44,6.91,59645.83
2022-11-01,SELL,DIS,94,103.56,9734.75,814.6,9.13,69380.59
2022-11-01,SELL,HD,34,270.86,9209.19,384.47,4.36,78589.78
2022-11-01,SELL,BAC,316,33.08,10453.04,1475.55,16.44,89042.81
2022-11-01,BUY,JPM,82,118.48,9715.72,,,79327.09
2022-11-01,BUY,MRK,108,89.78,9696.16,,,69630.93
2022-11-01,BUY,XOM,98,99.47,9748.24,,,59882.68
2022-11-01,BUY,CAT,47,207.12,9734.5,,,50148.18
2022-11-01,BUY,CVX,61,157.87,9629.78,,,40518.4
2022-11-01,BUY,ABBV,74,130.57,9662.4,,,30856.0
2022-11-01,BUY,PEP,60,161.27,9675.91,,,21180.09
2022-11-01,BUY,UNH,19,512.54,9738.34,,,11441.75
2022-11-14,SELL,UNH,19,481.12,9141.2,-597.14,-6.13,20582.95
2022-12-01,SELL,GS,32,354.09,11330.97,2556.9,29.14,31913.92
2022-12-01,SELL,NFLX,376,31.69,11917.32,2929.42,32.59,43831.24
2022-12-01,SELL,MRK,108,98.81,10672.0,975.83,10.06,54503.24
2022-12-01,SELL,XOM,98,99.28,9729.25,-18.99,-0.19,64232.49
2022-12-01,SELL,CAT,47,223.41,10500.34,765.84,7.87,74732.83
2022-12-01,SELL,CVX,61,159.32,9718.65,88.87,0.92,84451.49
2022-12-01,SELL,PEP,60,166.89,10013.12,337.21,3.49,94464.61
2022-12-01,BUY,PFE,245,42.23,10347.25,,,84117.36
2022-12-01,BUY,WMT,211,49.0,10339.3,,,73778.06
2022-12-01,BUY,BAC,308,33.59,10347.05,,,63431.01
2022-12-01,BUY,HD,34,301.04,10235.33,,,53195.68
2022-12-01,BUY,DE,24,422.48,10139.6,,,43056.07
2022-12-01,BUY,HON,54,191.13,10321.09,,,32734.98
2022-12-01,BUY,JNJ,63,162.3,10224.59,,,22510.39
2022-12-01,BUY,LLY,28,361.04,10108.98,,,12401.41
2022-12-05,SELL,BAC,308,31.68,9758.22,-588.83,-5.69,22159.62
2022-12-09,SELL,WMT,211,46.6,9832.87,-506.43,-4.9,31992.49
2022-12-15,SELL,HON,54,183.73,9921.33,-399.76,-3.87,41913.83
2022-12-20,BUY,NKE,143,97.23,13903.89,,,28009.94
2023-01-02,SELL,ABBV,74,143.64,10629.23,966.83,10.01,38639.17
2023-01-02,SELL,DE,24,411.15,9867.63,-271.97,-2.68,48506.8
2023-01-02,SELL,JNJ,63,160.4,10105.04,-119.56,-1.17,58611.84
2023-01-02,SELL,LLY,28,356.66,9986.42,-122.57,-1.21,68598.25
2023-01-02,BUY,CMCSA,375,29.44,11039.78,,,57558.47
2023-01-02,BUY,ADBE,32,336.53,10768.96,,,46789.51
2023-01-02,BUY,ABT,107,103.05,11025.96,,,35763.55
2023-01-02,BUY,VZ,349,31.65,11044.28,,,24719.26
2023-01-02,BUY,PG,79,139.51,11021.66,,,13697.61
2023-01-02,BUY,MA,32,341.16,10917.05,,,2780.55
2023-01-09,SELL,PFE,245,40.01,9802.34,-544.91,-5.27,12582.89
2023-01-13,BUY,BAC,388,32.38,12563.85,,,19.04
2023-01-18,SELL,PG,79,134.77,10647.14,-374.52,-3.4,10666.18
2023-01-19,SELL,HD,34,286.14,9728.68,-506.65,-4.95,20394.86
2023-01-19,SELL,BAC,388,30.54,11850.6,-713.25,-5.68,32245.46
2023-01-24,BUY,JNJ,70,152.82,10697.73,,,21547.73
2023-01-25,BUY,TSLA,74,144.43,10687.82,,,10859.91
2023-01-25,BUY,T,628,17.29,10859.71,,,0.2
2023-01-30,SELL,JNJ,70,147.1,10296.67,-401.06,-3.75,10296.88
2023-01-31,BUY,PFE,279,36.85,10280.4,,,16.48
2023-02-01,SELL,NKE,143,122.0,17445.53,3541.64,25.47,17462.01
2023-02-01,SELL,ADBE,32,383.92,12285.44,1516.48,14.08,29747.45
2023-02-01,SELL,TSLA,74,181.41,13424.34,2736.52,25.6,43171.79
2023-02-01,SELL,PFE,279,36.69,10236.17,-44.23,-0.43,53407.96
2023-02-01,BUY,V,56,225.28,12615.41,,,40792.55
2023-02-01,BUY,UPS,81,156.62,12686.21,,,28106.33
2023-02-01,BUY,WFC,292,43.55,12715.71,,,15390.63
2023-02-01,BUY,BAC,385,33.02,12710.88,,,2679.75
2023-02-07,SELL,T,628,16.3,10237.48,-622.22,-5.73,12917.24
2023-02-08,BUY,DIS,118,109.21,12886.57,,,30.67
2023-02-17,SELL,DIS,118,102.8,12130.3,-756.27,-5.87,12160.97
2023-02-17,BUY,DE,29,415.51,12049.92,,,111.05
2023-02-21,SELL,ABT,107,97.72,10456.46,-569.5,-5.17,10567.51
2023-02-21,SELL,V,56,215.67,12077.37,-538.05,-4.26,22644.87
2023-02-21,SELL,BAC,385,31.73,12215.46,-495.41,-3.9,34860.34
2023-02-21,BUY,WMT,245,47.25,11576.03,,,23284.31
2023-02-22,BUY,NVDA,561,20.73,11630.72,,,11653.59
2023-02-27,SELL,WMT,245,45.36,11113.24,-462.79,-4.0,22766.83
2023-03-01,BUY,CRM,68,165.34,11243.19,,,11523.64
2023-03-01,SELL,JPM,82,132.77,10887.29,1171.57,12.06,22410.93
2023-03-01,SELL,CMCSA,375,31.08,11653.81,614.03,5.56,34064.74
2023-03-01,SELL,VZ,349,31.25,10904.72,-139.56,-1.26,44969.46
2023-03-01,SELL,MA,32,347.38,11116.22,199.16,1.82,56085.68
2023-03-01,SELL,UPS,81,156.38,12666.5,-19.72,-0.16,68752.18
2023-03-01,SELL,WFC,292,43.22,12621.07,-94.63,-0.74,81373.25
2023-03-01,SELL,DE,29,402.51,11672.83,-377.09,-3.13,93046.07
2023-03-01,BUY,MRK,117,96.62,11304.06,,,81742.02
2023-03-01,BUY,DIS,117,96.27,11263.92,,,70478.1
2023-03-01,BUY,AMD,144,78.29,11273.76,,,59204.34
2023-03-01,BUY,MCD,46,245.15,11277.09,,,47927.25
2023-03-01,BUY,XOM,113,100.12,11313.93,,,36613.32
2023-03-01,BUY,ABBV,81,139.32,11284.53,,,25328.79
2023-03-01,BUY,TSLA,55,202.77,11152.35,,,14176.44
2023-03-01,BUY,SO,202,56.02,11315.49,,,2860.94
2023-03-09,SELL,ABBV,81,132.21,10708.93,-575.6,-5.1,13569.87
2023-03-09,SELL,TSLA,55,172.92,9510.6,-1641.75,-14.72,23080.47
2023-03-10,SELL,DIS,117,91.42,10695.81,-568.11,-5.04,33776.28
2023-03-15,SELL,XOM,113,91.75,10368.13,-945.8,-8.36,44144.41
2023-03-21,BUY,NKE,92,118.67,10917.6,,,33226.81
2023-03-22,SELL,NKE,92,112.9,10386.54,-531.06,-4.86,43613.35
2023-03-23,BUY,NKE,95,114.29,10857.16,,,32756.18
2023-04-03,SELL,NVDA,561,27.94,15674.49,4043.77,34.77,48430.67
2023-04-03,SELL,CRM,68,194.13,13200.93,1957.73,17.41,61631.6
2023-04-03,SELL,MRK,117,99.31,11619.58,315.53,2.79,73251.19
2023-04-03,SELL,AMD,144,96.56,13904.64,2630.88,23.34,87155.82
2023-04-03,SELL,SO,202,61.99,12522.94,1207.45,10.67,99678.77
2023-04-03,BUY,ADBE,31,380.08,11782.48,,,87896.29
2023-04-03,BUY,GOOGL,117,103.5,12110.03,,,75786.26
2023-04-03,BUY,INTC,378,32.1,12134.38,,,63651.88
2023-04-03,BUY,AMZN,118,102.41,12084.38,,,51567.49
2023-04-03,BUY,COST,25,477.21,11930.37,,,39637.12
2023-04-03,BUY,TSLA,62,194.77,12075.74,,,27561.38
2023-04-03,BUY,DIS,124,97.46,12085.63,,,15475.75
2023-04-03,BUY,CMCSA,376,32.25,12125.1,,,3350.64
2023-04-20,SELL,INTC,378,30.12,11385.44,-748.94,-6.17,14736.08
2023-04-20,SELL,TSLA,62,162.99,10105.38,-1970.36,-16.32,24841.46
2023-04-20,BUY,GS,39,314.72,12274.16,,,12567.3
2023-04-20,BUY,JNJ,84,149.6,12566.25,,,1.05
2023-04-26,SELL,ADBE,31,363.06,11254.86,-527.62,-4.48,11255.91
2023-04-26,BUY,MSFT,39,288.54,11252.94,,,2.97
2023-05-01,SELL,NKE,95,120.85,11480.93,623.77,5.75,11483.9
2023-05-01,SELL,GOOGL,117,106.32,12439.59,329.56,2.72,23923.48
2023-05-01,SELL,AMZN,118,102.05,12041.9,-42.48,-0.35,35965.39
2023-05-01,SELL,COST,25,473.91,11847.8,-82.57,-0.69,47813.19
