date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,MRK,114,78.79,8982.16,,,91017.84
2022-10-03,BUY,UNH,18,482.76,8689.75,,,82328.09
2022-10-03,BUY,JNJ,61,147.23,8981.31,,,73346.78
2022-10-03,BUY,PEP,61,147.43,8993.1,,,64353.68
2022-10-03,BUY,KO,176,51.05,8984.3,,,55369.38
2022-10-07,SELL,KO,176,49.12,8644.91,-339.39,-3.78,64014.29
2022-11-01,BUY,MCD,35,251.82,8813.69,,,55200.6
2022-11-01,BUY,XOM,90,99.47,8952.47,,,46248.13
2022-11-01,BUY,GS,28,319.5,8945.87,,,37302.27
2022-11-01,BUY,T,584,15.32,8945.93,,,28356.34
2022-11-01,BUY,KO,166,53.74,8921.08,,,19435.26
2022-11-01,BUY,CVX,56,157.87,8840.46,,,10594.81
2022-12-01,SELL,UNH,18,502.8,9050.48,360.73,4.15,19645.29
2022-12-01,SELL,T,584,16.02,9355.44,409.51,4.58,29000.73
2022-12-01,SELL,CVX,56,159.32,8922.04,81.59,0.92,37922.77
2022-12-01,BUY,WMT,185,49.0,9065.26,,,28857.51
2022-12-01,BUY,PFE,215,42.23,9080.24,,,19777.27
2022-12-01,BUY,PG,66,137.39,9067.62,,,10709.65
2022-12-06,SELL,XOM,90,93.08,8376.99,-575.48,-6.43,19086.64
2022-12-09,SELL,WMT,185,46.6,8621.24,-444.02,-4.9,27707.87
2022-12-19,SELL,MCD,35,246.63,8632.12,-181.57,-2.06,36340.0
2023-01-02,SELL,GS,28,316.79,8870.21,-75.66,-0.85,45210.21
2023-01-02,SELL,PFE,215,42.37,9108.68,28.44,0.31,54318.89
2023-01-02,BUY,LLY,29,356.66,10343.07,,,43975.82
2023-01-02,BUY,MCD,42,244.5,10268.92,,,33706.89
2023-01-02,BUY,ABBV,72,143.64,10341.95,,,23364.94
2023-01-02,BUY,UNH,20,498.03,9960.65,,,13404.29
2023-01-02,BUY,HON,55,188.41,10362.8,,,3041.49
2023-01-04,SELL,UNH,20,473.91,9478.19,-482.46,-4.84,12519.68
2023-01-05,SELL,HON,55,179.77,9887.46,-475.34,-4.59,22407.13
2023-01-09,SELL,LLY,29,341.05,9890.44,-452.64,-4.38,32297.57
2023-01-11,SELL,ABBV,72,139.69,10057.82,-284.13,-2.75,42355.4
2023-01-13,BUY,JPM,79,133.2,10522.82,,,31832.57
2023-01-13,BUY,BAC,327,32.38,10588.61,,,21243.96
2023-01-13,BUY,WFC,261,40.69,10618.92,,,10625.04
2023-01-18,SELL,JPM,79,127.2,10048.96,-473.86,-4.5,20674.0
2023-01-18,SELL,BAC,327,30.99,10134.77,-453.84,-4.29,30808.77
2023-01-19,SELL,PG,66,131.92,8706.96,-360.66,-3.98,39515.74
2023-01-25,BUY,ABT,94,104.65,9837.45,,,29678.29
2023-01-26,BUY,V,45,219.24,9865.62,,,19812.67
2023-01-26,BUY,CMCSA,288,34.28,9873.73,,,9938.94
2023-02-01,SELL,PEP,61,154.01,9394.74,401.64,4.47,19333.68
2023-02-01,SELL,WFC,261,43.55,11365.75,746.83,7.03,30699.43
2023-02-01,SELL,CMCSA,288,33.91,9766.22,-107.51,-1.09,40465.65
2023-02-01,BUY,JPM,73,130.01,9491.09,,,30974.56
2023-02-01,BUY,LLY,28,333.97,9351.21,,,21623.35
2023-02-01,BUY,PG,72,132.64,9549.86,,,12073.49
2023-02-01,BUY,T,562,17.09,9604.18,,,2469.31
2023-02-07,SELL,T,562,16.3,9161.57,-442.61,-4.61,11630.88
2023-02-08,SELL,PG,72,128.36,9241.74,-308.13,-3.23,20872.61
2023-02-14,SELL,ABT,94,101.13,9505.99,-331.46,-3.37,30378.6
2023-02-16,SELL,JNJ,61,143.68,8764.56,-216.75,-2.41,39143.16
2023-02-16,SELL,LLY,28,318.91,8929.6,-421.61,-4.51,48072.76
2023-02-16,BUY,SO,164,58.59,9608.44,,,38464.32
2023-02-21,BUY,WMT,203,47.25,9591.57,,,28872.75
2023-02-23,SELL,WMT,203,45.57,9250.43,-341.14,-3.56,38123.18
2023-02-24,BUY,WMT,208,45.69,9503.62,,,28619.56
2023-02-28,SELL,SO,164,56.68,9295.92,-312.52,-3.25,37915.49
2023-03-01,SELL,V,45,213.46,9605.61,-260.01,-2.64,47521.1
2023-03-08,SELL,WMT,208,44.29,9212.11,-291.51,-3.07,56733.21
2023-03-09,SELL,JPM,73,121.4,8862.16,-628.93,-6.63,65595.37
2023-03-21,BUY,NKE,78,118.67,9256.22,,,56339.14
2023-03-22,SELL,NKE,78,112.9,8805.98,-450.25,-4.86,65145.12
2023-04-03,BUY,PEP,54,164.94,8906.77,,,56238.35
2023-04-03,BUY,WMT,188,47.88,9001.57,,,47236.78
2023-04-03,BUY,LMT,20,448.93,8978.5,,,38258.27
2023-04-03,BUY,V,40,223.86,8954.37,,,29303.91
2023-04-03,BUY,PG,65,138.49,9001.92,,,20301.98
2023-04-03,BUY,HON,52,170.83,8883.35,,,11418.63
2023-04-03,BUY,ABBV,62,143.94,8924.03,,,2494.6
2023-04-26,SELL,LMT,20,425.86,8517.24,-461.27,-5.14,11011.83
2023-04-26,BUY,META,53,207.77,11011.78,,,0.05
2023-04-27,SELL,ABBV,62,134.8,8357.7,-566.34,-6.35,8357.75
2023-04-27,BUY,INTC,286,29.14,8335.24,,,22.51
2023-05-01,SELL,MRK,114,106.13,12098.47,3116.31,34.69,12120.98
2023-05-01,SELL,WMT,188,48.81,9177.13,175.56,1.95,21298.11
2023-05-01,SELL,META,53,241.29,12788.18,1776.4,16.13,34086.3
2023-05-01,SELL,INTC,286,29.57,8458.06,122.82,1.47,42544.35
2023-05-01,BUY,LMT,23,433.07,9960.54,,,32583.82
2023-05-01,BUY,SO,152,66.6,10122.73,,,22461.08
2023-05-01,BUY,GS,32,316.45,10126.41,,,12334.67
2023-05-01,BUY,CVX,68,147.3,10016.33,,,2318.34
2023-05-02,SELL,CVX,68,140.96,9585.11,-431.22,-4.31,11903.45
2023-05-02,BUY,PFE,365,32.59,11896.03,,,7.42
2023-05-03,SELL,LMT,23,417.97,9613.4,-347.13,-3.49,9620.82
2023-05-03,SELL,GS,32,305.37,9771.99,-354.43,-3.5,19392.81
2023-05-04,BUY,AAPL,59,163.42,9641.93,,,9750.88
2023-05-11,SELL,PFE,365,31.7,11569.13,-326.9,-2.75,21320.01
2023-05-16,SELL,SO,152,64.33,9778.59,-344.15,-3.4,31098.6
2023-05-18,BUY,WMT,211,48.96,10330.81,,,20767.79
2023-05-19,BUY,DE,29,349.71,10141.59,,,10626.2
2023-05-23,SELL,WMT,211,47.94,10115.29,-215.53,-2.09,20741.49
2023-05-24,SELL,V,40,217.68,8707.37,-247.0,-2.76,29448.85
2023-05-25,SELL,PG,65,135.52,8808.67,-193.25,-2.15,38257.53
2023-05-31,SELL,DE,29,332.81,9651.46,-490.13,-4.83,47908.98
2023-06-01,SELL,HON,52,172.25,8956.76,73.41,0.83,56865.74
2023-06-01,BUY,WMT,192,47.65,9148.57,,,47717.16
2023-06-01,BUY,V,41,221.85,9095.72,,,38621.44
2023-06-01,BUY,SO,145,62.77,9101.96,,,29519.48
2023-06-01,BUY,MRK,90,101.19,9107.27,,,20412.22
2023-06-01,BUY,JNJ,64,142.4,9113.42,,,11298.79
2023-06-01,BUY,PG,68,134.19,9124.59,,,2174.21
