date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,V,50,176.83,8841.49,,,91158.51
2022-10-03,BUY,LLY,28,312.61,8753.01,,,82405.51
2022-10-03,BUY,MSFT,38,233.92,8889.11,,,73516.4
2022-10-03,BUY,MRK,114,78.79,8982.16,,,64534.24
2022-10-03,BUY,XOM,110,81.7,8987.4,,,55546.84
2022-10-03,BUY,PG,76,117.46,8927.18,,,46619.66
2022-10-03,BUY,UNH,18,482.76,8689.75,,,37929.91
2022-10-03,BUY,MA,31,284.53,8820.46,,,29109.45
2022-10-03,BUY,ABT,96,92.97,8924.97,,,20184.48
2022-10-03,BUY,MCD,41,217.12,8901.97,,,11282.51
2022-10-11,SELL,MSFT,38,219.03,8323.06,-566.05,-6.37,19605.57
2022-10-18,BUY,LMT,14,393.44,5508.2,,,14097.37
2022-11-01,SELL,LLY,28,342.77,9597.68,844.68,9.65,23695.05
2022-11-01,SELL,XOM,110,99.47,10941.91,1954.5,21.75,34636.96
2022-11-01,SELL,MA,31,326.89,10133.68,1313.22,14.89,44770.63
2022-11-01,SELL,ABT,96,93.21,8948.16,23.19,0.26,53718.8
2022-11-01,SELL,MCD,41,251.82,10324.61,1422.64,15.98,64043.41
2022-11-01,SELL,LMT,14,442.45,6194.3,686.1,12.46,70237.7
2022-11-01,BUY,JPM,83,118.48,9834.2,,,60403.5
2022-11-01,BUY,GS,30,319.5,9584.86,,,50818.64
2022-11-01,BUY,JNJ,63,156.16,9837.89,,,40980.75
2022-11-01,BUY,DE,26,371.71,9664.36,,,31316.38
2022-11-01,BUY,ABBV,75,130.57,9792.97,,,21523.41
2022-11-01,BUY,PEP,61,161.27,9837.17,,,11686.24
2022-12-01,SELL,MRK,114,98.81,11264.89,2282.73,25.41,22951.13
2022-12-01,SELL,UNH,18,502.8,9050.48,360.73,4.15,32001.61
2022-12-01,SELL,JPM,83,125.96,10455.03,620.83,6.31,42456.64
2022-12-01,SELL,DE,26,422.48,10984.57,1320.21,13.66,53441.21
2022-12-01,SELL,ABBV,75,143.66,10774.2,981.23,10.02,64215.41
2022-12-01,SELL,PEP,61,166.89,10180.0,342.83,3.49,74395.42
2022-12-01,BUY,XOM,105,99.28,10424.2,,,63971.22
2022-12-01,BUY,MA,29,353.98,10265.45,,,53705.77
2022-12-01,BUY,LMT,23,443.43,10198.9,,,43506.87
2022-12-01,BUY,MCD,41,253.66,10399.87,,,33107.0
2022-12-01,BUY,LLY,28,361.04,10108.98,,,22998.02
2022-12-01,BUY,ABT,103,101.3,10433.96,,,12564.06
2022-12-06,SELL,XOM,105,93.08,9773.16,-651.04,-6.25,22337.22
2022-12-19,SELL,MA,29,334.81,9709.5,-555.95,-5.42,32046.72
2022-12-19,SELL,MCD,41,246.63,10111.92,-287.96,-2.77,42158.63
2022-12-21,BUY,NKE,115,109.07,12543.24,,,29615.39
2023-01-02,SELL,GS,30,316.79,9503.79,-81.06,-0.85,39119.18
2023-01-02,SELL,LMT,23,446.0,10257.94,59.04,0.58,49377.12
2023-01-02,SELL,LLY,28,356.66,9986.42,-122.57,-1.21,59363.54
2023-01-02,SELL,NKE,115,110.23,12676.5,133.25,1.06,72040.03
2023-01-02,BUY,KO,201,57.73,11602.78,,,60437.25
2023-01-02,BUY,PFE,274,42.37,11608.28,,,48828.97
2023-01-02,BUY,PEP,71,162.18,11514.87,,,37314.1
2023-01-02,BUY,MRK,115,100.51,11558.8,,,25755.3
2023-01-02,BUY,JPM,93,123.99,11530.66,,,14224.64
2023-01-02,BUY,CVX,74,156.7,11596.03,,,2628.61
2023-01-09,SELL,PFE,274,40.01,10962.62,-645.66,-5.56,13591.23
2023-01-12,SELL,KO,201,55.55,11165.01,-437.77,-3.77,24756.24
2023-01-18,SELL,PEP,71,154.07,10938.68,-576.19,-5.0,35694.92
2023-01-20,BUY,NFLX,312,34.25,10686.0,,,25008.92
2023-01-27,SELL,MRK,115,95.47,10978.51,-580.29,-5.02,35987.44
2023-01-30,SELL,JNJ,63,147.1,9267.01,-570.89,-5.8,45254.44
2023-02-01,BUY,AMD,133,84.64,11257.12,,,33997.32
2023-02-01,SELL,PG,76,132.64,10080.41,1153.23,12.92,44077.73
2023-02-01,SELL,CVX,74,149.61,11070.78,-525.24,-4.53,55148.52
2023-02-01,SELL,NFLX,312,36.2,11294.09,608.09,5.69,66442.61
2023-02-01,SELL,AMD,133,84.64,11257.12,0.0,0.0,77699.73
2023-02-01,BUY,MA,29,367.61,10660.56,,,67039.16
2023-02-01,BUY,BLK,15,705.5,10582.5,,,56456.66
2023-02-01,BUY,TMO,18,581.57,10468.25,,,45988.42
2023-02-01,BUY,UPS,68,156.62,10650.16,,,35338.26
2023-02-01,BUY,PFE,293,36.69,10749.81,,,24588.45
2023-02-01,BUY,NKE,88,122.0,10735.71,,,13852.74
2023-02-01,BUY,BAC,326,33.02,10762.98,,,3089.76
2023-02-08,SELL,NKE,88,115.79,10189.39,-546.32,-5.09,13279.15
2023-02-09,SELL,BLK,15,662.34,9935.03,-647.47,-6.12,23214.18
2023-02-16,SELL,TMO,18,552.08,9937.49,-530.76,-5.07,33151.68
2023-02-21,SELL,MA,29,349.8,10144.18,-516.38,-4.84,43295.85
2023-02-21,SELL,BAC,326,31.73,10343.48,-419.49,-3.9,53639.34
2023-02-22,SELL,ABT,103,96.82,9972.34,-461.62,-4.42,63611.68
2023-02-22,SELL,PFE,293,35.36,10361.09,-388.72,-3.62,73972.77
2023-03-01,BUY,MRK,106,96.62,10241.28,,,63731.48
2023-03-01,BUY,LMT,23,437.59,10064.51,,,53666.98
2023-03-01,BUY,CRM,62,165.34,10251.15,,,43415.83
2023-03-01,BUY,ABBV,73,139.32,10170.01,,,33245.82
2023-03-01,BUY,MCD,41,245.15,10051.32,,,23194.51
2023-03-01,BUY,NVDA,452,22.67,10248.68,,,12945.82
2023-03-01,BUY,XOM,102,100.12,10212.57,,,2733.25
2023-03-09,SELL,ABBV,73,132.21,9651.25,-518.75,-5.1,12384.5
2023-03-15,SELL,XOM,102,91.75,9358.84,-853.73,-8.36,21743.35
2023-04-03,SELL,JPM,93,121.23,11274.55,-256.11,-2.22,33017.89
2023-04-03,SELL,CRM,62,194.13,12036.14,1784.99,17.41,45054.03
2023-04-03,SELL,MCD,41,263.28,10794.3,742.98,7.39,55848.33
2023-04-03,SELL,NVDA,452,27.94,12629.0,2380.32,23.23,68477.33
2023-04-03,BUY,CVX,73,149.69,10927.07,,,57550.27
2023-04-03,BUY,ADBE,29,380.08,11022.32,,,46527.95
2023-04-03,BUY,PG,79,138.49,10940.8,,,35587.15
2023-04-03,BUY,NKE,96,114.95,11034.93,,,24552.21
2023-04-03,BUY,MSFT,39,280.59,10942.82,,,13609.39
2023-04-03,BUY,ABBV,76,143.94,10939.14,,,2670.25
2023-04-25,SELL,MSFT,39,269.05,10492.89,-449.93,-4.11,13163.14
2023-04-25,SELL,UPS,68,150.58,10239.23,-410.93,-3.86,23402.37
2023-04-26,SELL,ADBE,29,363.06,10528.74,-493.58,-4.48,33931.11
2023-04-27,SELL,ABBV,76,134.8,10244.92,-694.22,-6.35,44176.03
2023-04-27,BUY,META,46,236.7,10888.31,,,33287.72
2023-05-01,SELL,MRK,106,106.13,11249.45,1008.17,9.84,44537.17
2023-05-01,SELL,LMT,23,433.07,9960.54,-103.97,-1.03,54497.71
2023-05-01,SELL,NKE,96,120.85,11601.78,566.85,5.14,66099.49
2023-05-01,SELL,META,46,241.29,11099.18,210.86,1.94,77198.66
2023-05-01,BUY,SO,160,66.6,10655.51,,,66543.15
2023-05-01,BUY,HON,60,177.2,10631.85,,,55911.3
2023-05-01,BUY,GOOGL,100,106.32,10632.13,,,45279.18
2023-05-01,BUY,PEP,61,173.24,10567.45,,,34711.73
2023-05-01,BUY,NFLX,330,32.41,10695.96,,,24015.77
2023-05-01,BUY,JNJ,71,149.62,10622.77,,,13392.99
2023-05-01,BUY,KO,182,58.8,10701.43,,,2691.57
2023-05-02,SELL,CVX,73,140.96,10289.89,-637.17,-5.83,12981.46
2023-05-16,SELL,SO,160,64.33,10293.25,-362.26,-3.4,23274.71
2023-05-16,SELL,HON,60,170.25,10214.77,-417.08,-3.92,33489.48
2023-05-16,SELL,JNJ,71,145.72,10346.16,-276.61,-2.6,43835.65
2023-05-18,SELL,KO,182,57.43,10451.78,-249.64,-2.33,54287.43
2023-05-22,SELL,PEP,61,168.68,10289.59,-277.86,-2.63,64577.02
2023-05-25,BUY,NVDA,283,37.95,10738.83,,,53838.19
2023-05-30,SELL,PG,79,133.46,10543.19,-397.61,-3.63,64381.38
2023-06-01,SELL,NFLX,330,40.31,13303.29,2607.33,24.38,77684.67
2023-06-01,SELL,NVDA,283,39.73,11244.95,506.12,4.71,88929.62
2023-06-01,BUY,AAPL,60,177.76,10665.83,,,78263.79
2023-06-01,BUY,PEP,65,165.81,10777.67,,,67486.12
2023-06-01,BUY,WMT,227,47.65,10816.28,,,56669.84
2023-06-01,BUY,MRK,107,101.19,10827.53,,,45842.31
2023-06-01,BUY,PG,80,134.19,10734.81,,,35107.5
2023-06-01,BUY,CRM,51,210.34,10727.56,,,24379.95
2023-06-01,BUY,INTC,355,30.51,10830.39,,,13549.55
2023-06-01,BUY,COST,21,493.19,10357.0,,,3192.55
2023-06-02,SELL,COST,21,493.18,10356.8,-0.2,-0.0,13549.35
2023-06-02,BUY,CAT,18,217.02,3906.35,,,9643.0
