date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,MRK,114,78.79,8982.16,,,91017.84
2022-10-03,BUY,UNH,18,482.76,8689.75,,,82328.09
2022-10-03,BUY,JNJ,61,147.23,8981.31,,,73346.78
2022-10-03,BUY,PEP,61,147.43,8993.1,,,64353.68
2022-10-03,BUY,KO,176,51.05,8984.3,,,55369.38
2022-10-10,SELL,KO,176,49.01,8625.88,-358.42,-3.99,63995.26
2022-10-18,BUY,LMT,27,393.44,10622.95,,,53372.31
2022-10-19,BUY,NFLX,391,27.24,10650.06,,,42722.25
2022-11-01,SELL,MRK,114,89.78,10234.84,1252.68,13.95,52957.09
2022-11-01,SELL,UNH,18,512.54,9225.79,536.04,6.17,62182.88
2022-11-01,SELL,JNJ,61,156.16,9525.58,544.27,6.06,71708.46
2022-11-01,SELL,PEP,61,161.27,9837.17,844.07,9.39,81545.64
2022-11-01,SELL,LMT,27,442.45,11946.15,1323.19,12.46,93491.78
2022-11-01,BUY,INTC,342,26.93,9208.49,,,84283.29
2022-11-01,BUY,PFE,234,39.36,9209.78,,,75073.52
2022-11-01,BUY,XOM,92,99.47,9151.41,,,65922.1
2022-11-01,BUY,CAT,44,207.12,9113.15,,,56808.95
2022-11-01,BUY,TSLA,40,227.82,9112.8,,,47696.15
2022-11-01,BUY,JPM,77,118.48,9123.3,,,38572.85
2022-11-01,BUY,MA,28,326.89,9153.0,,,29419.86
2022-11-01,BUY,GS,28,319.5,8945.87,,,20473.99
2022-11-01,BUY,BLK,15,599.03,8985.42,,,11488.57
2022-11-03,SELL,MA,28,303.33,8493.15,-659.85,-7.21,19981.72
2022-11-07,SELL,TSLA,40,197.08,7883.2,-1229.6,-13.49,27864.92
2022-12-01,SELL,INTC,342,28.76,9837.43,628.94,6.83,37702.35
2022-12-01,SELL,PFE,234,42.23,9882.68,672.9,7.31,47585.03
2022-12-01,SELL,XOM,92,99.28,9133.58,-17.83,-0.19,56718.61
2022-12-01,SELL,CAT,44,223.41,9830.11,716.96,7.87,66548.72
2022-12-01,SELL,JPM,77,125.96,9699.25,575.95,6.31,76247.97
2022-12-01,SELL,GS,28,354.09,9914.6,968.73,10.83,86162.56
2022-12-01,SELL,BLK,15,663.51,9952.59,967.17,10.76,96115.16
2022-12-01,BUY,WMT,193,49.0,9457.27,,,86657.88
2022-12-01,BUY,MRK,95,98.81,9387.41,,,77270.48
2022-12-01,BUY,LMT,21,443.43,9312.04,,,67958.44
2022-12-01,BUY,HD,31,301.04,9332.21,,,58626.23
2022-12-01,BUY,DE,22,422.48,9294.64,,,49331.59
2022-12-01,BUY,JNJ,58,162.3,9413.12,,,39918.47
2022-12-01,BUY,AAPL,64,145.97,9342.03,,,30576.44
2022-12-01,BUY,MSFT,38,248.18,9430.7,,,21145.74
2022-12-01,BUY,AMZN,99,95.5,9454.5,,,11691.24
2022-12-09,SELL,WMT,193,46.6,8994.05,-463.23,-4.9,20685.29
2022-12-09,SELL,AMZN,99,89.09,8819.91,-634.59,-6.71,29505.2
2022-12-15,SELL,AAPL,64,134.35,8598.12,-743.91,-7.96,38103.32
2022-12-19,SELL,MSFT,38,234.3,8903.42,-527.28,-5.59,47006.74
2022-12-21,BUY,NKE,107,109.07,11670.67,,,35336.07
2023-01-02,SELL,NFLX,391,29.49,11529.81,879.75,8.26,46865.88
2023-01-02,SELL,LMT,21,446.0,9365.94,53.91,0.58,56231.82
2023-01-02,SELL,HD,31,290.72,9012.36,-319.85,-3.43,65244.18
2023-01-02,SELL,DE,22,411.15,9045.33,-249.31,-2.68,74289.51
2023-01-02,SELL,NKE,107,110.23,11794.65,123.98,1.06,86084.16
2023-01-02,BUY,PEP,64,162.18,10379.6,,,75704.56
2023-01-02,BUY,KO,181,57.73,10448.28,,,65256.28
2023-01-02,BUY,PG,75,139.51,10463.6,,,54792.68
2023-01-02,BUY,MCD,42,244.5,10268.92,,,44523.76
2023-01-02,BUY,LLY,29,356.66,10343.07,,,34180.69
2023-01-02,BUY,ABBV,73,143.64,10485.59,,,23695.09
2023-01-02,BUY,UNH,21,498.03,10458.68,,,13236.41
2023-01-02,BUY,HON,55,188.41,10362.8,,,2873.61
2023-01-04,SELL,UNH,21,473.91,9952.1,-506.58,-4.84,12825.71
2023-01-05,SELL,HON,55,179.77,9887.46,-475.34,-4.59,22713.17
2023-01-12,SELL,JNJ,58,157.99,9163.49,-249.63,-2.65,31876.66
2023-01-12,SELL,KO,181,55.55,10054.07,-394.21,-3.77,41930.73
2023-01-12,SELL,ABBV,73,136.58,9970.24,-515.36,-4.91,51900.96
2023-01-18,SELL,PEP,64,154.07,9860.22,-519.38,-5.0,61761.18
2023-01-18,SELL,PG,75,134.77,10108.04,-355.55,-3.4,71869.23
2023-01-20,SELL,LLY,29,337.38,9784.13,-558.94,-5.4,81653.36
2023-01-20,BUY,NFLX,298,34.25,10206.5,,,71446.86
2023-02-01,BUY,AMD,120,84.64,10156.8,,,61290.06
2023-02-01,SELL,MRK,95,96.91,9206.91,-180.5,-1.92,70496.97
2023-02-01,SELL,MCD,42,247.04,10375.69,106.77,1.04,80872.66
2023-02-01,SELL,NFLX,298,36.2,10787.3,580.8,5.69,91659.97
2023-02-01,BUY,TSLA,54,181.41,9796.14,,,81863.82
2023-02-01,BUY,JPM,76,130.01,9881.13,,,71982.69
2023-02-01,BUY,V,44,225.28,9912.11,,,62070.58
2023-02-01,BUY,BAC,301,33.02,9937.59,,,52132.99
2023-02-01,BUY,WFC,228,43.55,9928.7,,,42204.29
2023-02-01,BUY,BLK,14,705.5,9877.0,,,32327.29
2023-02-01,BUY,ABT,94,105.43,9910.12,,,22417.17
2023-02-01,BUY,CMCSA,293,33.91,9935.77,,,12481.4
2023-02-01,BUY,T,582,17.09,9945.96,,,2535.43
2023-02-09,SELL,BLK,14,662.34,9272.7,-604.31,-6.12,11808.13
2023-02-09,SELL,CMCSA,293,32.15,9421.21,-514.56,-5.18,21229.34
2023-02-09,SELL,T,582,16.06,9349.6,-596.37,-6.0,30578.94
2023-02-14,SELL,ABT,94,101.13,9505.99,-404.13,-4.08,40084.92
2023-02-21,SELL,AMD,120,76.77,9212.4,-944.4,-9.3,49297.32
2023-02-21,SELL,V,44,215.67,9489.36,-422.75,-4.26,58786.68
2023-02-21,SELL,BAC,301,31.73,9550.27,-387.32,-3.9,68336.95
2023-03-01,SELL,TSLA,54,202.77,10949.58,1153.44,11.77,79286.53
2023-03-01,SELL,WFC,228,43.22,9854.81,-73.89,-0.74,89141.34
2023-03-01,BUY,MCD,39,245.15,9561.01,,,79580.33
2023-03-01,BUY,MRK,100,96.62,9661.59,,,69918.75
2023-03-01,BUY,V,45,213.46,9605.61,,,60313.14
2023-03-01,BUY,WMT,215,44.95,9663.49,,,50649.65
2023-03-01,BUY,JNJ,69,139.53,9627.52,,,41022.13
2023-03-01,BUY,LMT,22,437.59,9626.92,,,31395.21
2023-03-01,BUY,T,612,15.8,9670.88,,,21724.33
2023-03-01,BUY,ABBV,69,139.32,9612.75,,,12111.59
2023-03-01,BUY,ABT,101,95.07,9601.58,,,2510.0
2023-03-09,SELL,JPM,76,121.4,9226.35,-654.78,-6.63,11736.36
2023-03-09,SELL,ABBV,69,132.21,9122.42,-490.33,-5.1,20858.78
2023-04-03,SELL,MCD,39,263.28,10267.75,706.74,7.39,31126.52
2023-04-03,SELL,V,45,223.86,10073.66,468.05,4.87,41200.18
2023-04-03,SELL,WMT,215,47.88,10294.35,630.86,6.53,51494.53
2023-04-03,SELL,JNJ,69,143.44,9897.6,270.07,2.81,61392.13
2023-04-03,SELL,ABT,101,95.78,9673.95,72.37,0.75,71066.08
2023-04-03,BUY,XOM,94,104.85,9856.32,,,61209.76
2023-04-03,BUY,NKE,85,114.95,9770.51,,,51439.24
2023-04-03,BUY,BA,45,215.39,9692.55,,,41746.69
2023-04-03,BUY,MS,124,78.95,9790.41,,,31956.28
2023-04-03,BUY,CAT,45,218.93,9852.03,,,22104.26
2023-04-03,BUY,JPM,81,121.23,9819.77,,,12284.49
2023-04-03,BUY,CVX,65,149.69,9729.58,,,2554.91
2023-04-05,SELL,CAT,45,203.37,9151.71,-700.32,-7.11,11706.61
2023-04-14,SELL,BA,45,201.71,9076.95,-615.6,-6.35,20783.56
2023-04-20,SELL,T,612,15.16,9277.16,-393.72,-4.07,30060.72
2023-04-27,BUY,META,38,236.7,8994.69,,,21066.03
2023-05-01,SELL,MRK,100,106.13,10612.69,951.1,9.84,31678.72
2023-05-01,SELL,LMT,22,433.07,9527.47,-99.45,-1.03,41206.19
2023-05-01,SELL,NKE,85,120.85,10272.41,501.9,5.14,51478.6
2023-05-01,SELL,MS,124,80.34,9962.45,172.03,1.76,61441.04
2023-05-01,SELL,CVX,65,147.3,9574.43,-155.15,-1.59,71015.48
2023-05-01,BUY,NFLX,304,32.41,9853.25,,,61162.23
2023-05-01,BUY,GS,31,316.45,9809.96,,,51352.27
2023-05-01,BUY,MSFT,33,298.49,9850.21,,,41502.06
2023-05-01,BUY,CAT,47,208.06,9778.66,,,31723.4
2023-05-01,BUY,MCD,35,277.68,9718.91,,,22004.48
2023-05-01,BUY,HON,55,177.2,9745.86,,,12258.62
2023-05-01,BUY,V,43,227.29,9773.48,,,2485.14
2023-05-02,SELL,XOM,94,99.41,9344.54,-511.78,-5.19,11829.68
2023-05-04,SELL,GS,31,298.51,9253.75,-556.21,-5.67,21083.42
2023-05-16,SELL,HON,55,170.25,9363.54,-382.32,-3.92,30446.96
2023-05-22,SELL,MCD,35,270.0,9450.12,-268.79,-2.77,39897.09
2023-05-24,SELL,V,43,217.68,9360.42,-413.06,-4.23,49257.51
2023-05-25,BUY,NVDA,259,37.95,9828.12,,,39429.39
2023-05-31,SELL,CAT,47,197.03,9260.18,-518.48,-5.3,48689.57
2023-06-01,SELL,JPM,81,129.15,10461.02,641.25,6.53,59150.6
2023-06-01,SELL,META,38,270.49,10278.52,1283.82,14.27,69429.11
2023-06-01,BUY,WMT,201,47.65,9577.41,,,59851.7
2023-06-01,BUY,CRM,45,210.34,9465.49,,,50386.21
2023-06-01,BUY,BA,46,207.96,9566.16,,,40820.05
2023-06-01,BUY,LLY,22,428.02,9416.48,,,31403.57
2023-06-01,BUY,AAPL,54,177.76,9599.24,,,21804.33
2023-06-01,BUY,MRK,95,101.19,9613.23,,,12191.1
2023-06-01,BUY,DE,28,339.15,9496.15,,,2694.96
