date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,COST,10,903.85,9038.52,,,90961.48
2025-01-02,BUY,BA,57,171.87,9796.59,,,81164.89
2025-01-02,BUY,NKE,137,71.5,9796.12,,,71368.77
2025-01-02,BUY,WMT,110,88.96,9786.05,,,61582.72
2025-01-02,BUY,TSLA,25,379.28,9482.0,,,52100.72
2025-01-02,BUY,DIS,89,109.61,9755.1,,,42345.62
2025-01-02,BUY,AAPL,40,242.53,9701.01,,,32644.62
2025-01-02,BUY,NFLX,110,88.67,9754.03,,,22890.59
2025-01-02,BUY,BLK,9,991.44,8923.0,,,13967.59
2025-01-02,BUY,MA,18,518.64,9335.46,,,4632.13
2025-01-10,SELL,NFLX,110,83.77,9214.59,-539.44,-5.53,13846.72
2025-01-10,SELL,BLK,9,931.26,8381.34,-541.66,-6.07,22228.06
2025-01-10,SELL,MA,18,501.77,9031.91,-303.55,-3.25,31259.97
2025-01-14,SELL,AAPL,40,232.01,9280.5,-420.5,-4.33,40540.47
2025-01-15,BUY,JPM,40,247.28,9891.18,,,30649.29
2025-01-15,BUY,GS,17,590.69,10041.78,,,20607.51
2025-01-15,BUY,WFC,139,73.97,10281.99,,,10325.52
2025-01-15,BUY,BLK,10,987.33,9873.32,,,452.2
2025-01-16,SELL,DIS,89,105.3,9371.3,-383.79,-3.93,9823.51
2025-01-16,BUY,BAC,216,45.33,9790.85,,,32.66
2025-01-28,SELL,BA,57,177.78,10133.46,336.87,3.44,10166.12
2025-01-28,BUY,T,434,23.38,10145.27,,,20.85
2025-02-03,SELL,COST,10,999.24,9992.44,953.91,10.55,10013.29
2025-02-03,SELL,NKE,137,74.34,10184.4,388.28,3.96,20197.68
2025-02-03,SELL,WMT,110,98.39,10823.37,1037.32,10.6,31021.06
2025-02-03,SELL,TSLA,25,383.68,9592.0,110.0,1.16,40613.06
2025-02-03,BUY,META,13,694.67,9030.75,,,31582.31
2025-02-03,BUY,V,28,342.67,9594.89,,,21987.42
2025-02-03,BUY,MA,17,560.71,9532.11,,,12455.31
2025-02-03,BUY,MS,72,133.58,9617.43,,,2837.88
2025-02-21,SELL,BAC,216,43.55,9406.68,-384.16,-3.92,12244.57
2025-02-24,SELL,BLK,10,928.49,9284.92,-588.4,-5.96,21529.49
2025-02-24,SELL,MS,72,126.57,9113.28,-504.15,-5.24,30642.76
2025-02-25,SELL,META,13,654.87,8513.34,-517.4,-5.73,39156.11
2025-02-26,BUY,NVDA,74,131.24,9711.54,,,29444.57
2025-02-26,BUY,CRM,32,305.34,9770.77,,,19673.8
2025-03-03,SELL,NVDA,74,114.02,8437.68,-1273.86,-13.12,28111.47
2025-03-04,SELL,CRM,32,285.48,9135.24,-635.53,-6.5,37246.71
2025-03-07,SELL,GS,17,548.31,9321.28,-720.5,-7.18,46568.0
2025-03-07,SELL,WFC,139,69.54,9666.12,-615.86,-5.99,56234.12
2025-03-10,SELL,JPM,40,227.55,9102.16,-789.02,-7.98,65336.28
2025-03-10,SELL,MA,17,534.04,9078.62,-453.49,-4.76,74414.9
2025-03-13,SELL,V,28,326.11,9131.06,-463.82,-4.83,83545.97
2025-03-20,BUY,NKE,132,70.1,9253.3,,,74292.67
2025-03-25,SELL,NKE,132,64.91,8568.25,-685.05,-7.4,82860.92
2025-04-01,BUY,XOM,70,115.09,8056.0,,,74804.92
2025-04-01,BUY,V,23,343.78,7906.87,,,66898.04
2025-04-01,BUY,ABT,63,129.26,8143.66,,,58754.38
