date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,COST,10,903.85,9038.52,,,90961.48
2025-01-02,BUY,NKE,137,71.5,9796.12,,,81165.36
2025-01-02,BUY,NVDA,70,138.26,9678.53,,,71486.83
2025-01-02,BUY,ADBE,22,441.0,9702.0,,,61784.83
2025-01-02,BUY,WMT,110,88.96,9786.05,,,51998.78
2025-01-02,BUY,DE,23,412.54,9488.33,,,42510.45
2025-01-02,BUY,CRM,29,328.52,9526.95,,,32983.5
2025-01-10,SELL,ADBE,22,405.92,8930.24,-771.76,-7.95,41913.74
2025-01-15,BUY,JPM,42,247.28,10385.74,,,31528.0
2025-01-15,BUY,GS,17,590.69,10041.78,,,21486.22
2025-01-15,BUY,WFC,145,73.97,10725.81,,,10760.4
2025-01-15,BUY,BLK,10,987.33,9873.32,,,887.09
2025-01-27,SELL,NVDA,70,118.38,8286.68,-1391.84,-14.38,9173.77
2025-01-27,BUY,T,396,23.13,9158.33,,,15.44
2025-02-03,SELL,COST,10,999.24,9992.44,953.91,10.55,10007.87
2025-02-03,SELL,NKE,137,74.34,10184.4,388.28,3.96,20192.27
2025-02-03,SELL,WMT,110,98.39,10823.37,1037.32,10.6,31015.64
2025-02-03,SELL,DE,23,460.75,10597.17,1108.84,11.69,41612.82
2025-02-03,SELL,CRM,29,337.04,9774.15,247.21,2.59,51386.97
2025-02-03,SELL,T,396,23.23,9200.07,41.73,0.46,60587.04
2025-02-03,BUY,META,14,694.67,9725.42,,,50861.62
2025-02-03,BUY,V,28,342.67,9594.89,,,41266.73
2025-02-03,BUY,MA,17,560.71,9532.11,,,31734.62
2025-02-03,BUY,BAC,217,44.91,9745.49,,,21989.13
2025-02-03,BUY,MS,73,133.58,9751.01,,,12238.12
2025-02-03,BUY,ABBV,53,183.97,9750.33,,,2487.79
2025-02-24,SELL,BLK,10,928.49,9284.92,-588.4,-5.96,11772.71
2025-02-24,SELL,BAC,217,43.21,9376.42,-369.07,-3.79,21149.13
2025-02-24,SELL,MS,73,126.57,9239.85,-511.15,-5.24,30388.98
2025-02-25,SELL,META,14,654.87,9168.21,-557.2,-5.73,39557.2
2025-02-26,BUY,NVDA,75,131.24,9842.77,,,29714.42
2025-02-26,BUY,CRM,32,305.34,9770.77,,,19943.65
2025-03-03,SELL,NVDA,75,114.02,8551.7,-1291.08,-13.12,28495.35
2025-03-04,SELL,CRM,32,285.48,9135.24,-635.53,-6.5,37630.59
2025-03-07,SELL,GS,17,548.31,9321.28,-720.5,-7.18,46951.87
2025-03-07,SELL,WFC,145,69.54,10083.37,-642.45,-5.99,57035.24
2025-03-10,SELL,JPM,42,227.55,9557.27,-828.47,-7.98,66592.51
2025-03-10,SELL,MA,17,534.04,9078.62,-453.49,-4.76,75671.13
2025-03-13,SELL,V,28,326.11,9131.06,-463.82,-4.83,84802.19
2025-03-20,BUY,NKE,134,70.1,9393.5,,,75408.7
2025-03-25,SELL,NKE,134,64.91,8698.07,-695.43,-7.4,84106.77
2025-04-01,SELL,ABBV,53,199.58,10577.48,827.14,8.48,94684.24
2025-04-01,BUY,NKE,134,63.17,8465.39,,,86218.85
2025-04-01,BUY,WMT,96,88.05,8452.68,,,77766.18
2025-04-01,BUY,ADBE,22,383.2,8430.4,,,69335.78
2025-04-01,BUY,CRM,31,268.45,8321.87,,,61013.91
2025-04-01,BUY,NVDA,77,110.12,8479.55,,,52534.35
2025-04-01,BUY,COST,8,949.2,7593.58,,,44940.77
2025-04-01,BUY,HD,23,356.51,8199.7,,,36741.07
2025-04-01,BUY,SO,95,88.9,8445.72,,,28295.35
2025-04-03,SELL,NKE,134,54.22,7265.39,-1200.0,-14.18,35560.74
2025-04-04,SELL,WMT,96,82.46,7916.0,-536.68,-6.35,43476.73
2025-04-04,SELL,ADBE,22,349.07,7679.54,-750.86,-8.91,51156.27
2025-04-04,SELL,CRM,31,239.2,7415.15,-906.72,-10.9,58571.43
2025-04-04,SELL,NVDA,77,94.29,7260.16,-1219.39,-14.38,65831.58
2025-04-07,SELL,HD,23,333.09,7661.08,-538.61,-6.57,73492.67
2025-04-07,SELL,SO,95,84.45,8022.61,-423.11,-5.01,81515.27
2025-04-09,BUY,AAPL,45,197.99,8909.42,,,72605.86
2025-04-09,BUY,BAC,249,36.33,9046.87,,,63558.99
2025-04-11,BUY,JPM,38,232.88,8849.43,,,54709.56
2025-04-11,BUY,WFC,149,61.18,9116.1,,,45593.46
2025-04-11,BUY,MS,86,105.29,9055.32,,,36538.14
2025-04-11,BUY,BLK,10,861.04,8610.35,,,27927.79
2025-04-14,BUY,GS,18,493.75,8887.52,,,19040.27
2025-04-15,BUY,JNJ,63,149.46,9415.72,,,9624.55
2025-04-17,BUY,NFLX,98,97.3,9535.69,,,88.86
2025-05-01,SELL,COST,8,993.59,7948.76,355.17,4.68,8037.62
2025-05-01,SELL,AAPL,45,212.39,9557.74,648.33,7.28,17595.36
2025-05-01,SELL,WFC,149,70.28,10472.36,1356.26,14.88,28067.72
2025-05-01,SELL,MS,86,114.62,9857.4,802.08,8.86,37925.12
2025-05-01,SELL,BLK,10,897.64,8976.41,366.06,4.25,46901.53
2025-05-01,SELL,JNJ,63,150.27,9467.21,51.49,0.55,56368.73
2025-05-01,BUY,MSFT,18,422.17,7599.02,,,48769.71
2025-05-01,BUY,META,13,570.43,7415.6,,,41354.11
2025-05-01,BUY,PFE,349,22.31,7786.38,,,33567.73
2025-05-01,BUY,HON,40,194.45,7778.2,,,25789.53
2025-05-01,BUY,GOOGL,48,160.74,7715.65,,,18073.89
2025-05-01,BUY,AMZN,40,190.2,7608.0,,,10465.89
2025-05-14,SELL,PFE,349,20.92,7301.59,-484.79,-6.23,17767.48
2025-05-15,BUY,DE,34,511.13,17378.46,,,389.01
2025-06-02,SELL,BAC,249,43.11,10734.48,1687.61,18.65,11123.49
2025-06-02,SELL,JPM,38,260.94,9915.71,1066.28,12.05,21039.2
2025-06-02,SELL,GS,18,589.49,10610.85,1723.34,19.39,31650.05
2025-06-02,SELL,NFLX,98,121.9,11946.0,2410.31,25.28,43596.06
2025-06-02,SELL,HON,40,209.16,8366.24,588.04,7.56,51962.3
2025-06-02,BUY,COST,9,1052.46,9472.13,,,42490.17
2025-06-02,BUY,NVDA,72,137.35,9889.03,,,32601.14
2025-06-02,BUY,NEE,145,68.68,9957.91,,,22643.23
2025-06-02,BUY,AMD,87,114.63,9972.81,,,12670.42
2025-06-02,BUY,V,27,363.21,9806.63,,,2863.79
2025-06-05,SELL,COST,9,1006.61,9059.49,-412.64,-4.36,11923.29
2025-06-18,SELL,V,27,338.41,9137.14,-669.49,-6.83,21060.43
2025-06-26,BUY,NKE,171,61.41,10501.85,,,10558.57
2025-07-01,SELL,MSFT,18,489.21,8805.75,1206.72,15.88,19364.32
2025-07-01,SELL,META,13,717.53,9327.95,1912.36,25.79,28692.27
2025-07-01,SELL,GOOGL,48,175.44,8421.34,705.69,9.15,37113.61
2025-07-01,SELL,AMZN,40,220.46,8818.4,1210.4,15.91,45932.01
2025-07-01,SELL,DE,34,504.84,17164.71,-213.75,-1.23,63096.72
2025-07-01,SELL,NEE,145,71.52,10370.99,413.08,4.15,73467.71
2025-07-01,SELL,AMD,87,136.11,11841.57,1868.76,18.74,85309.28
2025-07-01,BUY,CRM,38,271.0,10298.0,,,75011.28
2025-07-01,BUY,ADBE,26,392.1,10194.6,,,64816.68
2025-07-01,BUY,COST,10,981.86,9818.64,,,54998.04
2025-07-01,BUY,HD,28,366.22,10254.22,,,44743.83
2025-07-01,BUY,GS,14,695.57,9738.0,,,35005.83
2025-07-01,BUY,JPM,36,286.33,10307.8,,,24698.03
2025-07-01,BUY,BAC,219,47.37,10373.66,,,14324.36
2025-07-01,BUY,BLK,10,1038.45,10384.52,,,3939.84
2025-07-10,SELL,ADBE,26,371.43,9657.18,-537.42,-5.27,13597.02
2025-07-11,SELL,CRM,38,257.21,9773.84,-524.16,-5.09,23370.86
2025-07-15,SELL,HD,28,351.97,9855.22,-399.0,-3.89,33226.08
2025-07-15,SELL,BAC,219,45.4,9942.77,-430.89,-4.15,43168.85
2025-07-15,BUY,WFC,139,77.61,10787.51,,,32381.34
2025-07-16,SELL,COST,10,947.42,9474.17,-344.46,-3.51,41855.52
2025-07-16,BUY,MS,76,137.23,10429.4,,,31426.11
2025-07-23,BUY,GOOGL,55,189.8,10439.12,,,20987.0
2025-07-23,BUY,TMO,22,465.48,10240.58,,,10746.42
2025-07-29,BUY,MRK,133,80.53,10710.74,,,35.68
2025-07-31,SELL,MRK,133,76.14,10126.14,-584.6,-5.46,10161.82
2025-07-31,BUY,AAPL,49,206.94,10140.07,,,21.75
2025-08-01,SELL,NVDA,72,173.69,12505.76,2616.73,26.46,12527.51
2025-08-01,SELL,NKE,171,73.28,12530.35,2028.5,19.32,25057.86
2025-08-01,SELL,WFC,139,76.55,10639.77,-147.74,-1.37,35697.63
2025-08-01,SELL,TMO,22,461.82,10160.05,-80.53,-0.79,45857.68
2025-08-01,SELL,AAPL,49,201.77,9886.53,-253.54,-2.5,55744.22
2025-08-01,BUY,META,14,748.25,10475.54,,,45268.68
2025-08-01,BUY,MSFT,20,521.08,10421.66,,,34847.02
2025-08-01,BUY,ABBV,55,192.28,10575.16,,,24271.85
2025-08-01,BUY,T,395,27.14,10718.83,,,13553.02
2025-08-01,BUY,MA,19,558.31,10607.95,,,2945.07
2025-08-26,SELL,MSFT,20,499.96,9999.22,-422.44,-4.05,12944.29
2025-09-01,SELL,GS,14,737.69,10327.68,589.68,6.06,23271.97
2025-09-01,SELL,JPM,36,298.61,10750.13,442.33,4.29,34022.1
2025-09-01,SELL,BLK,10,1110.23,11102.29,717.77,6.91,45124.39
2025-09-01,SELL,MS,76,148.75,11304.96,875.55,8.4,56429.34
2025-09-01,SELL,META,14,736.97,10317.57,-157.97,-1.51,66746.91
2025-09-01,BUY,LLY,14,730.29,10224.02,,,56522.89
2025-09-01,BUY,BA,45,234.68,10560.6,,,45962.3
2025-09-01,BUY,DE,22,475.33,10457.26,,,35505.04
2025-09-01,BUY,AMZN,46,229.0,10534.0,,,24971.04
2025-09-01,BUY,V,30,350.36,10510.86,,,14460.17
2025-09-01,BUY,MRK,131,81.98,10739.91,,,3720.26
2025-09-10,SELL,V,30,336.76,10102.72,-408.15,-3.88,13822.98
2025-09-11,SELL,BA,45,219.99,9899.55,-661.05,-6.26,23722.53
2025-09-18,BUY,INTC,388,30.57,11861.16,,,11861.37
2025-09-23,SELL,MRK,131,78.7,10309.63,-430.28,-4.01,22171.0
2025-09-25,SELL,AMZN,46,218.15,10034.9,-499.1,-4.74,32205.9
2025-09-30,SELL,DE,22,455.68,10025.04,-432.22,-4.13,42230.94
