date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,WMT,110,88.96,9786.05,,,90213.95
2025-01-02,BUY,MA,18,518.64,9335.46,,,80878.49
2025-01-02,BUY,V,31,311.54,9657.75,,,71220.74
2025-01-02,BUY,GS,17,560.52,9528.85,,,61691.89
2025-01-02,BUY,COST,10,903.85,9038.52,,,52653.37
2025-01-02,BUY,AAPL,40,242.53,9701.01,,,42952.36
2025-01-02,BUY,GOOGL,51,188.56,9616.47,,,33335.89
2025-01-02,BUY,META,16,596.85,9549.53,,,23786.37
2025-01-02,BUY,NVDA,70,138.26,9678.53,,,14107.84
2025-01-02,BUY,NFLX,110,88.67,9754.03,,,4353.81
2025-01-10,SELL,MA,18,501.77,9031.91,-303.55,-3.25,13385.72
2025-01-10,SELL,NFLX,110,83.77,9214.59,-539.44,-5.53,22600.31
2025-01-14,SELL,AAPL,40,232.01,9280.5,-420.5,-4.33,31880.81
2025-01-17,BUY,INTC,445,21.49,9563.05,,,22317.76
2025-01-22,BUY,NFLX,70,95.4,6677.93,,,15639.83
2025-01-27,SELL,NVDA,70,118.38,8286.68,-1391.84,-14.38,23926.52
2025-01-28,SELL,INTC,445,19.8,8811.0,-752.05,-7.86,32737.52
2025-02-03,SELL,WMT,110,98.39,10823.37,1037.32,10.6,43560.89
2025-02-03,SELL,NFLX,70,97.89,6852.58,174.65,2.62,50413.47
2025-02-03,BUY,MA,17,560.71,9532.11,,,40881.36
2025-02-03,BUY,BAC,215,44.91,9655.67,,,31225.69
2025-02-03,BUY,JPM,36,261.45,9412.17,,,21813.52
2025-02-03,BUY,MS,72,133.58,9617.43,,,12196.09
2025-02-03,BUY,PG,58,164.25,9526.64,,,2669.45
2025-02-24,SELL,GOOGL,51,178.43,9099.68,-516.79,-5.37,11769.13
2025-02-24,SELL,BAC,215,43.21,9290.0,-365.67,-3.79,21059.13
2025-02-24,SELL,MS,72,126.57,9113.28,-504.15,-5.24,30172.41
2025-03-03,SELL,GS,17,592.98,10080.58,551.73,5.79,40252.99
2025-03-03,SELL,JPM,36,255.38,9193.8,-218.36,-2.32,49446.8
2025-03-03,BUY,LLY,10,922.89,9228.87,,,40217.93
2025-03-03,BUY,DIS,85,111.56,9482.28,,,30735.65
2025-03-03,BUY,KO,135,69.77,9418.65,,,21317.0
2025-03-03,BUY,T,357,26.56,9480.81,,,11836.19
2025-03-03,BUY,AMZN,46,205.02,9430.92,,,2405.27
2025-03-04,SELL,T,357,25.12,8967.78,-513.03,-5.41,11373.05
2025-03-06,SELL,DIS,85,104.28,8863.53,-618.76,-6.53,20236.58
2025-03-07,SELL,LLY,10,863.19,8631.89,-596.98,-6.47,28868.47
