date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-01-02,BUY,WMT,110,88.96,9786.05,,,90213.95
2025-01-02,BUY,COST,10,903.85,9038.52,,,81175.43
2025-01-02,BUY,MA,18,518.64,9335.46,,,71839.97
2025-01-02,BUY,BLK,9,991.44,8923.0,,,62916.97
2025-01-02,BUY,SO,124,78.79,9770.41,,,53146.56
2025-01-02,BUY,V,31,311.54,9657.75,,,43488.82
2025-01-02,BUY,DE,23,412.54,9488.33,,,34000.48
2025-01-02,BUY,AAPL,40,242.53,9701.01,,,24299.48
2025-01-02,BUY,T,453,21.6,9783.86,,,14515.61
2025-01-02,BUY,ABT,88,110.77,9747.7,,,4767.91
2025-01-10,SELL,MA,18,501.77,9031.91,-303.55,-3.25,13799.82
2025-01-10,SELL,BLK,9,931.26,8381.34,-541.66,-6.07,22181.15
2025-01-10,SELL,T,453,20.78,9413.3,-370.57,-3.79,31594.45
2025-01-14,SELL,AAPL,40,232.01,9280.5,-420.5,-4.33,40874.96
2025-01-17,BUY,INTC,475,21.49,10207.75,,,30667.21
2025-01-22,BUY,NFLX,96,95.4,9158.3,,,21508.9
2025-01-28,SELL,INTC,475,19.8,9405.0,-802.75,-7.86,30913.9
2025-02-03,SELL,WMT,110,98.39,10823.37,1037.32,10.6,41737.27
2025-02-03,SELL,COST,10,999.24,9992.44,953.91,10.55,51729.71
2025-02-03,SELL,SO,124,80.62,9996.61,226.2,2.32,61726.32
2025-02-03,SELL,DE,23,460.75,10597.17,1108.84,11.69,72323.49
2025-02-03,SELL,ABT,88,126.08,11095.41,1347.7,13.83,83418.9
2025-02-03,SELL,NFLX,96,97.89,9397.82,239.52,2.62,92816.72
2025-02-03,BUY,META,14,694.67,9725.42,,,83091.3
2025-02-03,BUY,JPM,38,261.45,9935.06,,,73156.24
2025-02-03,BUY,MA,17,560.71,9532.11,,,63624.13
2025-02-03,BUY,GS,16,616.48,9863.65,,,53760.47
2025-02-03,BUY,BAC,224,44.91,10059.86,,,43700.62
2025-02-03,BUY,WFC,132,76.1,10045.74,,,33654.88
2025-02-03,BUY,MS,75,133.58,10018.16,,,23636.72
2025-02-03,BUY,BLK,10,987.89,9878.87,,,13757.85
2025-02-03,BUY,ABBV,54,183.97,9934.3,,,3823.55
2025-02-24,SELL,BAC,224,43.21,9678.89,-380.97,-3.79,13502.43
2025-02-24,SELL,MS,75,126.57,9493.0,-525.16,-5.24,22995.43
2025-02-24,SELL,BLK,10,928.49,9284.92,-593.95,-6.01,32280.35
2025-02-25,SELL,META,14,654.87,9168.21,-557.2,-5.73,41448.57
2025-03-03,SELL,GS,16,592.98,9487.61,-376.05,-3.81,50936.17
2025-03-03,SELL,WFC,132,75.39,9951.93,-93.81,-0.93,60888.1
2025-03-03,SELL,ABBV,54,204.62,11049.26,1114.96,11.22,71937.36
2025-03-03,BUY,KO,143,69.77,9976.79,,,61960.57
2025-03-03,BUY,T,375,26.56,9958.83,,,52001.74
2025-03-03,BUY,HON,51,195.64,9977.44,,,42024.3
2025-03-03,BUY,DIS,89,111.56,9928.51,,,32095.79
2025-03-03,BUY,COST,9,1041.14,9370.3,,,22725.49
2025-03-03,BUY,VZ,243,41.06,9977.36,,,12748.14
2025-03-03,BUY,PG,58,170.9,9912.2,,,2835.93
2025-03-04,SELL,JPM,38,245.22,9318.43,-616.63,-6.21,12154.36
2025-03-04,SELL,T,375,25.12,9419.94,-538.9,-5.41,21574.3
2025-03-06,SELL,DIS,89,104.28,9280.63,-647.88,-6.53,30854.93
2025-03-07,SELL,COST,9,959.05,8631.49,-738.81,-7.88,39486.42
2025-03-10,SELL,MA,17,534.04,9078.62,-453.49,-4.76,48565.04
2025-03-14,SELL,PG,58,163.48,9482.05,-430.16,-4.34,58047.08
2025-03-21,SELL,KO,143,66.74,9543.17,-433.62,-4.35,67590.25
2025-04-01,SELL,VZ,243,42.47,10320.78,343.42,3.44,77911.03
2025-04-01,BUY,MCD,27,306.54,8276.54,,,69634.49
2025-04-01,BUY,MA,15,545.36,8180.42,,,61454.07
2025-04-01,BUY,SO,95,88.9,8445.72,,,53008.35
2025-04-01,BUY,ABT,65,129.26,8402.19,,,44606.15
2025-04-01,BUY,CVX,52,161.25,8385.17,,,36220.98
2025-04-01,BUY,PG,51,166.0,8466.22,,,27754.76
2025-04-01,BUY,T,311,27.29,8485.64,,,19269.12
2025-04-01,BUY,KO,121,69.85,8451.28,,,10817.84
2025-04-03,SELL,CVX,52,149.4,7768.64,-616.53,-7.35,18586.48
2025-04-04,SELL,HON,51,176.23,8987.79,-989.65,-9.92,27574.27
2025-04-04,SELL,MA,15,486.96,7304.38,-876.04,-10.71,34878.64
2025-04-04,SELL,ABT,65,122.15,7939.62,-462.57,-5.51,42818.27
2025-04-04,SELL,T,311,25.52,7937.41,-548.23,-6.46,50755.67
2025-04-07,SELL,SO,95,84.45,8022.61,-423.11,-5.01,58778.28
2025-04-07,SELL,PG,51,155.95,7953.47,-512.76,-6.06,66731.75
2025-04-07,SELL,KO,121,66.44,8039.71,-411.57,-4.87,74771.46
2025-04-09,BUY,AAPL,47,197.99,9305.39,,,65466.06
2025-04-17,BUY,LLY,11,833.79,9171.65,,,56294.41
2025-05-01,SELL,LLY,11,788.26,8670.9,-500.75,-5.46,64965.31
2025-05-07,BUY,DIS,91,100.97,9188.57,,,55776.74
2025-05-19,BUY,UNH,30,307.23,9216.8,,,46559.94
2025-06-02,SELL,V,31,363.21,11259.46,1601.72,16.58,57819.4
2025-06-02,SELL,MCD,27,307.34,8298.27,21.73,0.26,66117.67
2025-06-02,SELL,AAPL,47,201.09,9451.14,145.75,1.57,75568.81
2025-06-02,SELL,DIS,91,111.71,10166.02,977.45,10.64,85734.83
2025-06-02,SELL,UNH,30,296.36,8890.89,-325.91,-3.54,94625.72
2025-06-02,BUY,COST,8,1052.46,8419.67,,,86206.05
2025-06-02,BUY,DE,18,502.74,9049.26,,,77156.79
2025-06-02,BUY,T,342,27.04,9248.4,,,67908.4
2025-06-02,BUY,META,13,668.81,8694.58,,,59213.82
2025-06-02,BUY,SO,105,87.81,9220.54,,,49993.29
2025-06-02,BUY,NVDA,67,137.35,9202.29,,,40791.0
2025-06-02,BUY,ABBV,50,182.59,9129.64,,,31661.36
2025-06-02,BUY,VZ,221,41.94,9268.14,,,22393.22
2025-06-02,BUY,ABT,70,131.72,9220.21,,,13173.01
2025-06-02,BUY,KO,132,69.97,9236.25,,,3936.76
2025-06-05,SELL,COST,8,1006.61,8052.88,-366.79,-4.36,11989.64
2025-06-16,SELL,VZ,221,40.42,8931.88,-336.26,-3.63,20921.52
2025-06-16,BUY,AMD,49,126.39,6193.11,,,14728.41
2025-06-17,SELL,KO,132,68.14,8994.44,-241.81,-2.62,23722.85
2025-06-27,BUY,NKE,100,70.74,7074.33,,,16648.52
2025-07-01,SELL,DE,18,504.84,9087.2,37.94,0.42,25735.72
2025-07-01,SELL,SO,105,90.12,9462.48,241.94,2.62,35198.2
2025-07-01,SELL,NVDA,67,153.27,10269.39,1067.1,11.6,45467.59
2025-07-01,SELL,ABBV,50,185.52,9276.11,146.47,1.6,54743.7
2025-07-01,SELL,AMD,49,136.11,6669.39,476.28,7.69,61413.09
2025-07-01,SELL,NKE,100,72.09,7208.87,134.53,1.9,68621.96
2025-07-01,BUY,V,26,353.42,9188.8,,,59433.16
2025-07-01,BUY,WFC,118,80.2,9463.15,,,49970.01
2025-07-01,BUY,WMT,97,97.61,9468.3,,,40501.71
2025-07-01,BUY,DIS,77,122.66,9444.83,,,31056.88
2025-07-01,BUY,NFLX,73,129.36,9443.28,,,21613.6
2025-07-01,BUY,MCD,32,292.41,9357.2,,,12256.4
2025-07-01,BUY,MA,16,562.26,8996.15,,,3260.25
2025-07-10,SELL,WMT,97,94.25,9142.54,-325.76,-3.44,12402.79
2025-07-15,SELL,DIS,77,118.18,9099.89,-344.94,-3.65,21502.68
2025-07-17,SELL,ABT,70,119.37,8356.03,-864.18,-9.37,29858.71
2025-07-18,SELL,NFLX,73,120.92,8827.45,-615.83,-6.52,38686.16
2025-07-23,BUY,TMO,20,465.48,9309.62,,,29376.55
2025-08-01,SELL,V,26,337.39,8772.1,-416.7,-4.53,38148.65
2025-08-04,SELL,WFC,118,76.35,9009.1,-454.05,-4.8,47157.75
2025-08-15,BUY,UNH,31,297.77,9230.92,,,37926.83
2025-09-01,SELL,T,342,28.64,9795.64,547.24,5.92,47722.47
2025-09-01,SELL,META,13,736.97,9580.6,886.02,10.19,57303.07
2025-09-01,SELL,MCD,32,308.19,9862.04,504.83,5.4,67165.11
2025-09-01,SELL,MA,16,593.61,9497.82,501.67,5.58,76662.92
2025-09-01,SELL,TMO,20,491.42,9828.45,518.83,5.57,86491.37
2025-09-01,SELL,UNH,31,303.51,9408.85,177.93,1.93,95900.22
2025-09-01,BUY,DE,19,475.33,9031.27,,,86868.95
2025-09-01,BUY,NVDA,53,174.15,9230.01,,,77638.94
2025-09-01,BUY,BA,40,234.68,9387.2,,,68251.74
2025-09-01,BUY,JPM,31,298.61,9257.06,,,58994.69
2025-09-01,BUY,MS,63,148.75,9371.21,,,49623.47
2025-09-01,BUY,GS,12,737.69,8852.3,,,40771.18
2025-09-01,BUY,WFC,115,81.35,9355.29,,,31415.89
2025-09-01,BUY,NFLX,77,120.82,9303.52,,,22112.36
2025-09-01,BUY,TSLA,28,333.87,9348.36,,,12764.0
2025-09-01,BUY,AMZN,41,229.0,9389.0,,,3375.0
2025-09-11,SELL,BA,40,219.99,8799.6,-587.6,-6.26,12174.6
2025-09-18,BUY,INTC,119,30.57,3637.83,,,8536.77
2025-09-25,SELL,AMZN,41,218.15,8944.15,-444.85,-4.74,17480.92
2025-09-30,SELL,DE,19,455.68,8657.99,-373.28,-4.13,26138.91
2025-10-01,BUY,LLY,9,822.84,7405.53,,,18733.39
2025-10-01,SELL,WFC,115,80.05,9206.16,-149.13,-1.59,27939.55
2025-10-01,SELL,NFLX,77,117.09,9015.93,-287.6,-3.09,36955.48
2025-10-01,SELL,INTC,119,35.94,4276.86,639.03,17.57,41232.34
2025-10-01,SELL,LLY,9,822.84,7405.53,0.0,0.0,48637.87
