date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,NKE,96,101.67,9760.7,,,90239.3
2024-01-02,BUY,COST,15,642.64,9639.54,,,80599.76
2024-01-02,BUY,NVDA,203,48.14,9772.13,,,70827.63
2024-01-02,BUY,DE,25,389.63,9740.77,,,61086.86
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,51805.74
2024-01-02,BUY,CRM,38,253.06,9616.1,,,42189.64
2024-01-02,BUY,UNH,19,514.26,9771.03,,,32418.61
2024-01-12,SELL,DE,25,375.64,9390.9,-349.87,-3.59,41809.51
2024-01-12,SELL,UNH,19,497.26,9448.01,-323.02,-3.31,51257.52
2024-01-12,BUY,BLK,13,761.03,9893.36,,,41364.16
2024-01-16,BUY,GS,28,362.12,10139.28,,,31224.88
2024-01-17,SELL,NKE,96,96.21,9235.79,-524.91,-5.38,40460.67
2024-01-23,BUY,PG,69,146.26,10091.84,,,30368.83
2024-01-24,BUY,NFLX,185,54.49,10080.09,,,20288.73
2024-01-25,BUY,INTC,207,48.9,10121.3,,,10167.44
2024-01-25,BUY,CMCSA,257,39.49,10149.23,,,18.2
2024-01-26,SELL,INTC,207,43.07,8916.14,-1205.16,-11.91,8934.34
2024-01-26,BUY,NEE,163,54.73,8921.5,,,12.84
2024-02-01,SELL,COST,15,696.83,10452.39,812.85,8.43,10465.23
2024-02-01,SELL,NVDA,203,62.99,12786.67,3014.54,30.85,23251.9
2024-02-01,SELL,ADBE,16,627.91,10046.56,765.44,8.25,33298.46
2024-02-01,SELL,CRM,38,280.39,10654.94,1038.84,10.8,43953.4
2024-02-01,SELL,NFLX,185,56.75,10498.93,418.84,4.16,54452.34
2024-02-01,BUY,MRK,88,117.69,10356.99,,,44095.35
2024-02-01,BUY,MSFT,26,396.94,10320.5,,,33774.85
2024-02-01,BUY,AMZN,65,159.28,10353.2,,,23421.65
2024-02-01,BUY,META,26,391.71,10184.36,,,13237.29
2024-02-01,BUY,MA,22,455.68,10025.07,,,3212.22
2024-02-07,SELL,CMCSA,257,37.39,9608.93,-540.31,-5.32,12821.15
2024-02-07,BUY,LLY,17,714.15,12140.53,,,680.62
2024-02-13,SELL,NEE,163,51.71,8428.74,-492.76,-5.52,9109.36
2024-02-15,BUY,DE,25,354.4,8860.01,,,249.35
2024-03-01,SELL,BLK,13,775.52,10081.8,188.44,1.9,10331.15
2024-03-01,SELL,GS,28,372.02,10416.46,277.18,2.73,20747.6
2024-03-01,SELL,PG,69,150.88,10411.02,319.18,3.16,31158.62
2024-03-01,SELL,MRK,88,118.23,10404.52,47.53,0.46,41563.14
2024-03-01,SELL,MSFT,26,409.22,10639.69,319.2,3.09,52202.84
2024-03-01,SELL,AMZN,65,178.22,11584.3,1231.1,11.89,63787.14
2024-03-01,SELL,META,26,498.92,12971.86,2787.5,27.37,76759.0
2024-03-01,SELL,MA,22,471.22,10366.76,341.69,3.41,87125.76
2024-03-01,BUY,NVDA,129,82.23,10607.51,,,76518.25
2024-03-01,BUY,CRM,33,313.08,10331.51,,,66186.74
2024-03-01,BUY,DIS,96,109.73,10534.15,,,55652.59
2024-03-01,BUY,WMT,184,57.4,10560.81,,,45091.78
2024-03-01,BUY,CAT,32,327.2,10470.47,,,34621.31
2024-03-01,BUY,SO,169,62.57,10573.96,,,24047.35
2024-03-01,BUY,HD,29,363.7,10547.27,,,13500.08
2024-03-01,BUY,MCD,38,277.41,10541.58,,,2958.5
2024-03-05,SELL,CRM,33,295.16,9740.4,-591.11,-5.72,12698.9
2024-03-07,BUY,COST,16,777.05,12432.88,,,266.03
2024-03-08,SELL,COST,16,717.68,11482.83,-950.04,-7.64,11748.86
2024-03-13,SELL,MCD,38,269.9,10256.22,-285.36,-2.71,22005.08
2024-03-21,BUY,NKE,113,96.55,10910.13,,,11094.95
2024-03-22,SELL,NKE,113,89.88,10156.97,-753.17,-6.9,21251.92
