date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,NKE,96,101.67,9760.7,,,90239.3
2024-01-02,BUY,DIS,110,88.91,9780.3,,,80459.0
2024-01-02,BUY,DE,25,389.63,9740.77,,,70718.24
2024-01-02,BUY,PFE,381,25.7,9790.36,,,60927.87
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,51646.75
2024-01-02,BUY,CVX,72,135.63,9765.4,,,41881.36
2024-01-02,BUY,AAPL,53,183.73,9737.76,,,32143.6
2024-01-02,BUY,UPS,70,139.4,9757.68,,,22385.92
2024-01-02,BUY,XOM,103,94.85,9769.25,,,12616.66
2024-01-02,BUY,JNJ,65,149.66,9727.89,,,2888.78
2024-01-17,SELL,DE,25,367.96,9198.95,-541.82,-5.56,12087.73
2024-01-18,SELL,XOM,103,89.7,9238.61,-530.65,-5.43,21326.34
2024-01-24,SELL,NKE,96,96.15,9230.29,-530.4,-5.43,30556.63
2024-01-25,SELL,PFE,381,24.1,9182.26,-608.11,-6.21,39738.89
2024-01-30,SELL,UPS,70,127.7,8939.31,-818.37,-8.39,48678.19
2024-03-04,SELL,AAPL,53,173.52,9196.6,-541.15,-5.56,57874.8
2024-03-15,SELL,ADBE,16,492.46,7879.36,-1401.76,-15.1,65754.16
2024-03-25,TRIM,DIS,36,116.99,4211.78,1010.95,31.58,69965.94
