date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,NKE,136,73.24,9961.07,,,90038.93
2025-10-01,SELL,NKE,136,73.24,9961.07,0.0,0.0,100000.0
2025-10-01,BUY,GOOGL,40,244.57,9782.71,,,90217.29
2025-10-01,BUY,TSLA,21,459.46,9648.66,,,80568.63
2025-10-01,BUY,INTC,272,35.94,9775.68,,,70792.95
2025-10-01,BUY,JNJ,53,183.9,9746.62,,,61046.33
2025-10-01,BUY,ABBV,40,240.69,9627.77,,,51418.56
2025-10-01,BUY,TMO,18,529.81,9536.53,,,41882.02
2025-10-01,BUY,CAT,20,478.32,9566.47,,,32315.56
2025-10-01,BUY,AAPL,38,254.96,9688.63,,,22626.92
2025-10-01,BUY,NVDA,52,187.22,9735.41,,,12891.51
2025-10-01,BUY,UNH,28,343.3,9612.54,,,3278.97
2025-10-03,SELL,ABBV,40,230.38,9215.29,-412.48,-4.28,12494.26
2025-10-03,BUY,NKE,175,71.0,12425.42,,,68.84
2025-10-09,SELL,NKE,175,67.18,11756.91,-668.52,-5.38,11825.75
2025-10-10,SELL,TSLA,21,413.49,8683.29,-965.37,-10.01,20509.04
2025-10-10,SELL,AAPL,38,244.8,9302.53,-386.1,-3.99,29811.56
2025-10-14,BUY,GS,13,762.94,9918.25,,,19893.31
2025-10-14,BUY,WFC,118,83.71,9877.35,,,10015.96
2025-10-15,BUY,BAC,193,51.72,9981.45,,,34.51
2025-11-03,SELL,JNJ,53,184.11,9757.62,11.0,0.11,9792.14
2025-11-03,SELL,NVDA,52,206.86,10756.58,1021.17,10.49,20548.72
2025-11-03,SELL,UNH,28,329.0,9212.08,-400.45,-4.17,29760.8
2025-11-03,SELL,GS,13,777.55,10108.19,189.93,1.92,39868.99
2025-11-03,SELL,WFC,118,86.42,10197.4,320.06,3.24,50066.39
2025-11-03,BUY,AAPL,35,268.54,9398.84,,,40667.56
2025-11-03,BUY,TSLA,20,468.37,9367.4,,,31300.16
2025-11-03,BUY,AMD,36,259.65,9347.4,,,21952.76
2025-11-03,BUY,LLY,10,893.72,8937.24,,,13015.52
2025-11-03,BUY,NEE,118,80.68,9520.22,,,3495.3
