date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,NKE,136,73.24,9961.07,,,90038.93
2025-10-01,SELL,NKE,136,73.24,9961.07,0.0,0.0,100000.0
2025-10-01,BUY,MRK,110,88.71,9758.01,,,90241.99
2025-10-01,BUY,LMT,19,492.64,9360.23,,,80881.76
2025-10-01,BUY,PEP,69,140.5,9694.38,,,71187.38
2025-10-01,BUY,MS,63,155.09,9770.4,,,61416.98
2025-10-01,BUY,JNJ,53,183.9,9746.62,,,51670.36
2025-10-01,BUY,SO,105,93.29,9795.84,,,41874.52
2025-10-01,BUY,HD,25,391.85,9796.22,,,32078.3
2025-10-01,BUY,MSFT,18,517.56,9316.04,,,22762.26
2025-10-01,BUY,UNH,28,343.3,9612.54,,,13149.72
2025-10-01,BUY,TMO,18,529.81,9536.53,,,3613.19
2025-10-08,SELL,PEP,69,136.28,9403.16,-291.22,-3.0,13016.35
2025-10-08,SELL,HD,25,378.79,9469.78,-326.44,-3.33,22486.13
2025-10-13,SELL,MRK,110,84.35,9278.39,-479.62,-4.92,31764.52
2025-10-14,BUY,GS,13,762.94,9918.25,,,21846.26
2025-10-14,BUY,WFC,130,83.71,10881.82,,,10964.44
2025-10-15,BUY,BAC,212,51.72,10964.08,,,0.36
2025-11-03,SELL,MS,63,162.75,10253.43,483.03,4.94,10253.79
2025-11-03,SELL,JNJ,53,184.11,9757.62,11.0,0.11,20011.41
2025-11-03,SELL,SO,105,91.67,9625.34,-170.5,-1.74,29636.75
2025-11-03,SELL,MSFT,18,514.89,9268.0,-48.04,-0.52,38904.75
2025-11-03,SELL,UNH,28,329.0,9212.08,-400.45,-4.17,48116.83
2025-11-03,SELL,GS,13,777.55,10108.19,189.93,1.92,58225.02
2025-11-03,SELL,WFC,130,86.42,11234.43,352.6,3.24,69459.45
2025-11-03,BUY,UPS,105,91.21,9577.08,,,59882.37
2025-11-03,BUY,MRK,118,81.19,9580.37,,,50302.0
2025-11-03,BUY,NEE,119,80.68,9600.9,,,40701.1
2025-11-03,BUY,GOOGL,34,283.34,9633.39,,,31067.7
2025-11-03,BUY,CVX,63,150.86,9504.36,,,21563.35
2025-11-03,BUY,CAT,16,569.26,9108.13,,,12455.22
2025-11-03,BUY,ABBV,45,210.27,9462.07,,,2993.15
2025-11-05,SELL,LMT,19,467.11,8875.15,-485.08,-5.18,11868.3
2025-11-05,BUY,PFE,498,23.79,11845.29,,,23.01
