date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,SO,105,93.29,9795.84,,,90204.16
2025-10-01,BUY,MCD,32,297.07,9506.17,,,80697.99
2025-10-01,BUY,T,363,26.94,9779.47,,,70918.52
2025-10-01,BUY,VZ,231,42.35,9783.88,,,61134.64
2025-10-01,BUY,MA,17,572.15,9726.62,,,51408.02
2025-10-01,BUY,V,28,346.43,9699.98,,,41708.03
2025-10-01,BUY,JNJ,53,183.9,9746.62,,,31961.41
2025-10-01,BUY,XOM,88,110.28,9704.98,,,22256.43
2025-10-01,BUY,MSFT,18,517.56,9316.04,,,12940.39
2025-10-01,BUY,CVX,64,151.39,9689.07,,,3251.32
2025-10-06,SELL,T,363,25.3,9183.12,-596.35,-6.1,12434.44
2025-10-06,SELL,VZ,231,40.04,9250.38,-533.51,-5.45,21684.82
2025-10-09,SELL,MCD,32,290.43,9293.92,-212.25,-2.23,30978.74
2025-10-10,SELL,MA,17,556.64,9462.95,-263.67,-2.71,40441.68
2025-10-10,SELL,CVX,64,145.83,9333.04,-356.02,-3.67,49774.73
2025-10-14,BUY,GS,13,762.94,9918.25,,,39856.47
2025-10-15,BUY,BAC,192,51.72,9929.73,,,29926.74
2025-10-16,SELL,V,28,334.05,9353.35,-346.64,-3.57,39280.09
2025-10-16,SELL,BAC,192,49.9,9580.25,-349.48,-3.52,48860.34
2025-10-21,BUY,KO,139,70.24,9763.4,,,39096.94
2025-10-21,BUY,LMT,20,483.26,9665.29,,,29431.65
2025-10-24,SELL,KO,139,68.75,9556.4,-207.0,-2.12,38988.05
2025-10-29,BUY,NEE,120,80.66,9679.21,,,29308.83
2025-10-30,BUY,LLY,11,841.86,9260.42,,,20048.41
2025-10-30,BUY,MRK,118,84.92,10020.54,,,10027.87
2025-10-31,BUY,CVX,64,154.47,9885.88,,,141.99
2025-11-03,SELL,MRK,118,81.19,9580.37,-440.17,-4.39,9722.36
2025-11-04,SELL,CVX,64,150.23,9614.48,-271.4,-2.75,19336.84
2025-11-04,BUY,PFE,411,23.49,9652.79,,,9684.05
2025-11-05,SELL,SO,105,89.96,9445.54,-350.29,-3.58,19129.59
2025-11-05,SELL,LMT,20,467.11,9342.26,-323.03,-3.34,28471.86
2025-11-06,SELL,MSFT,18,495.04,8910.75,-405.3,-4.35,37382.6
