date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,NKE,136,73.24,9961.07,,,90038.93
2025-10-01,BUY,LLY,12,822.84,9874.03,,,80164.9
2025-10-01,BUY,PFE,381,26.3,10019.78,,,70145.12
2025-10-01,SELL,LLY,12,822.84,9874.03,0.0,0.0,80019.16
2025-10-01,SELL,PFE,381,26.3,10019.78,0.0,0.0,90038.93
2025-10-01,BUY,NVDA,52,187.22,9735.41,,,80303.52
2025-10-01,BUY,ADBE,28,343.72,9624.16,,,70679.36
2025-10-01,BUY,COST,10,914.79,9147.94,,,61531.42
2025-10-01,BUY,CRM,41,235.31,9647.72,,,51883.7
2025-10-01,BUY,WMT,96,101.54,9748.24,,,42135.46
2025-10-01,BUY,HD,24,391.85,9404.37,,,32731.09
2025-10-01,BUY,INTC,272,35.94,9775.68,,,22955.41
2025-10-01,BUY,V,28,346.43,9699.98,,,13255.42
2025-10-06,BUY,AMD,32,203.71,6518.72,,,6736.7
2025-10-07,SELL,NKE,136,68.02,9250.91,-710.16,-7.13,15987.61
2025-10-08,SELL,HD,24,378.79,9090.99,-313.38,-3.33,25078.6
2025-10-14,BUY,GS,16,762.94,12207.08,,,12871.52
2025-10-14,BUY,WFC,153,83.71,12807.07,,,64.45
2025-11-03,SELL,NVDA,52,206.86,10756.58,1021.17,10.49,10821.02
2025-11-03,SELL,ADBE,28,337.47,9449.16,-175.0,-1.82,20270.18
2025-11-03,SELL,COST,10,926.77,9267.74,119.8,1.31,29537.92
2025-11-03,SELL,CRM,41,260.92,10697.67,1049.96,10.88,40235.6
2025-11-03,SELL,WMT,96,101.18,9712.87,-35.38,-0.36,49948.46
2025-11-03,SELL,V,28,335.54,9395.18,-304.81,-3.14,59343.64
2025-11-03,SELL,AMD,32,259.65,8308.8,1790.08,27.46,67652.44
2025-11-03,BUY,GOOGL,33,283.34,9350.06,,,58302.38
2025-11-03,BUY,AMZN,36,254.0,9144.0,,,49158.38
2025-11-03,BUY,LLY,10,893.72,8937.24,,,40221.14
2025-11-03,BUY,CAT,16,569.26,9108.13,,,31113.02
2025-11-03,BUY,BAC,176,52.98,9325.11,,,21787.9
2025-11-03,BUY,MS,57,162.75,9276.91,,,12511.0
2025-11-03,BUY,TMO,16,563.9,9022.37,,,3488.63
