date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,NKE,136,73.24,9961.07,,,90038.93
2025-10-01,BUY,LLY,12,822.84,9874.03,,,80164.9
2025-10-01,BUY,PFE,381,26.3,10019.78,,,70145.12
2025-10-01,SELL,NKE,136,73.24,9961.07,0.0,0.0,80106.19
2025-10-01,SELL,LLY,12,822.84,9874.03,0.0,0.0,89980.22
2025-10-01,SELL,PFE,381,26.3,10019.78,0.0,0.0,100000.0
2025-10-01,BUY,V,28,346.43,9699.98,,,90300.02
2025-10-01,BUY,BA,45,215.2,9684.0,,,80616.02
2025-10-01,BUY,NVDA,52,187.22,9735.41,,,70880.6
2025-10-01,BUY,TSLA,21,459.46,9648.66,,,61231.94
2025-10-01,BUY,JPM,31,307.82,9542.36,,,51689.58
2025-10-01,BUY,MS,63,155.09,9770.4,,,41919.18
2025-10-01,BUY,BLK,8,1129.26,9034.05,,,32885.13
2025-10-01,BUY,MSFT,18,517.56,9316.04,,,23569.09
2025-10-01,BUY,WFC,122,80.05,9766.54,,,13802.55
2025-10-01,BUY,GS,12,777.54,9330.52,,,4472.04
2025-10-22,SELL,TSLA,21,438.97,9218.37,-430.29,-4.46,13690.41
2025-10-22,BUY,TMO,24,566.21,13589.14,,,101.27
2025-10-29,SELL,BA,45,213.58,9611.1,-72.9,-0.75,9712.37
2025-10-29,BUY,UPS,102,94.42,9630.74,,,81.63
2025-11-03,SELL,BLK,8,1057.76,8462.11,-571.94,-6.33,8543.74
2025-11-03,BUY,CVX,56,150.86,8448.32,,,95.42
