date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2025-10-01,BUY,CMCSA,341,28.66,9773.47,,,90226.53
2025-10-01,BUY,COST,10,914.79,9147.94,,,81078.59
2025-10-01,BUY,CRM,41,235.31,9647.72,,,71430.87
2025-10-01,BUY,PG,64,151.04,9666.81,,,61764.07
2025-10-01,BUY,T,363,26.94,9779.47,,,51984.59
2025-10-01,BUY,ADBE,28,343.72,9624.16,,,42360.43
2025-10-01,BUY,DE,21,450.17,9453.63,,,32906.8
2025-10-01,BUY,HON,50,195.94,9797.19,,,23109.61
2025-10-01,BUY,UPS,119,81.8,9733.9,,,13375.71
2025-10-01,BUY,PEP,69,140.5,9694.38,,,3681.33
2025-10-06,SELL,T,363,25.3,9183.12,-596.35,-6.1,12864.45
2025-10-29,SELL,CMCSA,341,26.43,9012.19,-761.28,-7.79,21876.63
