date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,AMZN,65,149.93,9745.45,,,90254.55
2024-01-02,BUY,CRM,38,253.06,9616.1,,,80638.45
2024-01-02,BUY,NFLX,209,46.85,9791.65,,,70846.8
2024-01-02,BUY,AMD,70,138.58,9700.6,,,61146.2
2024-01-02,BUY,INTC,207,47.17,9763.83,,,51382.36
2024-01-02,BUY,JPM,59,163.84,9666.77,,,41715.59
2024-01-02,BUY,GS,26,369.59,9609.31,,,32106.28
2024-01-02,BUY,BAC,305,32.13,9799.28,,,22307.0
2024-01-02,BUY,WFC,209,46.81,9782.78,,,12524.23
2024-01-02,BUY,MS,111,87.65,9729.03,,,2795.19
2024-01-12,SELL,MS,111,83.73,9293.87,-435.17,-4.47,12089.06
2024-01-12,SELL,JPM,59,161.95,9555.12,-111.65,-1.16,21644.17
2024-01-12,SELL,BAC,305,31.09,9481.31,-317.97,-3.24,31125.48
2024-01-12,BUY,BLK,13,761.03,9893.36,,,21232.12
2024-01-16,SELL,WFC,209,44.43,9285.01,-497.77,-5.09,30517.14
2024-01-23,BUY,PG,69,146.26,10091.84,,,20425.3
2024-01-25,BUY,CMCSA,258,39.49,10188.72,,,10236.57
2024-01-25,BUY,NEE,188,54.27,10201.85,,,34.72
2024-01-26,SELL,INTC,207,43.07,8916.14,-847.7,-8.68,8950.86
2024-01-30,BUY,MSFT,22,401.67,8836.75,,,114.11
2024-02-01,SELL,AMZN,65,159.28,10353.2,607.75,6.24,10467.31
2024-02-01,SELL,PG,69,151.2,10432.65,340.81,3.38,20899.95
2024-02-01,SELL,CMCSA,258,40.76,10517.32,328.6,3.23,31417.27
2024-02-01,SELL,NEE,188,55.92,10513.29,311.44,3.05,41930.56
2024-02-01,SELL,MSFT,22,396.94,8732.73,-104.03,-1.18,50663.29
2024-02-01,BUY,META,24,391.71,9400.95,,,41262.35
2024-02-01,BUY,NVDA,154,62.99,9700.23,,,31562.12
2024-02-01,BUY,MA,21,455.68,9569.38,,,21992.73
2024-02-01,BUY,MRK,82,117.69,9650.83,,,12341.9
2024-02-01,BUY,TMO,17,548.25,9320.23,,,3021.67
2024-03-01,TRIM,AMD,23,202.64,4660.72,1473.38,46.23,7682.39
2024-03-01,SELL,GS,26,372.02,9672.42,63.11,0.66,17354.82
2024-03-01,SELL,BLK,13,775.52,10081.8,188.44,1.9,27436.61
2024-03-01,SELL,MA,21,471.22,9895.55,326.16,3.41,37332.16
2024-03-01,SELL,TMO,17,572.18,9726.98,406.75,4.36,47059.14
2024-03-01,BUY,AMZN,62,178.22,11049.64,,,36009.49
2024-03-01,BUY,LLY,14,771.36,10799.04,,,25210.45
2024-03-01,BUY,ABBV,66,167.02,11023.25,,,14187.2
2024-03-01,BUY,COST,15,741.3,11119.46,,,3067.74
2024-03-05,SELL,MRK,82,114.39,9379.74,-271.09,-2.81,12447.48
2024-03-06,TRIM,NVDA,51,88.65,4521.15,1308.74,40.74,16968.63
2024-03-11,SELL,LLY,14,724.27,10139.74,-659.3,-6.11,27108.37
2024-03-11,SELL,COST,15,706.32,10594.83,-524.64,-4.72,37703.19
2024-03-21,BUY,NKE,130,96.55,12551.48,,,25151.71
