date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,NKE,96,101.67,9760.7,,,90239.3
2024-01-02,BUY,DIS,110,88.91,9780.3,,,80459.0
2024-01-02,BUY,COST,15,642.64,9639.54,,,70819.46
2024-01-02,BUY,NEE,170,57.63,9796.28,,,61023.18
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,51742.06
2024-01-02,BUY,PEP,61,159.68,9740.48,,,42001.58
2024-01-02,BUY,T,637,15.37,9789.06,,,32212.52
2024-01-02,BUY,JPM,59,163.84,9666.77,,,22545.75
2024-01-02,BUY,UPS,70,139.4,9757.68,,,12788.07
2024-01-02,BUY,V,38,254.57,9673.64,,,3114.43
2024-01-09,SELL,PEP,61,154.38,9417.13,-323.35,-3.32,12531.56
2024-01-11,SELL,T,637,14.69,9360.47,-428.59,-4.38,21892.03
2024-01-12,SELL,JPM,59,161.95,9555.12,-111.65,-1.16,31447.15
2024-01-12,BUY,BLK,13,761.03,9893.36,,,21553.79
2024-01-16,BUY,GS,29,362.12,10501.4,,,11052.39
2024-01-17,SELL,NKE,96,96.21,9235.79,-524.91,-5.38,20288.18
2024-01-17,SELL,NEE,170,54.54,9271.22,-525.06,-5.36,29559.4
2024-01-23,BUY,PG,67,146.26,9799.32,,,19760.08
2024-01-25,BUY,INTC,202,48.9,9876.82,,,9883.26
2024-01-25,BUY,CMCSA,250,39.49,9872.8,,,10.46
2024-01-26,SELL,INTC,202,43.07,8700.77,-1176.05,-11.91,8711.24
2024-01-26,BUY,NEE,159,54.73,8702.57,,,8.67
2024-01-30,SELL,UPS,70,127.7,8939.3,-818.38,-8.39,8947.97
2024-01-30,BUY,MSFT,22,401.67,8836.75,,,111.22
2024-02-01,SELL,DIS,110,95.14,10464.95,684.65,7.0,10576.17
2024-02-01,SELL,COST,15,696.83,10452.39,812.85,8.43,21028.56
2024-02-01,SELL,ADBE,16,627.91,10046.56,765.44,8.25,31075.12
2024-02-01,SELL,NEE,159,55.92,8891.56,188.99,2.17,39966.68
2024-02-01,BUY,MRK,80,117.69,9415.45,,,30551.24
2024-02-01,BUY,META,24,391.71,9400.95,,,21150.29
2024-02-01,BUY,AMZN,59,159.28,9397.52,,,11752.77
2024-02-01,BUY,MA,20,455.68,9113.7,,,2639.07
2024-02-07,SELL,CMCSA,250,37.39,9347.21,-525.59,-5.32,11986.28
2024-02-07,BUY,LLY,16,714.15,11426.38,,,559.9
2024-03-01,SELL,V,38,278.98,10601.06,927.42,9.59,11160.95
2024-03-01,SELL,BLK,13,775.52,10081.8,188.44,1.9,21242.75
2024-03-01,SELL,GS,29,372.02,10788.47,287.07,2.73,32031.22
2024-03-01,SELL,PG,67,150.88,10109.25,309.93,3.16,42140.47
2024-03-01,SELL,MSFT,22,409.22,9002.82,166.06,1.88,51143.29
2024-03-01,SELL,MA,20,471.22,9424.33,310.63,3.41,60567.62
2024-03-01,BUY,DIS,88,109.73,9656.31,,,50911.31
2024-03-01,BUY,WMT,169,57.4,9699.88,,,41211.43
2024-03-01,BUY,CAT,29,327.2,9488.86,,,31722.57
2024-03-01,BUY,NVDA,118,82.23,9702.99,,,22019.58
2024-03-01,BUY,XOM,98,98.98,9700.35,,,12319.24
2024-03-01,BUY,CRM,31,313.08,9705.36,,,2613.88
2024-03-05,SELL,MRK,80,114.39,9150.97,-264.48,-2.81,11764.85
2024-03-05,SELL,CRM,31,295.16,9150.07,-555.28,-5.72,20914.92
2024-03-07,BUY,COST,13,777.05,10101.71,,,10813.2
2024-03-08,SELL,COST,13,717.68,9329.8,-771.91,-7.64,20143.01
2024-03-21,BUY,NKE,104,96.55,10041.19,,,10101.82
2024-03-22,SELL,NKE,104,89.88,9348.0,-693.18,-6.9,19449.82
2024-04-01,SELL,META,24,488.04,11712.99,2312.05,24.59,31162.82
2024-04-01,SELL,AMZN,59,180.97,10677.23,1279.71,13.62,41840.05
2024-04-01,SELL,LLY,16,750.09,12001.39,575.0,5.03,53841.44
2024-04-01,SELL,CAT,29,353.48,10250.9,762.04,8.03,64092.33
2024-04-01,SELL,NVDA,118,90.31,10656.82,953.83,9.83,74749.15
2024-04-01,BUY,COST,14,713.4,9987.66,,,64761.5
2024-04-01,BUY,MA,21,472.97,9932.29,,,54829.2
2024-04-01,BUY,V,37,274.17,10144.19,,,44685.01
2024-04-01,BUY,JPM,54,190.59,10291.64,,,34393.37
2024-04-01,BUY,PG,68,152.53,10371.87,,,24021.5
2024-04-01,BUY,MSFT,24,418.15,10035.65,,,13985.85
2024-04-01,BUY,HD,29,350.25,10157.18,,,3828.67
2024-04-03,SELL,PG,68,148.32,10085.74,-286.13,-2.76,13914.41
2024-04-10,SELL,HD,29,333.62,9675.03,-482.15,-4.75,23589.44
2024-04-12,SELL,JPM,54,176.14,9511.32,-780.32,-7.58,33100.76
2024-04-12,BUY,WFC,204,53.96,11007.6,,,22093.17
2024-04-15,SELL,MA,21,455.2,9559.14,-373.15,-3.76,31652.31
2024-04-15,BUY,JPM,59,176.23,10397.68,,,21254.63
2024-04-15,BUY,GS,27,384.27,10375.2,,,10879.42
2024-04-16,BUY,MS,129,84.02,10838.7,,,40.73
2024-04-18,SELL,MSFT,24,398.16,9555.81,-479.84,-4.78,9596.54
2024-04-18,BUY,NFLX,157,61.06,9585.79,,,10.75
2024-04-19,SELL,V,37,265.79,9834.34,-309.85,-3.05,9845.09
2024-04-19,SELL,NFLX,157,55.5,8714.13,-871.66,-9.09,18559.21
2024-04-19,BUY,PG,61,151.18,9221.97,,,9337.25
