date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,NKE,96,101.67,9760.7,,,90239.3
2024-01-02,BUY,COST,15,642.64,9639.54,,,80599.76
2024-01-02,BUY,NVDA,203,48.14,9772.13,,,70827.63
2024-01-02,BUY,DE,25,389.63,9740.77,,,61086.86
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,51805.74
2024-01-02,BUY,CRM,38,253.06,9616.1,,,42189.64
2024-01-02,BUY,UNH,19,514.26,9771.03,,,32418.61
2024-01-12,SELL,DE,25,375.64,9390.9,-349.87,-3.59,41809.5
2024-01-12,SELL,UNH,19,497.26,9448.01,-323.02,-3.31,51257.51
2024-01-12,BUY,BLK,13,761.03,9893.36,,,41364.16
2024-01-16,BUY,GS,28,362.12,10139.28,,,31224.87
2024-01-17,SELL,NKE,96,96.21,9235.79,-524.91,-5.38,40460.67
2024-01-23,BUY,PG,69,146.26,10091.84,,,30368.83
2024-01-24,BUY,NFLX,185,54.49,10080.09,,,20288.73
2024-01-25,BUY,INTC,207,48.9,10121.3,,,10167.44
2024-01-25,BUY,CMCSA,257,39.49,10149.23,,,18.2
2024-01-26,SELL,INTC,207,43.07,8916.14,-1205.16,-11.91,8934.34
2024-01-26,BUY,NEE,163,54.73,8921.5,,,12.84
2024-02-01,SELL,COST,15,696.83,10452.39,812.85,8.43,10465.23
2024-02-01,SELL,NVDA,203,62.99,12786.66,3014.53,30.85,23251.9
2024-02-01,SELL,ADBE,16,627.91,10046.56,765.44,8.25,33298.46
2024-02-01,SELL,CRM,38,280.39,10654.94,1038.84,10.8,43953.4
2024-02-01,SELL,NFLX,185,56.75,10498.93,418.84,4.16,54452.33
2024-02-01,BUY,MRK,88,117.69,10356.99,,,44095.34
2024-02-01,BUY,MSFT,26,396.94,10320.5,,,33774.84
2024-02-01,BUY,AMZN,65,159.28,10353.2,,,23421.64
2024-02-01,BUY,META,26,391.71,10184.36,,,13237.29
2024-02-01,BUY,MA,22,455.68,10025.07,,,3212.22
2024-02-07,SELL,CMCSA,257,37.39,9608.93,-540.31,-5.32,12821.15
2024-02-07,BUY,LLY,17,714.15,12140.53,,,680.62
2024-02-13,SELL,NEE,163,51.71,8428.74,-492.76,-5.52,9109.36
2024-02-15,BUY,DE,25,354.4,8860.01,,,249.34
2024-03-01,SELL,BLK,13,775.52,10081.8,188.44,1.9,10331.14
2024-03-01,SELL,GS,28,372.02,10416.46,277.17,2.73,20747.6
2024-03-01,SELL,PG,69,150.88,10411.02,319.18,3.16,31158.61
2024-03-01,SELL,MRK,88,118.23,10404.52,47.53,0.46,41563.14
2024-03-01,SELL,MSFT,26,409.22,10639.69,319.2,3.09,52202.83
2024-03-01,SELL,AMZN,65,178.22,11584.3,1231.1,11.89,63787.13
2024-03-01,SELL,META,26,498.92,12971.86,2787.5,27.37,76758.99
2024-03-01,SELL,MA,22,471.22,10366.76,341.69,3.41,87125.75
2024-03-01,BUY,NVDA,129,82.23,10607.51,,,76518.24
2024-03-01,BUY,CRM,33,313.08,10331.51,,,66186.73
2024-03-01,BUY,DIS,96,109.73,10534.15,,,55652.58
2024-03-01,BUY,WMT,184,57.4,10560.81,,,45091.77
2024-03-01,BUY,CAT,32,327.2,10470.47,,,34621.3
2024-03-01,BUY,SO,169,62.57,10573.96,,,24047.34
2024-03-01,BUY,HD,29,363.7,10547.27,,,13500.07
2024-03-01,BUY,MCD,38,277.41,10541.58,,,2958.49
2024-03-05,SELL,CRM,33,295.16,9740.4,-591.11,-5.72,12698.89
2024-03-07,BUY,COST,16,777.05,12432.88,,,266.02
2024-03-08,SELL,COST,16,717.68,11482.83,-950.04,-7.64,11748.85
2024-03-13,SELL,MCD,38,269.9,10256.22,-285.36,-2.71,22005.07
2024-03-21,BUY,NKE,113,96.55,10910.14,,,11094.93
2024-03-22,SELL,NKE,113,89.88,10156.97,-753.17,-6.9,21251.9
2024-04-01,SELL,HD,29,350.25,10157.18,-390.09,-3.7,31409.08
2024-04-12,BUY,JPM,59,176.14,10392.0,,,21017.08
2024-04-12,BUY,WFC,194,53.96,10468.01,,,10549.07
2024-04-15,BUY,GS,27,384.27,10375.2,,,173.87
2024-05-01,SELL,DE,25,377.99,9449.81,589.79,6.66,9623.67
2024-05-01,SELL,NVDA,129,82.99,10706.25,98.74,0.93,20329.92
2024-05-01,SELL,DIS,96,108.29,10395.83,-138.32,-1.31,30725.75
2024-05-01,SELL,WMT,184,57.68,10613.01,52.2,0.49,41338.76
2024-05-01,SELL,CAT,32,322.9,10332.92,-137.55,-1.31,51671.68
2024-05-01,SELL,SO,169,69.74,11785.39,1211.43,11.46,63457.07
2024-05-01,BUY,PFE,428,23.85,10206.08,,,53250.99
2024-05-01,BUY,AMZN,57,179.0,10203.0,,,43047.99
2024-05-01,BUY,GOOGL,62,162.52,10076.04,,,32971.95
2024-05-01,BUY,MS,117,87.08,10188.41,,,22783.54
2024-05-01,BUY,MRK,84,120.71,10139.44,,,12644.1
2024-05-01,BUY,TMO,17,571.22,9710.74,,,2933.36
2024-05-30,SELL,MRK,84,116.71,9803.29,-336.14,-3.32,12736.65
2024-05-31,BUY,CRM,27,231.93,6262.06,,,6474.59
2024-06-03,SELL,JPM,59,194.47,11473.9,1081.9,10.41,17948.49
2024-06-03,SELL,WFC,194,57.03,11063.27,595.26,5.69,29011.76
2024-06-03,SELL,GS,27,438.76,11846.62,1471.42,14.18,40858.38
2024-06-03,SELL,AMZN,57,178.34,10165.38,-37.62,-0.37,51023.76
2024-06-03,SELL,MS,117,92.66,10841.74,653.33,6.41,61865.5
2024-06-03,SELL,TMO,17,565.85,9619.38,-91.36,-0.94,71484.88
2024-06-03,SELL,CRM,27,234.08,6320.29,58.23,0.93,77805.17
2024-06-03,BUY,NVDA,93,114.94,10688.97,,,67116.2
2024-06-03,BUY,WMT,166,64.73,10745.86,,,56370.35
2024-06-03,BUY,SO,142,75.92,10780.33,,,45590.02
2024-06-03,BUY,DE,30,359.09,10772.63,,,34817.39
2024-06-03,BUY,AAPL,56,192.54,10782.29,,,24035.1
2024-06-03,BUY,META,22,474.27,10434.04,,,13601.05
2024-06-03,BUY,AMD,65,163.55,10630.75,,,2970.3
2024-06-07,SELL,SO,142,73.6,10451.78,-328.55,-3.05,13422.09
2024-06-14,BUY,ADBE,12,525.31,6303.72,,,7118.37
2024-07-01,SELL,LLY,17,903.33,15356.57,3216.04,26.49,22474.94
2024-07-01,SELL,PFE,428,25.13,10756.4,550.32,5.39,33231.34
2024-07-01,SELL,GOOGL,62,181.7,11265.29,1189.25,11.8,44496.64
2024-07-01,SELL,WMT,166,66.37,11016.87,271.01,2.52,55513.5
2024-07-01,SELL,DE,30,353.51,10605.36,-167.28,-1.55,66118.86
2024-07-01,SELL,AAPL,56,215.09,12044.84,1262.56,11.71,78163.71
2024-07-01,SELL,META,22,501.78,11039.15,605.1,5.8,89202.85
2024-07-01,SELL,AMD,65,157.69,10249.85,-380.9,-3.58,99452.7
2024-07-01,BUY,CRM,47,253.47,11912.86,,,87539.85
2024-07-01,BUY,COST,14,837.82,11729.55,,,75810.3
2024-07-01,BUY,NKE,164,73.86,12113.61,,,63696.69
2024-07-01,BUY,BA,65,186.7,12135.5,,,51561.19
2024-07-11,BUY,PEP,83,153.76,12762.41,,,38798.78
2024-07-12,BUY,JPM,65,198.57,12907.28,,,25891.5
2024-07-15,SELL,NKE,164,68.56,11243.28,-870.33,-7.18,37134.79
2024-07-16,BUY,MS,122,101.05,12327.52,,,24807.26
2024-07-23,BUY,LMT,25,478.7,11967.38,,,12839.89
2024-07-23,BUY,CMCSA,376,34.12,12828.9,,,10.98
2024-07-30,SELL,COST,14,803.66,11251.21,-478.34,-4.08,11262.19
2024-07-30,BUY,MRK,103,108.66,11191.47,,,70.72
2024-07-30,SELL,MRK,103,108.66,11191.47,0.0,0.0,11262.19
2024-07-31,BUY,META,23,472.1,10858.32,,,403.87
2024-07-31,SELL,BA,65,190.6,12389.0,253.5,2.09,12792.87
2024-08-01,BUY,AMZN,69,184.07,12700.83,,,92.04
2024-08-01,SELL,NVDA,93,109.16,10151.64,-537.33,-5.03,10243.68
2024-08-01,SELL,ADBE,12,546.41,6556.92,253.2,4.02,16800.6
2024-08-01,SELL,CRM,47,250.74,11784.71,-128.15,-1.08,28585.3
2024-08-01,SELL,MS,122,97.67,11916.14,-411.38,-3.34,40501.45
2024-08-01,BUY,SO,115,82.7,9510.32,,,30991.13
2024-08-01,BUY,MA,20,458.47,9169.39,,,21821.74
2024-08-01,BUY,PFE,344,27.68,9522.29,,,12299.45
2024-08-01,BUY,NEE,127,74.52,9463.86,,,2835.59
2024-08-02,SELL,AMZN,69,167.9,11585.1,-1115.73,-8.78,14420.69
2024-08-02,BUY,MRK,132,108.61,14336.25,,,84.44
2024-08-05,SELL,JPM,65,188.85,12274.95,-632.33,-4.9,12359.39
2024-08-05,SELL,MA,20,438.23,8764.66,-404.72,-4.41,21124.06
2024-08-05,BUY,XOM,97,108.21,10496.02,,,10628.03
2024-08-06,BUY,CAT,33,319.68,10549.59,,,78.44
2024-08-07,SELL,PFE,344,26.06,8963.07,-559.22,-5.87,9041.51
2024-08-07,BUY,DIS,106,84.64,8972.34,,,69.18
2024-09-02,SELL,PEP,83,162.14,13457.55,695.14,5.45,13526.73
