date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,NKE,96,101.67,9760.7,,,90239.3
2024-01-02,BUY,DIS,110,88.91,9780.3,,,80459.0
2024-01-02,BUY,DE,25,389.63,9740.77,,,70718.24
2024-01-02,BUY,PFE,381,25.7,9790.37,,,60927.87
2024-01-02,BUY,ADBE,16,580.07,9281.12,,,51646.75
2024-01-02,BUY,CVX,72,135.63,9765.4,,,41881.35
2024-01-02,BUY,AAPL,53,183.73,9737.76,,,32143.59
2024-01-02,BUY,UPS,70,139.4,9757.68,,,22385.91
2024-01-02,BUY,XOM,103,94.85,9769.25,,,12616.66
2024-01-02,BUY,JNJ,65,149.66,9727.89,,,2888.77
2024-01-17,SELL,DE,25,367.96,9198.95,-541.82,-5.56,12087.72
2024-01-18,SELL,XOM,103,89.7,9238.61,-530.65,-5.43,21326.33
2024-01-24,SELL,NKE,96,96.15,9230.29,-530.4,-5.43,30556.62
2024-01-25,SELL,PFE,381,24.1,9182.26,-608.11,-6.21,39738.88
2024-01-30,SELL,UPS,70,127.7,8939.3,-818.38,-8.39,48678.18
2024-03-04,SELL,AAPL,53,173.52,9196.6,-541.16,-5.56,57874.79
2024-03-15,SELL,ADBE,16,492.46,7879.36,-1401.76,-15.1,65754.15
2024-03-25,TRIM,DIS,36,116.99,4211.78,1010.95,31.58,69965.93
2024-04-01,SELL,DIS,74,119.12,8814.94,2235.47,33.98,78780.87
2024-04-01,SELL,CVX,72,145.92,10505.96,740.56,7.58,89286.83
2024-04-01,BUY,NKE,109,88.64,9661.73,,,79625.1
2024-04-01,BUY,COST,13,713.4,9274.25,,,70350.85
2024-04-01,BUY,WMT,164,58.81,9644.27,,,60706.57
2024-04-01,BUY,PFE,398,24.32,9679.26,,,51027.32
2024-04-01,BUY,UPS,73,131.42,9593.33,,,41433.99
2024-04-01,BUY,MCD,36,267.38,9625.73,,,31808.26
2024-04-01,BUY,AAPL,57,168.5,9604.3,,,22203.95
2024-04-01,BUY,ABT,89,107.83,9596.7,,,12607.26
2024-04-01,BUY,BA,51,189.5,9664.5,,,2942.76
2024-04-04,SELL,JNJ,65,143.75,9344.04,-383.84,-3.95,12286.8
2024-04-05,SELL,MCD,36,254.47,9160.97,-464.76,-4.83,21447.77
2024-04-10,SELL,BA,51,174.63,8906.13,-758.37,-7.85,30353.9
2024-04-11,SELL,PFE,398,23.11,9197.39,-481.87,-4.98,39551.29
2024-04-18,SELL,ABT,89,101.77,9057.49,-539.2,-5.62,48608.78
2024-05-24,SELL,UPS,73,124.81,9111.35,-481.97,-5.02,57720.13
2024-06-28,SELL,NKE,109,72.46,7898.12,-1763.61,-18.25,65618.26
2024-07-01,SELL,COST,13,837.82,10891.72,1617.47,17.44,76509.98
2024-07-01,SELL,WMT,164,66.37,10884.14,1239.86,12.86,87394.11
2024-07-01,SELL,AAPL,57,215.09,12259.93,2655.63,27.65,99654.05
2024-07-01,BUY,DIS,101,96.1,9705.75,,,89948.3
2024-07-01,BUY,ABT,97,99.77,9677.54,,,80270.76
2024-07-01,BUY,V,37,259.83,9613.69,,,70657.06
2024-07-01,BUY,MA,22,433.24,9531.25,,,61125.81
2024-07-01,BUY,NKE,132,73.86,9749.98,,,51375.83
2024-07-01,BUY,MCD,40,240.09,9603.41,,,41772.42
2024-07-01,BUY,PEP,63,152.77,9624.5,,,32147.92
2024-07-01,BUY,CMCSA,291,33.54,9761.15,,,22386.78
2024-07-01,BUY,DE,27,353.51,9544.82,,,12841.95
2024-07-01,BUY,JNJ,70,139.16,9741.05,,,3100.9
2024-07-23,SELL,DIS,101,89.55,9044.4,-661.35,-6.81,12145.3
2024-08-05,SELL,NKE,132,68.66,9063.43,-686.55,-7.04,21208.73
2024-10-01,SELL,ABT,97,110.37,10705.54,1028.0,10.62,31914.27
2024-10-01,SELL,V,37,274.55,10158.46,544.77,5.67,42072.73
2024-10-01,SELL,MA,22,492.15,10827.29,1296.04,13.6,52900.03
2024-10-01,SELL,MCD,40,292.67,11706.76,2103.35,21.9,64606.78
2024-10-01,SELL,CMCSA,291,36.95,10751.21,990.06,10.14,75357.99
2024-10-01,SELL,DE,27,409.25,11049.82,1504.99,15.77,86407.81
2024-10-01,SELL,JNJ,70,155.1,10857.21,1116.16,11.46,97265.01
2024-10-01,BUY,DIS,114,92.61,10557.64,,,86707.37
2024-10-01,BUY,COST,12,870.48,10445.74,,,76261.64
2024-10-01,BUY,BA,68,154.22,10486.96,,,65774.68
2024-10-01,BUY,PFE,408,25.89,10564.29,,,55210.38
2024-10-01,BUY,MSFT,25,415.83,10395.65,,,44814.73
2024-10-01,BUY,ADBE,21,502.8,10558.8,,,34255.93
2024-10-01,BUY,WMT,131,80.16,10500.57,,,23755.36
2024-10-01,BUY,MRK,97,108.9,10563.11,,,13192.26
2024-10-01,BUY,JPM,52,200.61,10431.63,,,2760.63
2024-10-07,SELL,MRK,97,103.06,9996.93,-566.18,-5.36,12757.56
2024-11-08,SELL,PFE,408,24.51,9998.69,-565.6,-5.35,22756.25
2024-12-17,SELL,ADBE,21,455.23,9559.83,-998.97,-9.46,32316.08
2024-12-19,SELL,PEP,63,144.36,9094.67,-529.83,-5.5,41410.75
