date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,NKE,88,110.23,9700.28,,,90299.72
2023-01-02,BUY,CMCSA,332,29.44,9773.89,,,80525.83
2023-01-02,BUY,ADBE,29,336.53,9759.37,,,70766.46
2023-01-02,BUY,JPM,79,123.99,9794.87,,,60971.6
2023-01-02,BUY,AVGO,183,53.35,9762.54,,,51209.06
2023-01-02,BUY,ABT,95,103.05,9789.4,,,41419.66
2023-01-02,BUY,PG,70,139.51,9766.02,,,31653.63
2023-01-02,BUY,MA,28,341.16,9552.42,,,22101.21
2023-01-02,BUY,GE,190,51.34,9753.96,,,12347.25
2023-01-02,BUY,MRK,97,100.51,9749.6,,,2597.65
2023-01-18,SELL,PG,70,134.77,9434.17,-331.85,-3.4,12031.83
2023-01-24,BUY,JNJ,78,152.82,11920.33,,,111.5
2023-01-27,SELL,MRK,97,95.47,9260.14,-489.46,-5.02,9371.64
2023-01-27,BUY,TSLA,52,177.9,9250.8,,,120.84
2023-01-30,SELL,JNJ,78,147.1,11473.44,-446.9,-3.75,11594.27
2023-01-31,BUY,PFE,314,36.85,11570.06,,,24.22
2023-02-01,SELL,NKE,88,122.0,10735.71,1035.44,10.67,10759.93
2023-02-01,SELL,ADBE,29,383.92,11133.68,1374.31,14.08,21893.61
2023-02-01,SELL,AVGO,183,57.51,10524.16,761.62,7.8,32417.77
2023-02-01,SELL,GE,190,64.61,12275.62,2521.66,25.85,44693.39
2023-02-01,SELL,TSLA,52,181.41,9433.32,182.52,1.97,54126.71
2023-02-01,SELL,PFE,314,36.69,11520.28,-49.78,-0.43,65646.99
2023-02-01,BUY,V,46,225.28,10362.66,,,55284.33
2023-02-01,BUY,UPS,67,156.62,10493.54,,,44790.79
2023-02-01,BUY,BAC,320,33.02,10564.88,,,34225.91
2023-02-01,BUY,WFC,243,43.55,10581.9,,,23644.0
2023-02-01,BUY,AMD,125,84.64,10580.0,,,13064.0
2023-02-01,BUY,BLK,15,705.5,10582.5,,,2481.5
2023-02-09,SELL,BLK,15,662.34,9935.03,-647.47,-6.12,12416.53
2023-02-09,BUY,DIS,115,107.82,12399.4,,,17.13
2023-02-21,SELL,ABT,95,97.72,9283.77,-505.63,-5.17,9300.9
2023-02-21,SELL,V,46,215.67,9920.69,-441.97,-4.26,19221.6
2023-02-21,SELL,BAC,320,31.73,10153.11,-411.77,-3.9,29374.71
2023-02-21,SELL,AMD,125,76.77,9596.25,-983.75,-9.3,38970.96
2023-02-21,SELL,DIS,115,99.74,11470.23,-929.17,-7.49,50441.19
2023-02-21,BUY,WMT,213,47.25,10064.06,,,40377.14
2023-02-22,BUY,NVDA,486,20.73,10075.81,,,30301.32
2023-02-27,SELL,WMT,213,45.36,9661.71,-402.34,-4.0,39963.04
2023-03-01,BUY,CRM,60,165.34,9920.46,,,30042.57
2023-03-01,SELL,CMCSA,332,31.08,10317.51,543.62,5.56,40360.08
2023-03-01,SELL,JPM,79,132.77,10488.98,694.11,7.09,50849.06
2023-03-01,SELL,MA,28,347.38,9726.69,174.27,1.82,60575.75
2023-03-01,SELL,UPS,67,156.38,10477.23,-16.31,-0.16,71052.97
2023-03-01,SELL,WFC,243,43.22,10503.15,-78.75,-0.74,81556.13
2023-03-01,BUY,MRK,102,96.62,9854.82,,,71701.31
2023-03-01,BUY,SPOT,84,117.2,9844.8,,,61856.51
2023-03-01,BUY,COIN,153,64.67,9894.51,,,51962.0
2023-03-01,BUY,DIS,103,96.27,9916.1,,,42045.9
2023-03-01,BUY,ABNB,82,120.83,9908.06,,,32137.84
2023-03-01,BUY,MCD,40,245.15,9806.16,,,22331.68
2023-03-01,BUY,AXP,58,169.68,9841.44,,,12490.23
2023-03-01,BUY,XOM,99,100.12,9912.21,,,2578.03
2023-03-10,SELL,DIS,103,91.42,9415.97,-500.13,-5.04,11994.0
2023-03-10,SELL,AXP,58,159.83,9270.23,-571.21,-5.8,21264.23
2023-03-15,SELL,XOM,99,91.75,9083.58,-828.62,-8.36,30347.81
2023-03-21,BUY,NKE,85,118.67,10086.91,,,20260.9
2023-03-22,SELL,NKE,85,112.9,9596.26,-490.65,-4.86,29857.16
2023-03-23,BUY,NKE,87,114.29,9942.87,,,19914.28
2023-04-03,SELL,NVDA,486,27.94,13578.97,3503.16,34.77,33493.25
2023-04-03,SELL,CRM,60,194.13,11647.88,1727.41,17.41,45141.13
2023-04-03,SELL,MRK,102,99.31,10129.89,275.08,2.79,55271.02
2023-04-03,SELL,SPOT,84,136.44,11460.96,1616.16,16.42,66731.99
2023-04-03,SELL,COIN,153,63.61,9732.33,-162.18,-1.64,76464.32
2023-04-03,SELL,ABNB,82,121.46,9959.72,51.66,0.52,86424.04
2023-04-03,BUY,ADBE,27,380.08,10262.16,,,76161.88
2023-04-03,BUY,GOOGL,101,103.5,10453.96,,,65707.92
2023-04-03,BUY,INTC,328,32.1,10529.31,,,55178.61
2023-04-03,BUY,PLD,93,112.49,10461.28,,,44717.33
2023-04-03,BUY,AMZN,102,102.41,10445.82,,,34271.51
