date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,JNJ,61,160.4,9784.24,,,90215.76
2023-01-02,BUY,MRK,97,100.51,9749.6,,,80466.16
2023-01-02,BUY,PEP,60,162.18,9730.88,,,70735.28
2023-01-02,BUY,KO,169,57.73,9755.58,,,60979.71
2023-01-02,BUY,PG,70,139.51,9766.02,,,51213.68
2023-01-02,BUY,MCD,40,244.5,9779.93,,,41433.75
2023-01-02,BUY,TMUS,72,134.61,9691.74,,,31742.01
2023-01-02,BUY,AMGN,41,236.99,9716.48,,,22025.53
2023-01-02,BUY,LLY,27,356.66,9629.76,,,12395.77
2023-01-02,BUY,ABBV,68,143.64,9767.4,,,2628.37
2023-01-05,SELL,KO,169,56.45,9539.33,-216.25,-2.22,12167.7
2023-01-09,SELL,LLY,27,341.05,9208.34,-421.42,-4.38,21376.04
2023-01-11,SELL,ABBV,68,139.69,9499.06,-268.34,-2.75,30875.1
2023-01-12,SELL,PEP,60,157.8,9468.03,-262.85,-2.7,40343.13
2023-01-13,BUY,JPM,75,133.2,9990.02,,,30353.11
2023-01-13,BUY,BAC,312,32.38,10102.89,,,20250.22
2023-01-13,BUY,WFC,248,40.69,10090.01,,,10160.21
2023-01-17,SELL,JNJ,61,156.5,9546.63,-237.61,-2.43,19706.84
2023-01-18,SELL,PG,70,134.77,9434.17,-331.85,-3.4,29141.02
2023-01-18,SELL,JPM,75,127.2,9540.16,-449.87,-4.5,38681.17
2023-01-18,SELL,BAC,312,30.99,9669.87,-433.02,-4.29,48351.04
2023-01-24,BUY,JNJ,63,152.82,9627.96,,,38723.08
2023-01-25,BUY,ABT,92,104.65,9628.14,,,29094.94
2023-01-26,SELL,MRK,97,96.82,9391.07,-358.52,-3.68,38486.02
2023-01-26,SELL,AMGN,41,229.99,9429.39,-287.08,-2.95,47915.41
2023-01-26,BUY,V,43,219.24,9427.15,,,38488.26
2023-01-26,BUY,CMCSA,280,34.28,9599.46,,,28888.8
2023-01-30,SELL,JNJ,63,147.1,9267.01,-360.95,-3.75,38155.81
2023-02-01,SELL,WFC,248,43.55,10799.64,709.63,7.03,48955.45
2023-02-01,SELL,CMCSA,280,33.91,9494.94,-104.52,-1.09,58450.38
2023-02-01,BUY,JNJ,62,149.75,9284.29,,,49166.09
2023-02-01,BUY,JPM,72,130.01,9361.07,,,39805.02
2023-02-01,BUY,KO,169,55.66,9405.9,,,30399.12
2023-02-01,BUY,LLY,28,333.97,9351.21,,,21047.91
2023-02-01,BUY,PG,70,132.64,9284.59,,,11763.32
2023-02-01,BUY,MRK,97,96.91,9400.74,,,2362.59
2023-02-02,SELL,MRK,97,93.73,9091.42,-309.31,-3.29,11454.01
2023-02-03,BUY,MRK,122,93.25,11377.1,,,76.91
2023-02-08,SELL,KO,169,54.2,9158.98,-246.92,-2.63,9235.89
2023-02-08,SELL,PG,70,128.36,8985.02,-299.57,-3.23,18220.91
2023-02-14,SELL,ABT,92,101.13,9303.73,-324.41,-3.37,27524.65
2023-02-15,SELL,JNJ,62,144.71,8971.85,-312.44,-3.37,36496.5
2023-02-16,SELL,LLY,28,318.91,8929.6,-421.61,-4.51,45426.1
2023-02-16,BUY,SO,155,58.59,9081.15,,,36344.95
2023-02-21,BUY,WMT,192,47.25,9071.82,,,27273.12
2023-02-23,SELL,WMT,192,45.57,8749.17,-322.65,-3.56,36022.3
2023-02-24,BUY,WMT,197,45.69,9001.03,,,27021.27
2023-02-28,SELL,SO,155,56.68,8785.78,-295.37,-3.25,35807.05
2023-03-01,SELL,V,43,213.46,9178.69,-248.45,-2.64,44985.75
2023-03-08,SELL,WMT,197,44.29,8724.93,-276.09,-3.07,53710.68
2023-03-09,SELL,JPM,72,121.4,8740.76,-620.32,-6.63,62451.44
2023-03-21,BUY,NKE,75,118.67,8900.21,,,53551.22
2023-03-22,SELL,NKE,75,112.9,8467.29,-432.93,-4.86,62018.51
2023-04-03,BUY,WMT,179,47.88,8570.64,,,53447.87
2023-04-03,BUY,KO,150,57.06,8559.24,,,44888.63
2023-04-03,BUY,PEP,52,164.94,8576.89,,,36311.74
2023-04-03,BUY,LMT,19,448.93,8529.58,,,27782.16
