date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2023-01-02,BUY,CVX,62,156.7,9715.59,,,90284.41
2023-01-02,BUY,XOM,99,98.83,9784.18,,,80500.23
2023-01-02,BUY,SLB,198,49.3,9760.96,,,70739.27
2023-01-02,BUY,COP,92,106.18,9768.94,,,60970.33
2023-01-02,BUY,MRK,97,100.51,9749.6,,,51220.74
2023-01-02,BUY,LMT,21,446.0,9365.94,,,41854.79
2023-01-02,BUY,DE,23,411.15,9456.48,,,32398.32
2023-01-02,BUY,LLY,27,356.66,9629.76,,,22768.56
2023-01-02,BUY,OXY,164,59.65,9783.13,,,12985.43
2023-01-02,BUY,ABBV,68,143.64,9767.4,,,3218.03
2023-01-09,SELL,LMT,21,420.79,8836.51,-529.43,-5.65,12054.54
2023-01-12,SELL,ABBV,68,136.58,9287.34,-480.06,-4.91,21341.88
2023-01-13,BUY,JPM,80,133.2,10656.02,,,10685.86
2023-01-13,BUY,BAC,330,32.38,10685.75,,,0.11
2023-01-19,SELL,JPM,80,125.51,10040.55,-615.47,-5.78,10040.66
2023-01-19,SELL,BAC,330,30.54,10079.12,-606.63,-5.68,20119.79
2023-01-20,SELL,LLY,27,337.38,9109.37,-520.39,-5.4,29229.15
2023-01-20,BUY,NFLX,284,34.25,9727.0,,,19502.15
2023-01-24,BUY,JNJ,63,152.82,9627.96,,,9874.19
2023-01-25,BUY,TSLA,68,144.43,9821.24,,,52.95
2023-01-27,SELL,MRK,97,95.47,9260.14,-489.46,-5.02,9313.09
2023-01-27,BUY,V,41,225.8,9257.89,,,55.21
2023-02-01,SELL,CVX,62,149.61,9275.52,-440.07,-4.53,9330.73
2023-02-01,SELL,OXY,164,60.14,9862.34,79.21,0.81,19193.07
2023-02-01,SELL,NFLX,284,36.2,10280.52,553.52,5.69,29473.58
2023-02-01,SELL,JNJ,63,149.75,9434.04,-193.92,-2.01,38907.62
2023-02-01,SELL,TSLA,68,181.41,12335.88,2514.64,25.6,51243.5
2023-02-01,BUY,LMT,23,423.77,9746.82,,,41496.68
2023-02-01,BUY,TMUS,67,145.16,9725.39,,,31771.29
2023-02-01,BUY,REGN,13,752.91,9787.88,,,21983.42
2023-02-01,BUY,VRTX,31,317.27,9835.37,,,12148.05
2023-02-01,BUY,UNH,21,466.86,9804.15,,,2343.89
2023-02-03,SELL,COP,92,97.28,8950.17,-818.77,-8.38,11294.07
2023-02-03,BUY,LLY,34,330.57,11239.36,,,54.71
2023-02-06,SELL,TMUS,67,136.5,9145.61,-579.77,-5.96,9200.32
2023-02-08,SELL,VRTX,31,293.33,9093.23,-742.14,-7.55,18293.55
2023-02-08,BUY,DIS,83,109.21,9064.28,,,9229.27
2023-02-08,BUY,UBER,125,36.83,4603.75,,,4625.52
2023-02-16,SELL,DE,23,386.41,8887.45,-569.03,-6.02,13512.97
2023-02-16,BUY,SO,230,58.59,13475.25,,,37.72
2023-02-21,SELL,DIS,83,99.74,8278.52,-785.77,-8.67,8316.23
2023-02-21,BUY,WMT,176,47.25,8315.84,,,0.39
2023-02-22,SELL,V,41,215.08,8818.31,-439.58,-4.75,8818.7
2023-02-22,BUY,NVDA,425,20.73,8811.15,,,7.55
2023-02-28,SELL,LLY,34,304.39,10349.27,-890.09,-7.92,10356.82
2023-03-01,SELL,UBER,125,32.99,4123.75,-480.0,-10.43,14480.57
2023-03-01,SELL,WMT,176,44.95,7910.58,-405.26,-4.87,22391.14
2023-03-01,BUY,CRM,45,165.34,7440.35,,,14950.8
2023-03-07,SELL,UNH,21,445.15,9348.07,-456.08,-4.65,24298.87
2023-03-09,BUY,GE,112,71.93,8055.84,,,16243.03
2023-03-15,SELL,XOM,99,91.75,9083.58,-700.6,-7.16,25326.61
2023-03-15,SELL,SLB,198,41.99,8313.87,-1447.09,-14.83,33640.49
2023-03-21,BUY,NKE,70,118.67,8306.87,,,25333.62
2023-03-27,SELL,NKE,70,111.3,7791.03,-515.83,-6.21,33124.65
2023-03-29,BUY,LULU,22,361.04,7942.88,,,25181.77
