date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-02,BUY,AAPL,135,72.4,9774.07,,,90225.93
2020-01-02,BUY,NVDA,1641,5.97,9798.01,,,80427.92
2020-01-02,BUY,TSLA,341,28.68,9781.24,,,70646.68
2020-01-02,BUY,NFLX,297,32.98,9795.36,,,60851.32
2020-01-02,BUY,AMD,199,49.1,9770.9,,,51080.42
2020-01-02,BUY,ADBE,29,334.43,9698.47,,,41381.95
2020-01-02,BUY,INTC,182,53.67,9767.3,,,31614.66
2020-01-02,BUY,MU,181,54.04,9781.94,,,21832.72
2020-01-02,BUY,LRCX,353,27.72,9783.65,,,12049.07
2020-01-02,BUY,AMAT,166,58.7,9744.11,,,2304.96
2020-01-07,SELL,INTC,182,51.98,9460.66,-306.63,-3.14,11765.62
2020-01-27,SELL,AMAT,166,55.73,9250.64,-493.47,-5.06,21016.26
2020-01-30,TRIM,TSLA,113,42.72,4827.44,1586.14,48.94,25843.7
2020-02-03,SELL,NVDA,1641,5.98,9815.16,17.15,0.18,35658.86
2020-02-03,SELL,MU,181,52.47,9497.61,-284.33,-2.91,45156.47
2020-02-03,SELL,LRCX,353,28.7,10130.15,346.5,3.54,55286.61
2020-02-03,BUY,MSFT,64,165.19,10572.38,,,44714.23
2020-02-03,BUY,NOW,154,68.64,10570.56,,,34143.67
2020-02-03,BUY,ZS,187,56.82,10625.34,,,23518.33
2020-02-03,BUY,CRWD,173,61.08,10566.84,,,12951.49
2020-02-03,BUY,DDOG,234,45.26,10590.84,,,2360.65
2020-02-04,TRIM,TSLA,76,59.14,4494.44,2314.45,106.17,6855.09
2020-02-25,SELL,ZS,187,50.41,9426.67,-1198.67,-11.28,16281.76
2020-02-27,SELL,AAPL,135,66.09,8922.08,-851.98,-8.72,25203.84
2020-02-27,SELL,MSFT,64,150.26,9616.4,-955.99,-9.04,34820.24
2020-03-02,SELL,TSLA,152,49.57,7535.35,3175.38,72.83,42355.59
2020-03-02,SELL,NFLX,297,38.1,11317.18,1521.83,15.54,53672.77
2020-03-02,SELL,AMD,199,47.46,9444.54,-326.36,-3.34,63117.31
2020-03-02,SELL,ADBE,29,360.28,10448.12,749.65,7.73,73565.43
2020-03-02,SELL,NOW,154,68.88,10607.52,36.96,0.35,84172.95
2020-03-02,SELL,CRWD,173,59.13,10229.49,-337.35,-3.19,94402.44
2020-03-02,SELL,DDOG,234,44.79,10480.86,-109.98,-1.04,104883.3
2020-03-02,BUY,JNJ,79,118.39,9352.76,,,95530.54
2020-03-02,BUY,PEP,83,113.57,9425.91,,,86104.63
2020-03-02,BUY,KO,204,46.2,9425.02,,,76679.61
2020-03-02,BUY,CHTR,18,497.13,8948.34,,,67731.27
2020-03-02,BUY,PG,91,102.84,9358.38,,,58372.89
2020-03-09,SELL,KO,204,42.85,8740.73,-684.29,-7.26,67113.62
2020-03-09,SELL,CHTR,18,463.21,8337.78,-610.56,-6.82,75451.4
2020-03-12,SELL,JNJ,79,106.04,8376.88,-975.89,-10.43,83828.27
2020-03-12,SELL,PEP,83,95.85,7955.56,-1470.35,-15.6,91783.83
2020-03-12,SELL,PG,91,87.6,7971.38,-1387.01,-14.82,99755.2
2020-05-19,BUY,WMT,258,38.53,9941.83,,,89813.38
2020-05-21,BUY,NVDA,1141,8.74,9973.46,,,79839.92
2020-05-22,BUY,DE,76,130.33,9904.81,,,69935.11
2020-06-01,SELL,WMT,258,38.23,9863.05,-78.77,-0.79,79798.16
2020-06-01,SELL,DE,76,138.13,10498.21,593.4,5.99,90296.38
2020-06-01,BUY,AMZN,79,123.55,9760.61,,,80535.77
2020-06-01,BUY,META,42,230.1,9664.38,,,70871.39
2020-06-01,BUY,TSLA,163,59.87,9759.35,,,61112.03
2020-06-01,BUY,MRVL,304,32.19,9784.95,,,51327.09
2020-06-01,BUY,PANW,246,39.72,9770.71,,,41556.38
2020-06-01,BUY,ZS,89,109.98,9788.22,,,31768.15
2020-06-01,BUY,CRWD,103,94.84,9768.52,,,21999.64
2020-06-01,BUY,DDOG,141,69.49,9798.09,,,12201.55
2020-06-01,BUY,SHOP,129,75.8,9778.2,,,2423.35
2020-06-11,SELL,PANW,246,36.99,9098.72,-671.99,-6.88,11522.07
2020-06-26,SELL,META,42,214.4,9004.7,-659.68,-6.83,20526.76
