date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2020-01-06,BUY,CRWD,181,55.11,9974.91,,,90025.09
2020-01-16,BUY,MRVL,363,27.49,9980.53,,,80044.56
2020-01-16,BUY,MS,215,46.46,9987.86,,,70056.7
2020-01-23,BUY,NFLX,286,34.96,9998.56,,,60058.14
2020-01-24,BUY,INTC,165,60.4,9965.48,,,50092.66
2020-01-27,SELL,MRVL,363,25.18,9139.69,-840.84,-8.42,59232.36
2020-01-27,SELL,MS,215,43.71,9398.57,-589.29,-5.9,68630.93
2020-01-27,SELL,INTC,165,57.94,9560.86,-404.62,-4.06,78191.79
2020-01-27,BUY,MRNA,429,22.74,9755.46,,,68436.33
2020-01-29,BUY,GE,156,62.64,9771.28,,,58665.05
2020-01-30,BUY,NOW,143,68.32,9770.33,,,48894.71
2020-01-31,BUY,AMZN,97,100.44,9742.29,,,39152.42
2020-02-03,SELL,CRWD,181,61.08,11055.48,1080.57,10.83,50207.9
2020-02-03,SELL,NFLX,286,35.8,10238.8,240.24,2.4,60446.7
2020-02-03,SELL,MRNA,429,20.38,8743.02,-1012.44,-10.38,69189.72
2020-02-03,SELL,GE,156,59.34,9257.8,-513.48,-5.26,78447.52
2020-02-03,SELL,NOW,143,68.64,9815.52,45.19,0.46,88263.04
2020-02-03,BUY,TSLA,184,52.0,9568.0,,,78695.04
2020-02-03,BUY,MSFT,58,165.19,9581.22,,,69113.82
2020-02-07,BUY,UBER,243,40.63,9873.09,,,59240.73
2020-02-11,BUY,TMUS,108,90.85,9811.85,,,49428.88
2020-02-12,BUY,SHOP,186,53.12,9881.25,,,39547.63
2020-02-14,BUY,NVDA,1370,7.21,9880.63,,,29666.99
2020-02-21,BUY,DE,60,163.41,9804.74,,,19862.25
2020-02-24,BUY,REGN,23,422.53,9718.09,,,10144.16
2020-02-25,SELL,UBER,243,35.89,8721.27,-1151.82,-11.67,18865.43
2020-02-25,SELL,SHOP,186,46.65,8676.16,-1205.09,-12.2,27541.59
2020-02-25,SELL,NVDA,1370,6.52,8934.82,-945.82,-9.57,36476.4
2020-02-25,SELL,DE,60,153.48,9209.04,-595.7,-6.08,45685.44
2020-02-25,BUY,MRNA,384,23.76,9123.84,,,36561.6
2020-02-27,SELL,AMZN,97,94.21,9138.85,-603.44,-6.19,45700.46
2020-02-27,SELL,MSFT,58,150.26,8714.86,-866.36,-9.04,54415.32
2020-02-27,SELL,MRNA,384,26.16,10045.44,921.6,10.1,64460.76
2020-03-02,BUY,COST,32,282.84,9051.0,,,55409.76
2020-03-02,SELL,TSLA,184,49.57,9121.74,-446.26,-4.66,64531.5
2020-03-02,SELL,TMUS,108,89.7,9687.25,-124.61,-1.27,74218.75
2020-03-02,SELL,REGN,23,461.63,10617.52,899.43,9.26,84836.27
2020-03-02,SELL,COST,32,282.84,9051.0,0.0,0.0,93887.26
2020-03-02,BUY,AAPL,117,72.2,8447.43,,,85439.83
2020-03-09,SELL,AAPL,117,64.31,7524.69,-922.74,-10.92,92964.52
2020-03-10,BUY,OXY,692,13.42,9287.31,,,83677.22
2020-03-11,SELL,OXY,692,11.04,7642.27,-1645.03,-17.71,91319.49
2020-03-20,BUY,CRWD,186,49.01,9115.86,,,82203.63
2020-03-25,BUY,BA,57,158.73,9047.61,,,73156.02
2020-03-30,BUY,ABT,128,71.31,9127.05,,,64028.97
2020-04-01,SELL,CRWD,186,54.58,10151.88,1036.02,11.37,74180.85
2020-04-01,SELL,BA,57,130.7,7449.9,-1597.71,-17.66,81630.75
2020-04-01,SELL,ABT,128,68.82,8808.39,-318.65,-3.49,90439.15
2020-04-14,BUY,JPM,110,81.93,9012.57,,,81426.58
2020-04-14,BUY,JNJ,73,123.47,9013.38,,,72413.2
2020-04-16,BUY,ABT,104,86.64,9010.68,,,63402.52
2020-04-16,BUY,ROKU,70,128.0,8960.0,,,54442.52
2020-04-17,BUY,MRNA,193,46.85,9042.05,,,45400.47
2020-04-21,BUY,KO,240,37.82,9077.22,,,36323.25
2020-04-22,BUY,NEE,170,53.19,9042.77,,,27280.47
2020-04-23,BUY,INTC,173,52.34,9053.99,,,18226.49
2020-04-23,BUY,LLY,61,149.31,9107.83,,,9118.66
2020-04-28,BUY,MRK,142,64.11,9103.94,,,14.73
2020-05-01,SELL,NEE,170,48.86,8306.68,-736.1,-8.14,8321.41
2020-05-01,BUY,AAPL,119,69.85,8311.77,,,9.64
2020-05-07,SELL,MRK,142,59.71,8478.16,-625.77,-6.87,8487.8
2020-05-07,BUY,PYPL,29,145.51,4219.85,,,4267.95
2020-05-11,TRIM,MRNA,64,66.9,4281.6,1283.2,42.8,8549.55
2020-05-12,SELL,JPM,110,74.67,8213.23,-799.33,-8.87,16762.78
2020-05-12,BUY,DDOG,121,68.86,8332.06,,,8430.72
2020-05-15,SELL,ABT,104,81.13,8437.19,-573.49,-6.36,16867.91
2020-05-19,BUY,WMT,437,38.53,16839.45,,,28.47
2020-05-19,SELL,MRNA,129,71.67,9245.43,3201.78,52.98,9273.9
2020-05-19,BUY,SPOT,26,175.03,4550.78,,,4723.12
2020-05-22,SELL,ROKU,70,108.51,7595.7,-1364.3,-15.23,12318.82
2020-05-22,BUY,NVDA,1370,8.99,12317.67,,,1.14
2020-05-26,SELL,LLY,61,138.78,8465.82,-642.01,-7.05,8466.96
2020-05-28,BUY,REGN,7,574.33,4020.31,,,4446.65
2020-06-01,SELL,JNJ,73,125.31,9147.96,134.57,1.49,13594.61
2020-06-01,SELL,KO,240,39.16,9399.26,322.04,3.55,22993.87
2020-06-01,SELL,PYPL,29,153.71,4457.54,237.69,5.63,27451.41
2020-06-01,SELL,DDOG,121,69.49,8408.29,76.23,0.91,35859.7
2020-06-01,SELL,SPOT,26,182.71,4750.46,199.68,4.39,40610.16
2020-06-01,SELL,REGN,7,595.45,4168.13,147.82,3.68,44778.29
2020-06-01,BUY,DE,51,138.13,7044.85,,,37733.44
2020-06-01,BUY,CRM,41,174.24,7143.96,,,30589.48
2020-06-01,BUY,COST,25,282.71,7067.76,,,23521.72
2020-06-01,BUY,MSFT,41,174.16,7140.36,,,16381.36
2020-06-01,BUY,META,31,230.1,7133.23,,,9248.12
2020-06-01,BUY,TSLA,119,59.87,7124.93,,,2123.2
2020-06-12,SELL,WMT,437,36.31,15867.76,-971.69,-5.77,17990.96
2020-06-12,BUY,ADBE,44,406.54,17887.76,,,103.2
2020-06-15,SELL,COST,25,272.52,6813.06,-254.7,-3.6,6916.25
2020-06-16,BUY,LLY,22,153.56,3378.26,,,3538.0
2020-06-26,SELL,META,31,214.4,6646.32,-486.91,-6.83,10184.32
