date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,NVDA,485,20.17,9780.42,,,90219.58
2021-07-01,BUY,ZS,45,213.72,9617.4,,,80602.18
2021-07-01,BUY,CRWD,39,251.16,9795.24,,,70806.94
2021-07-01,BUY,DDOG,93,104.57,9725.01,,,61081.93
2021-07-01,BUY,SHOP,67,145.8,9768.6,,,51313.33
2021-07-01,BUY,DASH,54,180.59,9751.86,,,41561.47
2021-07-01,BUY,LLY,44,220.86,9717.76,,,31843.72
2021-07-01,BUY,ISRG,31,309.15,9583.75,,,22259.96
2021-07-01,BUY,MRNA,41,235.11,9639.51,,,12620.45
2021-07-01,BUY,LULU,26,364.23,9469.98,,,3150.47
2021-07-15,SELL,NVDA,485,18.92,9177.61,-602.81,-6.16,12328.08
2021-07-15,BUY,JPM,89,138.5,12326.69,,,1.39
2021-07-19,SELL,JPM,89,130.94,11653.5,-673.19,-5.46,11654.89
2021-07-21,BUY,JNJ,78,148.1,11551.83,,,103.06
2021-07-23,TRIM,MRNA,13,348.83,4534.79,1478.36,48.37,4637.85
2021-08-02,SELL,LLY,44,235.64,10368.19,650.43,6.69,15006.03
2021-08-02,SELL,ISRG,31,330.85,10256.35,672.6,7.02,25262.38
2021-08-02,SELL,MRNA,28,346.61,9705.08,3122.0,47.42,34967.46
2021-08-02,SELL,LULU,26,402.65,10468.9,998.92,10.55,45436.36
2021-08-02,SELL,JNJ,78,150.53,11741.31,189.47,1.64,57177.67
2021-08-02,BUY,NVDA,558,19.7,10995.31,,,46182.36
2021-08-02,BUY,AMD,101,108.63,10971.63,,,35210.73
2021-08-02,BUY,ADBE,17,618.75,10518.75,,,24691.98
2021-08-02,BUY,MRVL,184,59.5,10948.01,,,13743.97
2021-08-02,BUY,NOW,94,116.93,10991.8,,,2752.17
2021-09-01,SELL,CRWD,39,269.97,10528.83,733.59,7.49,13281.0
2021-09-01,SELL,DDOG,93,135.77,12626.61,2901.6,29.84,25907.61
2021-09-01,SELL,SHOP,67,153.9,10311.5,542.9,5.56,36219.11
2021-09-01,SELL,DASH,54,191.8,10357.2,605.34,6.21,46576.31
2021-09-01,SELL,NVDA,558,22.39,12495.66,1500.35,13.65,59071.97
2021-09-01,BUY,AAPL,76,149.02,11325.47,,,47746.51
2021-09-01,BUY,MSFT,39,290.85,11343.09,,,36403.42
2021-09-01,BUY,GOOGL,78,144.03,11233.96,,,25169.46
2021-09-01,BUY,TSLA,46,244.7,11256.05,,,13913.41
2021-09-01,BUY,PANW,147,76.72,11277.35,,,2636.06
2021-09-10,SELL,GOOGL,78,139.72,10898.25,-335.71,-2.99,13534.32
2021-09-17,SELL,AAPL,76,142.72,10846.49,-478.98,-4.23,24380.8
2021-09-20,SELL,AMD,101,101.55,10256.55,-715.08,-6.52,34637.35
2021-09-28,SELL,ADBE,17,578.77,9839.09,-679.66,-6.46,44476.44
2021-09-28,SELL,MSFT,39,273.2,10654.98,-688.11,-6.07,55131.42
2021-10-01,SELL,ZS,45,263.16,11842.2,2224.8,23.13,66973.62
2021-10-01,SELL,MRVL,184,58.77,10814.26,-133.75,-1.22,77787.88
2021-10-01,SELL,NOW,94,126.56,11896.64,904.84,8.23,89684.52
2021-10-01,SELL,TSLA,46,258.41,11886.71,630.66,5.6,101571.23
2021-10-01,SELL,PANW,147,81.08,11919.49,642.14,5.69,113490.72
2021-10-01,BUY,QCOM,95,116.51,11068.17,,,102422.55
2021-10-01,BUY,VRTX,61,180.35,11001.35,,,91421.2
2021-10-01,BUY,WMT,258,43.1,11119.42,,,80301.78
2021-10-01,BUY,UPS,75,148.01,11100.84,,,69200.94
2021-10-01,BUY,REGN,19,566.96,10772.23,,,58428.7
2021-10-01,BUY,AMT,47,233.6,10979.17,,,47449.53
2021-10-01,BUY,SO,212,52.29,11085.56,,,36363.97
2021-10-01,BUY,MU,160,69.36,11097.85,,,25266.12
2021-10-01,BUY,D,188,58.89,11071.23,,,14194.89
2021-10-01,BUY,TGT,55,198.83,10935.87,,,3259.01
2021-10-12,SELL,QCOM,95,111.29,10572.85,-495.32,-4.48,13831.86
2021-10-12,SELL,MU,160,65.19,10430.32,-667.53,-6.01,24262.19
2021-10-13,BUY,JPM,84,144.3,12121.37,,,12140.81
2021-10-14,BUY,BAC,301,40.29,12126.93,,,13.88
2021-11-01,SELL,VRTX,61,185.4,11309.4,308.05,2.8,11323.28
2021-11-01,SELL,WMT,258,47.1,12153.07,1033.65,9.3,23476.35
2021-11-01,SELL,UPS,75,172.0,12899.7,1798.86,16.2,36376.05
2021-11-01,SELL,REGN,19,634.86,12062.36,1290.13,11.98,48438.41
2021-11-01,SELL,AMT,47,247.17,11617.06,637.89,5.81,60055.47
2021-11-01,SELL,SO,212,52.91,11216.62,131.05,1.18,71272.09
2021-11-01,SELL,D,188,61.43,11549.07,477.83,4.32,82821.15
2021-11-01,SELL,TGT,55,224.51,12348.22,1412.35,12.91,95169.37
