date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,ADBE,16,584.73,9355.68,,,90644.32
2021-07-01,BUY,NKE,66,146.76,9685.95,,,80958.37
2021-07-01,BUY,REGN,17,570.76,9702.99,,,71255.38
2021-07-01,BUY,CRM,40,242.04,9681.57,,,61573.81
2021-07-01,BUY,PFE,314,31.12,9772.43,,,51801.38
2021-07-01,BUY,CHTR,13,721.8,9383.4,,,42417.98
2021-07-01,BUY,LULU,26,364.23,9469.98,,,32948.0
2021-07-01,BUY,PLD,93,104.63,9730.75,,,23217.25
2021-07-01,BUY,TGT,46,211.21,9715.65,,,13501.6
2021-07-01,BUY,MSFT,37,261.22,9665.07,,,3836.53
2021-08-02,SELL,ADBE,16,618.75,9900.0,544.32,5.82,13736.53
2021-08-02,SELL,NKE,66,156.74,10344.97,659.01,6.8,24081.49
2021-08-02,SELL,REGN,17,573.26,9745.37,42.38,0.44,33826.87
2021-08-02,SELL,CRM,40,237.97,9518.75,-162.82,-1.68,43345.61
2021-08-02,SELL,CHTR,13,749.87,9748.31,364.91,3.89,53093.92
2021-08-02,SELL,LULU,26,402.65,10468.9,998.92,10.55,63562.82
2021-08-02,SELL,PLD,93,112.03,10418.5,687.75,7.07,73981.32
2021-08-02,SELL,TGT,46,223.16,10265.14,549.49,5.66,84246.47
2021-08-02,BUY,AAPL,72,141.98,10222.31,,,74024.15
2021-08-02,BUY,MCD,47,215.5,10128.4,,,63895.75
2021-08-02,BUY,KO,207,49.38,10220.87,,,53674.88
2021-08-02,BUY,PEP,76,134.83,10247.28,,,43427.6
2021-08-02,BUY,V,44,231.46,10184.2,,,33243.4
2021-08-02,BUY,JNJ,68,150.53,10236.01,,,23007.39
2021-08-02,BUY,CMCSA,215,47.74,10264.41,,,12742.98
2021-08-02,BUY,MS,123,82.96,10204.1,,,2538.88
2021-08-20,SELL,V,44,223.64,9839.97,-344.23,-3.38,12378.85
2021-08-20,BUY,WMT,259,47.63,12335.38,,,43.47
2021-08-26,SELL,KO,207,48.21,9980.09,-240.79,-2.36,10023.56
2021-08-26,BUY,CRM,37,264.58,9789.29,,,234.27
2021-08-27,SELL,WMT,259,46.08,11933.84,-401.54,-3.26,12168.11
2021-09-01,SELL,PFE,314,36.55,11476.18,1703.75,17.43,23644.28
2021-09-01,SELL,MSFT,37,290.85,10761.39,1096.32,11.34,34405.67
2021-09-01,SELL,AAPL,72,149.02,10729.39,507.08,4.96,45135.07
2021-09-01,SELL,MCD,47,214.92,10101.22,-27.18,-0.27,55236.28
2021-09-01,SELL,PEP,76,136.2,10351.51,104.23,1.02,65587.79
2021-09-01,SELL,CMCSA,215,49.92,10733.13,468.72,4.57,76320.92
2021-09-01,SELL,MS,123,89.93,11060.89,856.79,8.4,87381.82
2021-09-01,BUY,DE,30,354.69,10640.79,,,76741.02
2021-09-01,BUY,DIS,59,179.26,10576.26,,,66164.77
2021-09-01,BUY,WMT,229,46.47,10642.28,,,55522.49
2021-09-01,BUY,HD,36,289.37,10417.5,,,45104.99
2021-09-01,BUY,TSLA,43,244.7,10521.96,,,34583.04
2021-09-01,BUY,ABT,90,117.15,10543.41,,,24039.63
2021-09-01,BUY,SBUX,100,105.54,10553.88,,,13485.75
2021-09-01,BUY,SO,189,56.3,10639.9,,,2845.85
2021-09-10,SELL,JNJ,68,146.77,9980.04,-255.97,-2.5,12825.89
2021-09-13,SELL,CRM,37,251.06,9289.2,-500.08,-5.11,22115.09
2021-09-14,SELL,DE,30,335.17,10055.24,-585.55,-5.5,32170.34
2021-09-17,SELL,SBUX,100,101.91,10190.85,-363.03,-3.44,42361.19
2021-09-17,SELL,SO,189,54.31,10265.39,-374.51,-3.52,52626.58
2021-09-20,SELL,WMT,229,44.89,10279.33,-362.95,-3.41,62905.91
2021-09-21,SELL,DIS,59,167.23,9866.68,-709.58,-6.71,72772.58
2021-09-27,SELL,ABT,90,110.88,9978.99,-564.41,-5.35,82751.58
2021-10-01,SELL,HD,36,294.94,10617.71,200.21,1.92,93369.29
2021-10-01,SELL,TSLA,43,258.41,11111.49,589.53,5.6,104480.78
2021-10-01,BUY,COST,24,426.16,10227.91,,,94252.86
2021-10-01,BUY,MCD,46,219.23,10084.73,,,84168.13
2021-10-01,BUY,TMO,18,565.6,10180.71,,,73987.42
2021-10-01,BUY,PFE,300,34.08,10223.85,,,63763.57
2021-10-01,BUY,GOOGL,75,135.42,10156.78,,,53606.79
2021-10-01,BUY,NEE,145,70.28,10190.9,,,43415.89
2021-10-01,BUY,MSFT,36,278.58,10028.94,,,33386.96
2021-10-01,BUY,MS,119,85.39,10161.56,,,23225.4
2021-10-01,BUY,NOW,80,126.56,10124.8,,,13100.6
2021-10-01,BUY,GS,30,339.77,10193.19,,,2907.4
2021-10-18,SELL,PFE,300,32.8,9840.43,-383.43,-3.75,12747.83
2021-10-19,BUY,NFLX,199,63.9,12716.1,,,31.73
2021-11-01,SELL,COST,24,468.31,11239.36,1011.45,9.89,11271.09
2021-11-01,SELL,GOOGL,75,142.32,10674.05,517.27,5.09,21945.14
2021-11-01,SELL,NEE,145,75.94,11011.72,820.83,8.05,32956.86
2021-11-01,SELL,MS,119,90.28,10743.21,581.64,5.72,43700.07
2021-11-01,SELL,NOW,80,136.4,10911.68,786.88,7.77,54611.75
2021-11-01,SELL,GS,30,372.59,11177.64,984.45,9.66,65789.39
2021-11-01,SELL,NFLX,199,68.12,13555.28,839.18,6.6,79344.67
2021-11-01,BUY,CVX,115,95.41,10972.22,,,68372.45
2021-11-01,BUY,MRK,144,76.37,10997.67,,,57374.78
2021-11-01,BUY,UPS,64,172.0,11007.75,,,46367.03
2021-11-01,BUY,CAT,57,190.21,10841.94,,,35525.1
2021-11-01,BUY,JPM,72,152.19,10957.64,,,24567.46
2021-11-01,BUY,BAC,257,42.77,10992.89,,,13574.57
2021-11-01,BUY,ABT,92,119.02,10950.1,,,2624.47
2021-11-05,SELL,MRK,144,70.96,10217.67,-780.0,-7.09,12842.13
2021-11-05,SELL,ABT,92,114.8,10562.0,-388.1,-3.54,23404.13
2021-11-05,BUY,PFE,300,38.93,11678.17,,,11725.96
2021-11-16,BUY,HD,33,350.79,11576.15,,,149.81
2021-11-17,SELL,JPM,72,147.41,10613.68,-343.96,-3.14,10763.49
2021-11-17,BUY,NVDA,368,29.2,10745.33,,,18.16
2021-11-19,SELL,BAC,257,40.58,10430.04,-562.85,-5.12,10448.2
2021-11-24,BUY,DE,30,347.39,10421.73,,,26.46
2021-11-30,SELL,UPS,64,162.58,10404.91,-602.84,-5.48,10431.37
2021-11-30,SELL,CAT,57,179.07,10206.88,-635.06,-5.86,20638.25
2021-11-30,BUY,CRM,36,281.54,10135.41,,,10502.84
2021-12-01,SELL,DE,30,322.54,9676.35,-745.38,-7.15,20179.18
