date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,ADBE,16,584.73,9355.68,,,90644.32
2021-07-01,BUY,NKE,66,146.76,9685.95,,,80958.37
2021-07-01,BUY,NVDA,485,20.17,9780.42,,,71177.95
2021-07-01,BUY,CRM,40,242.04,9681.57,,,61496.38
2021-07-01,BUY,COST,26,374.32,9732.36,,,51764.03
2021-07-01,BUY,WMT,224,43.65,9777.99,,,41986.04
2021-07-01,BUY,HD,34,286.04,9725.46,,,32260.58
2021-07-01,BUY,DE,29,333.58,9673.92,,,22586.65
2021-07-01,BUY,AMD,105,93.31,9797.55,,,12789.1
2021-07-13,BUY,JPM,92,138.67,12757.76,,,31.34
2021-07-15,SELL,NVDA,485,18.92,9177.61,-602.81,-6.16,9208.95
2021-07-15,SELL,AMD,105,86.93,9127.65,-669.9,-6.84,18336.6
2021-07-15,BUY,GS,27,332.21,8969.75,,,9366.85
2021-07-15,BUY,BAC,271,34.53,9358.66,,,8.19
2021-07-19,SELL,DE,29,315.37,9145.84,-528.08,-5.46,9154.03
2021-07-19,SELL,JPM,92,130.94,12046.31,-711.45,-5.58,21200.34
2021-07-19,BUY,MRNA,33,313.59,10348.47,,,10851.87
2021-07-21,BUY,JNJ,73,148.1,10811.33,,,40.54
2021-08-02,SELL,ADBE,16,618.75,9900.0,544.32,5.82,9940.54
2021-08-02,SELL,NKE,66,156.74,10344.97,659.01,6.8,20285.51
2021-08-02,SELL,CRM,40,237.97,9518.75,-162.82,-1.68,29804.25
2021-08-02,SELL,COST,26,407.71,10600.53,868.18,8.92,40404.79
2021-08-02,SELL,WMT,224,44.56,9981.52,203.53,2.08,50386.31
2021-08-02,SELL,HD,34,291.1,9897.26,171.8,1.77,60283.57
2021-08-02,SELL,BAC,271,33.76,9148.98,-209.69,-2.24,69432.54
2021-08-02,SELL,MRNA,33,346.61,11438.13,1089.66,10.53,80870.67
2021-08-02,BUY,AMD,90,108.63,9776.7,,,71093.97
2021-08-02,BUY,PFE,282,34.9,9841.0,,,61252.98
2021-08-02,BUY,MSFT,35,273.93,9587.65,,,51665.33
2021-08-02,BUY,GOOGL,73,133.75,9763.68,,,41901.65
2021-08-02,BUY,TSLA,41,236.56,9698.82,,,32202.83
2021-08-02,BUY,WFC,241,40.83,9839.4,,,22363.42
2021-08-02,BUY,MS,118,82.96,9789.3,,,12574.12
2021-08-02,BUY,UNH,25,382.84,9570.97,,,3003.15
2021-09-01,SELL,GS,27,369.87,9986.49,1016.74,11.34,12989.64
2021-09-01,SELL,JNJ,73,152.72,11148.28,336.95,3.12,24137.92
2021-09-01,SELL,AMD,90,109.99,9899.1,122.4,1.25,34037.02
2021-09-01,SELL,PFE,282,36.55,10306.63,465.63,4.73,44343.65
2021-09-01,SELL,WFC,241,38.91,9377.22,-462.18,-4.7,53720.87
2021-09-01,SELL,MS,118,89.93,10611.26,821.96,8.4,64332.14
2021-09-01,SELL,UNH,25,384.48,9611.97,41.0,0.43,73944.1
2021-09-01,BUY,CRM,38,265.1,10073.76,,,63870.34
2021-09-01,BUY,DE,28,354.69,9931.41,,,53938.94
2021-09-01,BUY,DIS,57,179.26,10217.74,,,43721.2
2021-09-01,BUY,WMT,220,46.47,10224.02,,,33497.18
2021-09-01,BUY,NVDA,458,22.39,10256.29,,,23240.88
2021-09-01,BUY,AAPL,68,149.02,10133.31,,,13107.57
2021-09-01,BUY,AMZN,59,173.95,10263.05,,,2844.52
2021-09-13,SELL,CRM,38,251.06,9540.26,-533.5,-5.3,12384.78
2021-09-14,SELL,DE,28,335.17,9384.89,-546.52,-5.5,21769.67
2021-09-17,SELL,AAPL,68,142.72,9704.75,-428.56,-4.23,31474.43
2021-09-17,BUY,TMO,17,589.38,10019.39,,,21455.03
2021-09-20,SELL,WMT,220,44.89,9875.33,-348.69,-3.41,31330.37
2021-09-20,SELL,NVDA,458,21.07,9649.35,-606.94,-5.92,40979.72
2021-09-20,SELL,AMZN,59,167.79,9899.4,-363.65,-3.54,50879.13
2021-09-21,SELL,DIS,57,167.23,9532.21,-685.53,-6.71,60411.34
2021-09-21,BUY,UBER,226,44.36,10025.36,,,50385.98
2021-10-01,BUY,MRK,142,70.77,10049.83,,,40336.15
2021-10-01,SELL,MSFT,35,278.58,9750.36,162.71,1.7,50086.51
2021-10-01,SELL,GOOGL,73,135.42,9885.93,122.25,1.25,59972.44
2021-10-01,SELL,TSLA,41,258.41,10594.67,895.85,9.24,70567.11
2021-10-01,SELL,TMO,17,565.6,9615.12,-404.27,-4.03,80182.23
2021-10-01,SELL,UBER,226,47.05,10633.3,607.94,6.06,90815.53
2021-10-01,SELL,MRK,142,70.77,10049.83,0.0,0.0,100865.36
2021-10-01,BUY,CRM,36,271.96,9790.4,,,91074.96
2021-10-01,BUY,COST,23,426.16,9801.75,,,81273.21
2021-10-01,BUY,NKE,72,136.82,9851.09,,,71422.11
2021-10-01,BUY,HD,33,294.94,9732.9,,,61689.21
2021-10-01,BUY,ADBE,17,577.47,9816.99,,,51872.22
2021-10-01,BUY,WMT,229,43.1,9869.56,,,42002.66
2021-10-01,BUY,NVDA,477,20.7,9873.06,,,32129.6
2021-10-01,BUY,DE,30,323.16,9694.76,,,22434.84
2021-10-06,BUY,MRVL,179,62.62,11209.68,,,11225.16
2021-10-13,BUY,JPM,77,144.3,11111.26,,,113.9
2021-11-01,SELL,CRM,36,299.13,10768.52,978.12,9.99,10882.42
2021-11-01,SELL,COST,23,468.31,10771.05,969.3,9.89,21653.48
2021-11-01,SELL,NKE,72,154.75,11141.93,1290.84,13.1,32795.41
2021-11-01,SELL,HD,33,327.68,10813.42,1080.51,11.1,43608.82
2021-11-01,SELL,ADBE,17,640.2,10883.4,1066.41,10.86,54492.22
2021-11-01,SELL,WMT,229,47.1,10787.03,917.46,9.3,65279.25
2021-11-01,SELL,NVDA,477,25.77,12293.49,2420.43,24.52,77572.74
2021-11-01,SELL,DE,30,338.79,10163.64,468.87,4.84,87736.38
2021-11-01,SELL,MRVL,179,67.81,12137.22,927.54,8.27,99873.59
2021-11-01,SELL,JPM,77,152.19,11718.58,607.33,5.47,111592.18
2021-11-01,BUY,GS,29,372.59,10805.06,,,100787.12
2021-11-01,BUY,TSLA,27,402.86,10877.31,,,89909.81
2021-11-01,BUY,MRK,143,76.37,10921.3,,,78988.51
2021-11-01,BUY,TMO,17,627.2,10662.39,,,68326.13
2021-11-01,BUY,KO,222,49.13,10906.39,,,57419.74
2021-11-01,BUY,MCD,48,226.14,10854.57,,,46565.17
2021-11-01,BUY,MS,121,90.28,10923.76,,,35641.4
2021-11-01,BUY,JNJ,76,143.29,10890.3,,,24751.1
2021-11-01,BUY,MSFT,34,317.39,10791.14,,,13959.97
2021-11-01,BUY,GOOGL,76,142.32,10816.37,,,3143.59
2021-11-05,SELL,MRK,143,70.96,10146.71,-774.59,-7.09,13290.3
