date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2021-07-01,BUY,MS,124,78.75,9765.33,,,90234.67
2021-07-01,BUY,CMCSA,208,46.95,9765.97,,,80468.7
2021-07-01,BUY,UNH,26,373.0,9698.0,,,70770.7
2021-07-01,BUY,NKE,66,146.76,9685.95,,,61084.74
2021-07-01,BUY,ADBE,16,584.73,9355.68,,,51729.06
2021-07-01,BUY,GE,149,65.68,9786.28,,,41942.79
2021-07-01,BUY,ROKU,22,435.67,9584.74,,,32358.05
2021-07-01,BUY,CHTR,13,721.8,9383.4,,,22974.65
2021-07-01,BUY,MMM,70,139.99,9799.42,,,13175.22
2021-07-01,BUY,CRWD,39,251.16,9795.24,,,3379.98
2021-07-16,SELL,GE,149,61.15,9111.11,-675.16,-6.9,12491.1
2021-07-16,BUY,JPM,92,135.34,12451.22,,,39.88
2021-08-02,SELL,UNH,26,382.84,9953.81,255.81,2.64,9993.69
2021-08-02,SELL,NKE,66,156.74,10344.97,659.01,6.8,20338.66
2021-08-02,SELL,ADBE,16,618.75,9900.0,544.32,5.82,30238.66
2021-08-02,SELL,ROKU,22,421.37,9270.14,-314.6,-3.28,39508.8
2021-08-02,SELL,CHTR,13,749.87,9748.31,364.91,3.89,49257.11
2021-08-02,SELL,MMM,70,138.89,9722.15,-77.27,-0.79,58979.26
2021-08-02,SELL,CRWD,39,253.91,9902.49,107.25,1.09,68881.75
2021-08-02,SELL,JPM,92,134.68,12390.56,-60.65,-0.49,81272.31
2021-08-02,BUY,GOOGL,74,133.75,9897.43,,,71374.88
2021-08-02,BUY,WFC,242,40.83,9880.23,,,61494.65
2021-08-02,BUY,GS,29,336.52,9759.07,,,51735.58
2021-08-02,BUY,HON,49,198.55,9729.02,,,42006.56
2021-08-02,BUY,TSLA,41,236.56,9698.82,,,32307.74
2021-08-02,BUY,MCD,45,215.5,9697.4,,,22610.34
2021-08-02,BUY,BAC,293,33.76,9891.7,,,12718.64
2021-08-02,BUY,CVX,118,83.54,9857.47,,,2861.17
2021-08-19,SELL,CVX,118,78.55,9268.84,-588.63,-5.97,12130.01
2021-08-19,BUY,WMT,256,47.21,12084.62,,,45.38
2021-09-01,SELL,MS,124,89.93,11150.82,1385.49,14.19,11196.2
2021-09-01,SELL,CMCSA,208,49.92,10383.68,617.71,6.33,21579.88
2021-09-01,SELL,GOOGL,74,144.03,10657.86,760.43,7.68,32237.74
2021-09-01,SELL,WFC,242,38.91,9416.13,-464.1,-4.7,41653.87
2021-09-01,SELL,GS,29,369.87,10726.23,967.16,9.91,52380.1
2021-09-01,SELL,HON,49,197.1,9657.7,-71.32,-0.73,62037.8
2021-09-01,SELL,TSLA,41,244.7,10032.56,333.74,3.44,72070.36
2021-09-01,SELL,MCD,45,214.92,9671.38,-26.03,-0.27,81741.74
2021-09-01,SELL,WMT,256,46.47,11897.04,-187.58,-1.55,93638.78
2021-09-01,BUY,DE,28,354.69,9931.41,,,83707.38
2021-09-01,BUY,NVDA,454,22.39,10166.72,,,73540.66
2021-09-01,BUY,DIS,56,179.26,10038.48,,,63502.18
2021-09-01,BUY,CRWD,37,269.97,9988.89,,,53513.29
2021-09-01,BUY,PLD,84,120.16,10093.72,,,43419.57
2021-09-01,BUY,GE,161,63.13,10164.56,,,33255.01
2021-09-01,BUY,AVGO,226,44.97,10162.65,,,23092.35
2021-09-01,BUY,EMR,107,94.95,10159.92,,,12932.44
2021-09-01,BUY,ON,227,44.68,10142.36,,,2790.08
2021-09-09,SELL,EMR,107,91.33,9772.27,-387.65,-3.82,12562.34
2021-09-09,BUY,LULU,14,420.71,5889.94,,,6672.4
2021-09-17,SELL,DE,28,328.69,9203.25,-728.16,-7.33,15875.65
2021-09-17,SELL,PLD,84,114.0,9576.39,-517.33,-5.13,25452.04
2021-09-17,BUY,TMO,21,589.38,12376.9,,,13075.15
2021-09-21,SELL,DIS,56,167.23,9364.98,-673.5,-6.71,22440.13
2021-09-21,SELL,GE,161,58.97,9493.85,-670.71,-6.6,31933.98
2021-09-21,BUY,UBER,239,44.36,10602.04,,,21331.94
2021-09-28,SELL,NVDA,454,20.66,9377.52,-789.2,-7.76,30709.46
2021-09-28,SELL,CRWD,37,241.86,8948.82,-1040.07,-10.41,39658.28
2021-10-01,BUY,MRK,140,70.77,9908.28,,,29749.99
2021-10-01,SELL,BAC,293,38.51,11283.41,1391.71,14.07,41033.4
2021-10-01,SELL,AVGO,226,44.76,10116.53,-46.12,-0.45,51149.93
2021-10-01,SELL,ON,227,45.61,10353.47,211.11,2.08,61503.4
2021-10-01,SELL,LULU,14,401.37,5619.18,-270.76,-4.6,67122.58
2021-10-01,SELL,TMO,21,565.6,11877.5,-499.4,-4.03,79000.08
2021-10-01,SELL,UBER,239,47.05,11244.95,642.91,6.06,90245.03
2021-10-01,SELL,MRK,140,70.77,9908.28,0.0,0.0,100153.31
2021-10-01,BUY,XOM,189,51.81,9792.95,,,90360.37
2021-10-01,BUY,OXY,335,29.25,9797.34,,,80563.03
2021-10-01,BUY,SLB,357,27.47,9806.67,,,70756.36
2021-10-01,BUY,ADBE,16,577.47,9239.52,,,61516.84
2021-10-01,BUY,CVX,112,86.91,9734.3,,,51782.54
2021-10-01,BUY,RTX,123,79.16,9736.93,,,42045.61
2021-10-01,BUY,JPM,65,148.9,9678.44,,,32367.17
2021-10-01,BUY,NKE,71,136.82,9714.27,,,22652.89
2021-10-01,BUY,WFC,233,42.11,9810.83,,,12842.06
2021-10-01,BUY,TSLA,37,258.41,9561.05,,,3281.02
2021-11-01,TRIM,TSLA,12,402.86,4834.36,1733.48,55.9,8115.38
2021-11-01,SELL,OXY,335,32.68,10948.49,1151.15,11.75,19063.87
2021-11-01,SELL,SLB,357,30.13,10756.32,949.66,9.68,29820.19
2021-11-01,SELL,ADBE,16,640.2,10243.2,1003.68,10.86,40063.39
2021-11-01,SELL,RTX,123,80.13,9856.03,119.1,1.22,49919.42
2021-11-01,SELL,JPM,65,152.19,9892.31,213.87,2.21,59811.73
2021-11-01,SELL,NKE,71,154.75,10987.18,1272.91,13.1,70798.91
2021-11-01,BUY,MS,126,90.28,11375.16,,,59423.75
2021-11-01,BUY,GOOGL,80,142.32,11385.66,,,48038.1
2021-11-01,BUY,GS,30,372.59,11177.64,,,36860.45
2021-11-01,BUY,NFLX,167,68.12,11375.54,,,25484.92
2021-11-01,BUY,BAC,267,42.77,11420.63,,,14064.29
