date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-01-03,BUY,MCD,40,243.72,9749.0,,,90251.0
2022-01-03,BUY,SO,167,58.34,9742.37,,,80508.63
2022-01-03,BUY,KO,187,52.27,9774.05,,,70734.58
2022-01-03,BUY,PEP,64,151.24,9679.39,,,61055.19
2022-01-03,BUY,PG,66,146.32,9657.18,,,51398.01
2022-01-03,BUY,COST,18,539.56,9712.11,,,41685.9
2022-01-03,BUY,JNJ,64,151.77,9713.28,,,31972.62
2022-01-03,BUY,NKE,63,153.48,9669.24,,,22303.38
2022-01-03,BUY,ABBV,84,115.85,9731.17,,,12572.21
2022-01-03,BUY,PLD,67,145.06,9719.2,,,2853.01
2022-01-05,SELL,PLD,67,138.68,9291.89,-427.32,-4.4,12144.9
2022-01-07,SELL,COST,18,510.49,9188.89,-523.22,-5.39,21333.79
2022-01-07,SELL,NKE,63,146.3,9217.1,-452.14,-4.68,30550.89
2022-01-11,SELL,MCD,40,237.86,9514.51,-234.49,-2.41,40065.4
2022-01-11,SELL,PG,66,142.51,9405.82,-251.36,-2.6,49471.22
2022-01-14,SELL,JNJ,64,148.5,9503.77,-209.51,-2.16,58974.99
2022-02-01,BUY,ABT,80,117.83,9426.46,,,49548.53
2022-02-01,BUY,GOOGL,69,136.52,9419.58,,,40128.95
2022-02-01,BUY,PG,65,144.26,9376.72,,,30752.23
2022-02-01,BUY,BAC,225,42.16,9486.54,,,21265.69
2022-02-01,BUY,JNJ,62,151.19,9373.54,,,11892.15
2022-02-01,BUY,MCD,40,235.02,9400.9,,,2491.25
2022-02-10,SELL,SO,167,56.44,9425.11,-317.27,-3.26,11916.36
2022-02-14,SELL,PEP,64,145.75,9327.98,-351.41,-3.63,21244.34
2022-02-14,SELL,JNJ,62,146.51,9083.91,-289.63,-3.09,30328.25
2022-02-17,SELL,ABT,80,111.7,8935.87,-490.59,-5.2,39264.12
2022-02-17,SELL,MCD,40,227.71,9108.33,-292.56,-3.11,48372.45
2022-02-18,SELL,GOOGL,69,129.33,8924.05,-495.53,-5.26,57296.5
2022-02-23,SELL,BAC,225,40.22,9050.0,-436.53,-4.6,66346.51
2022-02-24,SELL,PG,65,137.05,8908.29,-468.43,-5.0,75254.8
2022-03-01,BUY,SO,148,55.42,8202.03,,,67052.77
2022-03-01,BUY,D,125,65.17,8146.43,,,58906.34
2022-03-01,BUY,PEP,57,141.88,8086.95,,,50819.39
2022-03-01,BUY,AAPL,51,159.9,8154.94,,,42664.44
2022-03-01,BUY,XOM,118,68.99,8140.46,,,34523.99
2022-03-01,BUY,PG,59,138.45,8168.58,,,26355.41
2022-03-01,BUY,DE,24,339.73,8153.41,,,18202.0
2022-03-01,BUY,UNH,18,441.72,7950.88,,,10251.12
2022-03-08,SELL,PG,59,132.56,7821.18,-347.39,-4.25,18072.3
2022-03-10,SELL,PEP,57,135.98,7750.87,-336.08,-4.16,25823.17
2022-03-11,SELL,AAPL,51,151.6,7731.7,-423.24,-5.19,33554.88
2022-04-01,SELL,XOM,118,72.43,8546.61,406.15,4.99,42101.48
2022-04-01,BUY,PEP,67,149.4,10009.89,,,32091.6
2022-04-01,BUY,WMT,209,47.86,10003.62,,,22087.98
2022-04-01,BUY,JNJ,63,158.67,9995.93,,,12092.05
2022-04-01,BUY,PG,71,140.06,9944.11,,,2147.94
2022-05-02,SELL,DE,24,362.03,8688.83,535.42,6.57,10836.76
2022-05-02,SELL,ABBV,84,128.9,10827.32,1096.15,11.26,21664.08
2022-05-02,SELL,UNH,18,466.19,8391.34,440.46,5.54,30055.42
2022-05-02,SELL,SO,148,63.3,9367.72,1165.69,14.21,39423.14
2022-05-02,SELL,PG,71,143.83,10212.04,267.93,2.69,49635.18
2022-05-02,SELL,PEP,67,147.64,9891.96,-117.93,-1.18,59527.14
2022-05-02,SELL,WMT,209,48.17,10067.87,64.26,0.64,69595.01
2022-05-02,SELL,JNJ,63,159.07,10021.18,25.24,0.25,79616.19
2022-05-02,BUY,SO,137,63.3,8671.47,,,70944.72
2022-05-02,BUY,MRK,112,77.61,8692.86,,,62251.86
2022-05-02,BUY,LLY,31,279.65,8669.11,,,53582.75
2022-06-01,SELL,LLY,31,301.44,9344.78,675.67,7.79,62927.53
2022-06-01,SELL,KO,187,56.02,10475.01,700.96,7.17,73402.54
2022-06-01,SELL,SO,137,65.92,9031.54,360.07,4.15,82434.08
2022-06-01,SELL,D,125,69.38,8672.82,526.39,6.46,91106.91
2022-06-01,SELL,MRK,112,80.71,9038.99,346.13,3.98,100145.89
2022-06-01,BUY,SO,136,65.92,8965.61,,,91180.28
2022-06-01,BUY,KO,160,56.02,8962.58,,,82217.7
2022-06-09,SELL,SO,136,63.6,8649.95,-315.67,-3.52,90867.65
2022-06-14,SELL,KO,160,52.99,8477.71,-484.87,-5.41,99345.36
2022-07-01,BUY,JNJ,55,160.88,8848.24,,,90497.12
2022-07-01,BUY,D,131,67.88,8891.89,,,81605.23
2022-07-13,SELL,D,131,65.72,8609.5,-282.39,-3.18,90214.73
2022-07-18,SELL,JNJ,55,156.14,8587.5,-260.74,-2.95,98802.23
2022-07-20,BUY,ABT,97,101.11,9807.19,,,88995.04
2022-07-22,BUY,NEE,136,72.33,9836.33,,,79158.71
2022-07-26,BUY,V,47,206.49,9704.83,,,69453.89
2022-07-28,BUY,MA,28,345.23,9666.49,,,59787.4
2022-07-28,BUY,MRK,124,80.29,9956.51,,,49830.89
2022-07-28,BUY,PFE,239,41.58,9937.54,,,39893.35
2022-07-28,BUY,SO,150,66.18,9926.5,,,29966.85
2022-08-01,SELL,ABT,97,102.31,9924.09,116.89,1.19,39890.93
2022-08-01,SELL,NEE,136,76.89,10456.54,620.21,6.31,50347.47
2022-08-01,SELL,V,47,205.39,9653.22,-51.61,-0.53,60000.69
2022-08-01,SELL,MA,28,343.36,9614.11,-52.38,-0.54,69614.79
2022-08-01,BUY,PEP,61,156.81,9565.54,,,60049.25
2022-08-01,BUY,AMGN,44,218.44,9611.56,,,50437.69
2022-08-01,BUY,UNH,19,499.8,9496.27,,,40941.43
2022-08-01,BUY,JNJ,61,155.85,9506.83,,,31434.6
2022-08-01,BUY,KO,167,57.72,9638.9,,,21795.69
2022-08-01,BUY,D,140,68.96,9654.85,,,12140.85
2022-08-01,BUY,MCD,39,242.45,9455.46,,,2685.39
2022-08-04,SELL,MRK,124,77.51,9611.12,-345.39,-3.47,12296.51
2022-08-08,SELL,MCD,39,235.63,9189.57,-265.88,-2.81,21486.09
2022-08-11,SELL,PFE,239,39.59,9461.43,-476.11,-4.79,30947.51
2022-08-11,SELL,JNJ,61,149.78,9136.75,-370.09,-3.89,40084.26
2022-08-26,SELL,KO,167,56.46,9428.26,-210.65,-2.19,49512.51
2022-08-30,SELL,PEP,61,153.3,9351.48,-214.07,-2.24,58863.99
2022-08-31,SELL,UNH,19,484.82,9211.58,-284.69,-3.0,68075.57
2022-09-01,BUY,MRK,121,77.8,9414.24,,,58661.33
2022-09-01,BUY,KO,170,55.46,9428.82,,,49232.51
2022-09-01,BUY,PEP,61,154.21,9406.7,,,39825.81
2022-09-01,BUY,NEE,120,78.12,9374.34,,,30451.47
2022-09-01,BUY,MCD,39,236.62,9228.0,,,21223.46
2022-09-01,BUY,UNH,19,489.18,9294.41,,,11929.05
2022-09-01,BUY,JNJ,63,149.17,9397.41,,,2531.64
2022-09-13,SELL,AMGN,44,203.3,8945.27,-666.28,-6.93,11476.92
2022-09-13,SELL,KO,170,54.09,9196.14,-232.68,-2.47,20673.06
2022-09-13,SELL,PEP,61,149.35,9110.65,-296.05,-3.15,29783.71
2022-09-13,SELL,JNJ,63,145.55,9169.49,-227.91,-2.43,38953.2
2022-09-21,SELL,D,140,66.49,9308.59,-346.25,-3.59,48261.79
2022-09-22,SELL,MCD,39,228.75,8921.09,-306.92,-3.33,57182.88
2022-09-23,SELL,NEE,120,74.73,8967.9,-406.45,-4.34,66150.78
2022-09-27,SELL,SO,150,63.13,9469.91,-456.59,-4.6,75620.69
2022-10-03,BUY,JNJ,56,147.23,8245.14,,,67375.55
2022-10-03,BUY,TMUS,61,133.55,8146.55,,,59229.01
2022-10-03,BUY,PEP,56,147.43,8255.96,,,50973.05
2022-10-10,SELL,UNH,19,467.17,8876.26,-418.15,-4.5,59849.3
2022-10-12,SELL,TMUS,61,127.82,7796.99,-349.56,-4.29,67646.29
