date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2022-10-03,BUY,ADBE,31,285.24,8842.44,,,91157.56
2022-10-03,BUY,CRM,61,146.12,8913.6,,,82243.96
2022-10-03,BUY,NKE,112,80.21,8983.04,,,73260.92
2022-10-03,BUY,COST,19,457.06,8684.18,,,64576.74
2022-10-03,BUY,NVDA,720,12.5,8996.84,,,55579.9
2022-10-03,BUY,DE,27,329.0,8883.0,,,46696.9
2022-10-12,BUY,PEP,77,151.12,11636.35,,,35060.56
2022-10-12,BUY,MRNA,89,130.72,11634.08,,,23426.48
2022-10-13,BUY,BLK,22,520.04,11440.94,,,11985.54
2022-10-14,BUY,JPM,116,102.8,11925.22,,,60.32
2022-11-01,SELL,ADBE,31,316.02,9796.62,954.18,10.79,9856.94
2022-11-01,SELL,CRM,61,157.9,9631.99,718.39,8.06,19488.93
2022-11-01,SELL,NKE,112,88.07,9863.46,880.42,9.8,29352.4
2022-11-01,SELL,COST,19,479.19,9104.68,420.5,4.84,38457.08
2022-11-01,SELL,NVDA,720,13.53,9738.19,741.35,8.24,48195.27
2022-11-01,SELL,DE,27,371.71,10036.07,1153.07,12.98,58231.34
2022-11-01,SELL,PEP,77,161.27,12417.42,781.07,6.71,70648.75
2022-11-01,SELL,MRNA,89,154.62,13761.18,2127.1,18.28,84409.93
2022-11-01,SELL,BLK,22,599.03,13178.62,1737.68,15.19,97588.55
2022-11-01,BUY,INTC,356,26.93,9585.44,,,88003.11
2022-11-01,BUY,PFE,244,39.36,9603.36,,,78399.75
2022-11-01,BUY,XOM,96,99.47,9549.3,,,68850.45
2022-11-01,BUY,CAT,46,207.12,9527.39,,,59323.06
2022-11-01,BUY,TSLA,42,227.82,9568.44,,,49754.62
2022-11-01,BUY,NFLX,335,28.67,9606.12,,,40148.5
2022-11-01,BUY,MA,29,326.89,9479.89,,,30668.61
2022-11-01,BUY,GS,30,319.5,9584.86,,,21083.75
2022-11-01,BUY,UNH,18,512.54,9225.79,,,11857.96
2022-11-03,SELL,MA,29,303.33,8796.48,-683.41,-7.21,20654.44
2022-11-04,BUY,DASH,200,51.57,10314.0,,,10340.44
2022-11-07,SELL,TSLA,42,197.08,8277.36,-1291.08,-13.49,18617.8
2022-11-09,SELL,NFLX,335,25.47,8531.11,-1075.01,-11.19,27148.91
2022-11-14,SELL,UNH,18,481.12,8660.08,-565.71,-6.13,35808.99
2022-11-15,BUY,WMT,253,47.11,11918.02,,,23890.98
2022-11-21,BUY,DIS,125,95.33,11916.87,,,11974.11
2022-11-30,BUY,CRM,75,158.33,11874.47,,,99.64
2022-12-01,SELL,CRM,75,145.24,10892.65,-981.82,-8.27,10992.29
2022-12-01,BUY,ZS,38,144.5,5491.0,,,5501.29
2022-12-02,SELL,ZS,38,128.99,4901.62,-589.38,-10.73,10402.91
2022-12-06,SELL,XOM,96,93.08,8935.46,-613.84,-6.43,19338.37
2022-12-13,BUY,MRNA,48,197.54,9481.92,,,9856.45
2022-12-15,SELL,DIS,125,88.41,11051.01,-865.86,-7.27,20907.45
2022-12-20,BUY,NKE,107,97.23,10403.61,,,10503.85
2022-12-22,SELL,INTC,356,25.04,8915.06,-670.39,-6.99,19418.9
2022-12-28,SELL,WMT,253,45.31,11463.95,-454.07,-3.81,30882.85
2023-01-02,SELL,JPM,116,123.99,14382.33,2457.12,20.6,45265.18
2023-01-02,SELL,PFE,244,42.37,10337.3,733.94,7.64,55602.48
2023-01-02,SELL,CAT,46,227.08,10445.68,918.29,9.64,66048.16
2023-01-02,SELL,GS,30,316.79,9503.79,-81.06,-0.85,75551.95
2023-01-02,SELL,DASH,200,48.82,9764.0,-550.0,-5.33,85315.95
2023-01-02,SELL,MRNA,48,179.62,8621.76,-860.16,-9.07,93937.71
2023-01-02,BUY,ADBE,30,336.53,10095.9,,,83841.81
2023-01-02,BUY,CRM,77,131.0,10086.87,,,73754.94
2023-01-02,BUY,DE,24,411.15,9867.63,,,63887.31
2023-01-13,BUY,JPM,79,133.2,10522.82,,,53364.49
2023-01-13,BUY,BAC,329,32.38,10653.37,,,42711.12
2023-01-13,BUY,WFC,262,40.69,10659.6,,,32051.52
2023-01-13,BUY,BLK,15,697.51,10462.61,,,21588.91
2023-01-17,BUY,MS,123,87.24,10730.21,,,10858.7
2023-01-18,SELL,JPM,79,127.2,10048.96,-473.86,-4.5,20907.66
2023-01-19,SELL,DE,24,391.82,9403.66,-463.97,-4.7,30311.32
2023-01-19,SELL,BAC,329,30.54,10048.58,-604.79,-5.68,40359.9
2023-01-20,BUY,NFLX,294,34.25,10069.5,,,30290.4
2023-01-24,BUY,JNJ,66,152.82,10086.43,,,20203.97
2023-01-25,BUY,TSLA,69,144.43,9965.67,,,10238.3
2023-01-25,BUY,ABT,97,104.65,10151.41,,,86.89
2023-01-30,SELL,JNJ,66,147.1,9708.29,-378.14,-3.75,9795.18
2023-01-31,BUY,PFE,265,36.85,9764.54,,,30.64
2023-02-01,SELL,NKE,107,122.0,13053.65,2650.04,25.47,13084.29
2023-02-01,SELL,ADBE,30,383.92,11517.6,1421.7,14.08,24601.89
2023-02-01,SELL,CRM,77,169.76,13071.32,2984.45,29.59,37673.21
2023-02-01,SELL,MS,123,88.95,10940.43,210.23,1.96,48613.64
2023-02-01,SELL,NFLX,294,36.2,10642.51,573.01,5.69,59256.15
2023-02-01,SELL,PFE,265,36.69,9722.53,-42.01,-0.43,68978.68
2023-02-01,BUY,AMD,131,84.64,11087.84,,,57890.84
2023-02-01,BUY,JPM,85,130.01,11051.27,,,46839.57
2023-02-01,BUY,V,49,225.28,11038.49,,,35801.09
2023-02-01,BUY,BAC,336,33.02,11093.13,,,24707.96
2023-02-01,BUY,CMCSA,327,33.91,11088.73,,,13619.23
2023-02-01,BUY,JNJ,74,149.75,11081.25,,,2537.98
2023-02-07,TRIM,TSLA,23,196.81,4526.63,1204.74,36.27,7064.61
2023-02-09,SELL,BLK,15,662.34,9935.03,-527.58,-5.04,16999.64
2023-02-09,SELL,CMCSA,327,32.15,10514.45,-574.28,-5.18,27514.09
2023-02-09,BUY,DIS,127,107.82,13693.25,,,13820.84
2023-02-14,BUY,PLTR,749,9.22,6905.78,,,6915.06
2023-02-15,SELL,ABT,97,101.15,9811.2,-340.21,-3.35,16726.26
2023-02-15,SELL,JNJ,74,144.71,10708.34,-372.91,-3.37,27434.6
2023-02-15,BUY,ABNB,100,137.01,13701.0,,,13733.6
2023-02-16,BUY,SO,234,58.59,13709.6,,,24.0
2023-02-21,SELL,AMD,131,76.77,10056.87,-1030.97,-9.3,10080.87
2023-02-21,SELL,V,49,215.67,10567.69,-470.79,-4.26,20648.56
2023-02-21,SELL,BAC,336,31.73,10660.77,-432.36,-3.9,31309.33
2023-02-21,SELL,DIS,127,99.74,12667.13,-1026.13,-7.49,43976.45
2023-02-21,BUY,WMT,232,47.25,10961.79,,,33014.67
2023-02-22,BUY,NVDA,530,20.73,10988.02,,,22026.64
2023-02-22,BUY,PANW,117,93.88,10983.38,,,11043.27
2023-02-24,SELL,ABNB,100,122.78,12278.0,-1423.0,-10.39,23321.27
2023-02-27,SELL,PLTR,749,8.03,6014.47,-891.31,-12.91,29335.74
2023-02-27,SELL,WMT,232,45.36,10523.56,-438.23,-4.0,39859.29
2023-03-01,SELL,SO,234,56.02,13108.05,-601.56,-4.39,52967.34
2023-03-01,BUY,CRM,64,165.34,10581.83,,,42385.51
2023-03-09,SELL,WFC,262,38.08,9977.98,-681.63,-6.39,52363.49
2023-03-09,SELL,JPM,85,121.4,10318.95,-732.32,-6.63,62682.44
2023-03-09,BUY,GE,145,71.93,10429.43,,,52253.01
2023-03-21,BUY,NKE,88,118.67,10442.92,,,41810.09
2023-03-22,SELL,NKE,88,112.9,9934.95,-507.97,-4.86,51745.04
2023-03-23,BUY,NKE,90,114.29,10285.73,,,41459.31
2023-03-23,BUY,REGN,13,796.78,10358.1,,,31101.2
2023-03-29,BUY,LULU,28,361.04,10109.12,,,20992.08
2023-03-29,BUY,MU,167,62.63,10459.07,,,10533.01
2023-04-03,SELL,TSLA,46,194.77,8959.42,2315.64,34.85,19492.43
2023-04-03,SELL,PANW,117,98.17,11485.31,501.93,4.57,30977.73
2023-04-03,SELL,GE,145,76.14,11039.98,610.55,5.85,42017.71
2023-04-03,SELL,REGN,13,820.65,10668.4,310.3,3.0,52686.11
2023-04-03,SELL,LULU,28,367.4,10287.2,178.08,1.76,62973.31
2023-04-03,SELL,MU,167,58.76,9812.17,-646.9,-6.19,72785.48
2023-04-03,BUY,ADBE,26,380.08,9882.08,,,62903.4
2023-04-03,BUY,COST,21,477.21,10021.51,,,52881.89
2023-04-03,BUY,HD,36,276.02,9936.67,,,42945.22
2023-04-03,BUY,WMT,210,47.88,10054.94,,,32890.27
2023-04-03,BUY,DE,25,399.19,9979.79,,,22910.48
2023-04-05,SELL,DE,25,359.59,8989.73,-990.07,-9.92,31900.2
2023-04-14,BUY,JPM,81,130.23,10548.46,,,21351.74
2023-04-14,BUY,WFC,290,36.7,10644.23,,,10707.51
2023-04-18,BUY,GS,34,310.26,10548.91,,,158.6
2023-04-26,SELL,ADBE,26,363.06,9439.56,-442.52,-4.48,9598.16
2023-04-26,BUY,MSFT,33,288.54,9521.72,,,76.44
2023-05-01,TRIM,NVDA,176,28.88,5083.66,1434.81,39.32,5160.1
2023-05-01,SELL,NVDA,354,28.88,10225.09,2885.92,39.32,15385.19
2023-05-01,SELL,CRM,64,195.42,12506.6,1924.77,18.19,27891.79
2023-05-01,SELL,NKE,90,120.85,10876.67,590.94,5.75,38768.46
2023-05-01,SELL,COST,21,473.91,9952.15,-69.36,-0.69,48720.62
2023-05-01,SELL,HD,36,275.99,9935.67,-1.0,-0.01,58656.29
2023-05-01,SELL,WMT,210,48.81,10251.05,196.11,1.95,68907.34
2023-05-01,BUY,CMCSA,312,35.6,11106.86,,,57800.48
2023-05-01,BUY,GOOGL,104,106.32,11057.41,,,46743.07
2023-05-01,BUY,META,46,241.29,11099.18,,,35643.89
2023-05-01,BUY,V,48,227.29,10909.94,,,24733.95
2023-05-01,BUY,MA,29,373.87,10842.26,,,13891.69
